time,chord
167.0,Cj7
167.2,Cj7
167.6,A-7
167.8,A-7
168.2,D-7
168.4,D-7
168.8,G7
169.0,G7
169.4,E7
169.6,E7
170.6,E7
170.8,E7
171.6,Am7b5
172.0,Am7b5
172.2,D-7
172.6,D-7
172.8,Gsus7
173.2,Gsus7
173.4,Cj7
173.8,Cj7
174.4,A-7
174.6,A-7
175.4,A-7
175.6,D-7
176.0,D-7
176.6,G7
176.8,G7
177.8,G7
178.0,E7
178.4,E7
179.0,A7
179.2,A7
180.2,A7
180.4,A7
181.4,D-7
181.6,D-7
182.4,D-7
182.6,Gsus7
183.6,Gsus7
183.8,Gsus7
184.8,Cj7
185.0,Cj7
185.6,Cj7
186.0,A-7
186.6,A-7
186.8,A-7
187.8,D-7
188.0,D-7
188.4,G7
188.8,G7
189.0,E7
189.4,E7
189.6,Am7b5
190.0,Am7b5
190.2,D7
190.6,D7
190.8,Gsus7
191.2,Gsus7
191.4,Cj7
191.8,Cj7
192.0,A-7
192.4,A-7
192.6,D-7
193.0,D-7
193.2,G7
193.6,G7
193.8,C6
194.2,C6
194.4,A#7
194.8,A#7
195.0,Cj7
195.4,Cj7
195.6,Cj7
196.0,Cj7
196.2,E-7
196.6,E-7
196.8,A7
197.2,A7
197.4,E-7
197.8,E-7
198.0,A7
198.4,A7
198.6,Dj7
199.0,Dj7
199.2,Gj7
199.6,Gj7
200.2,Dj7
200.4,Dj7
201.4,Dj7
201.6,Dj7
202.6,Dj7
202.8,Dj7
203.8,Dj7
204.0,Dj7
205.0,D-7
205.2,D-7
206.2,D-7
206.4,D-7
207.4,G7
207.6,G7
208.6,G7
208.8,G7
209.8,D-7
210.0,D-7
210.8,D-7
211.0,G7
211.4,G7
211.6,E-7
212.0,E-7
212.2,A7
212.6,A7
212.8,D7
213.2,D7
213.4,Gsus7
213.8,Gsus7
214.0,Cj7
214.4,Cj7
214.6,A-7
215.0,A-7
215.2,D-7
215.6,D-7
215.8,G7
216.2,G7
216.4,E7
216.8,E7
217.4,A7
217.6,A7
218.4,A7
218.6,D7
219.0,D7
219.2,Gsus7
219.6,Gsus7
219.8,Cj7
220.8,Cj7
221.0,Cj7
222.0,A79b
222.2,A79b
223.2,A79b
223.4,A79b
224.4,D-7
224.6,D-7
225.6,D-7
225.8,D-7
226.8,G7
227.0,G7
228.0,G7
228.2,G7
229.0,C6
229.2,C6
229.6,C6
229.8,C6
230.2,D-7
230.4,D-7
230.8,G7
231.0,G7
231.4,Cj7
231.6,Cj7
232.0,A-7
232.2,A-7
232.6,D-7
232.8,D-7
233.2,D-7
233.6,G7
233.8,G7
234.2,E7
234.6,E7
234.8,Am7b5
235.2,Am7b5
235.4,D-7
235.8,D-7
236.0,Gsus7
236.4,Gsus7
237.0,Cj7
237.2,Cj7
237.6,Cj7
237.8,A-7
238.2,A-7
238.4,D-7
239.4,D-7
239.6,D-7
240.0,G7
240.4,G7
240.6,E7
241.0,E7
241.2,A7
241.6,A7
241.8,D-7
242.2,D-7
242.4,Gsus7
242.8,Gsus7
243.0,Cj7
243.4,Cj7
244.0,A-7
244.2,A-7
245.2,A-7
245.4,A-7
246.0,D-7
246.4,D-7
246.6,G7
247.0,G7
247.2,E7
247.6,E7
247.8,Am7b5
248.2,Am7b5
248.4,D7
248.8,D7
249.0,Gsus7
249.4,Gsus7
249.6,Cj7
250.0,Cj7
250.2,A-7
250.6,A-7
250.8,D-7
251.2,D-7
251.4,G7
251.8,G7
252.0,C6
252.4,C6
252.6,A#7
253.0,A#7
253.2,Cj7
253.6,Cj7
253.8,Cj7
254.2,Cj7
254.4,E-7
254.8,E-7
255.0,A7
255.4,A7
255.6,E-7
256.0,E-7
256.2,A7
256.6,A7
256.8,Dj7
257.2,Dj7
257.4,Gj7
257.8,Gj7
258.0,Gj7
259.0,Dj7
259.2,Dj7
260.2,Dj7
260.4,Dj7
261.4,Dj7
261.6,Dj7
262.6,Dj7
262.8,Dj7
263.8,D-7
264.0,D-7
265.0,D-7
265.2,D-7
266.2,G7
266.4,G7
267.2,G7
267.6,D-7
267.8,D-7
268.2,G7
268.4,G7
268.8,E-7
269.0,E-7
269.4,A7
269.6,A7
270.0,D7
270.2,D7
270.6,Gsus7
270.8,Gsus7
271.2,Cj7
271.4,Cj7
271.8,A-7
272.0,A-7
272.4,D-7
272.6,D-7
273.0,G7
273.2,G7
273.6,E7
273.8,E7
274.8,A7
275.0,A7
276.0,A7
276.2,A7
277.2,D7
277.4,D7
278.4,D7
278.6,D7
279.6,Gsus7
279.8,Gsus7
280.8,Gsus7
281.0,Gsus7
281.4,Cj7
281.8,Cj7
282.0,A79b
282.4,A79b
282.6,D-7
283.0,D-7
283.2,G7
283.6,G7
283.8,C6
284.2,C6
284.4,C6
284.8,C6
285.0,D-7
285.4,D-7
285.6,G7
286.0,G7
286.2,Cj7
286.6,Cj7
286.8,A-7
287.2,A-7
287.4,D-7
287.8,D-7
288.0,G7
288.4,G7
288.6,E7
289.0,E7
289.2,Am7b5
289.6,Am7b5
289.8,D-7
290.2,D-7
290.4,Gsus7
290.8,Gsus7
291.0,Cj7
291.4,Cj7
291.6,A-7
292.0,A-7
292.6,D-7
292.8,D-7
293.2,G7
293.4,G7
293.8,E7
294.0,E7
294.4,A7
294.6,A7
295.0,D-7
295.2,D-7
295.6,Gsus7
295.8,Gsus7
296.2,Cj7
296.4,Cj7
296.8,A-7
297.0,A-7
297.4,D-7
297.6,D-7
298.6,D-7
299.2,G7
299.4,G7
299.8,G7
300.0,E7
300.4,E7
301.0,Am7b5
301.2,Am7b5
302.2,Am7b5
302.4,Am7b5
303.4,D7
303.6,D7
304.6,D7
304.8,D7
305.4,Gsus7
305.8,Gsus7
306.0,Cj7
306.4,Cj7
307.0,A-7
307.2,A-7
307.6,A-7
308.2,D-7
308.4,D-7
308.8,D-7
309.0,G7
309.4,G7
309.6,C6
310.0,C6
310.2,A#7
310.6,A#7
310.8,Cj7
311.2,Cj7
311.4,Cj7
311.8,Cj7
312.0,E-7
312.4,E-7
312.6,A7
313.0,A7
313.2,E-7
313.6,E-7
313.8,A7
314.2,A7
314.4,Dj7
314.8,Dj7
315.0,Gj7
