time,chord
421.8,D:sus4(b7)
422.0,D:sus4(b7)
422.4,D:sus4(b7)
422.6,D:sus4(b7)
423.0,D:sus4(b7)
423.2,D:sus4(b7)
423.6,D:sus4(b7)
423.8,D:sus4(b7)
424.8,D:sus4(b7)
425.0,D:sus4(b7)
426.0,D:sus4(b7)
426.2,D:sus4(b7)
426.8,D:sus4(b7)
427.0,D:sus4(b7)
427.4,D:sus4(b7)
427.6,D:sus4(b7)
428.0,D:sus4(b7)
428.2,D:sus4(b7)
428.6,F:sus4(b7)
428.8,F:sus4(b7)
429.2,F:sus4(b7)
429.4,F:sus4(b7)
429.8,F:sus4(b7)
430.0,F:sus4(b7)
430.4,F:sus4(b7)
430.6,F:sus4(b7)
431.0,F:sus4(b7)
431.2,F:sus4(b7)
431.6,F:sus4(b7)
431.8,F:sus4(b7)
432.2,F:sus4(b7)
432.4,F:sus4(b7)
432.8,F:sus4(b7)
433.0,F:sus4(b7)
433.4,D:sus4(b7)
433.6,D:sus4(b7)
434.0,D:sus4(b7)
434.2,D:sus4(b7)
434.6,D:sus4(b7)
434.8,D:sus4(b7)
435.8,D:sus4(b7)
436.0,D:sus4(b7)
437.0,D:sus4(b7)
437.4,D:sus4(b7)
437.6,D:sus4(b7)
438.0,D:sus4(b7)
438.2,D:sus4(b7)
438.6,D:sus4(b7)
438.8,D:sus4(b7)
439.2,D:sus4(b7)
439.4,D:sus4(b7)
439.8,D:sus4(b7)
440.4,F:sus4(b7)
440.6,F:sus4(b7)
441.2,F:sus4(b7)
441.6,F:sus4(b7)
441.8,F:sus4(b7)
442.2,F:sus4(b7)
442.4,F:sus4(b7)
442.8,F:sus4(b7)
443.0,F:sus4(b7)
443.4,F:sus4(b7)
443.6,F:sus4(b7)
444.6,F:sus4(b7)
444.8,F:sus4(b7)
445.8,F:sus4(b7)
446.0,F:sus4(b7)
447.0,F:sus4(b7)
447.4,F:sus4(b7)
447.6,F:sus4(b7)
448.0,F:sus4(b7)
448.2,F:sus4(b7)
448.6,D#:sus4(b7)
448.8,D#:sus4(b7)
449.2,D#:sus4(b7)
449.4,D#:sus4(b7)
449.8,D#:sus4(b7)
450.4,D#:sus4(b7)
450.6,D#:sus4(b7)
451.6,D#:sus4(b7)
451.8,D#:sus4(b7)
452.2,D#:sus4(b7)
452.8,D#:sus4(b7)
453.0,D#:sus4(b7)
453.8,D#:sus4(b7)
454.0,D#:sus4(b7)
454.4,D#:sus4(b7)
454.6,D#:sus4(b7)
455.0,D#:sus4(b7)
455.2,D#:sus4(b7)
455.6,D#:sus4(b7)
456.2,C#:sus4(b7)
456.4,C#:sus4(b7)
457.4,C#:sus4(b7)
457.6,C#:sus4(b7)
458.0,C#:sus4(b7)
458.2,C#:sus4(b7)
458.6,C#:sus4(b7)
458.8,C#:sus4(b7)
459.2,C#:sus4(b7)
459.4,C#:sus4(b7)
459.8,C#:sus4(b7)
460.0,C#:sus4(b7)
461.0,C#:sus4(b7)
461.4,C#:sus4(b7)
461.6,C#:sus4(b7)
462.0,C#:sus4(b7)
462.2,C#:sus4(b7)
462.6,C#:sus4(b7)
463.2,D:sus4(b7)
463.4,D:sus4(b7)
464.0,D:sus4(b7)
464.2,D:sus4(b7)
464.6,D:sus4(b7)
464.8,D:sus4(b7)
465.8,D:sus4(b7)
466.0,D:sus4(b7)
467.0,D:sus4(b7)
467.2,D:sus4(b7)
467.6,D:sus4(b7)
467.8,D:sus4(b7)
468.2,D:sus4(b7)
468.4,D:sus4(b7)
468.8,D:sus4(b7)
469.0,D:sus4(b7)
469.4,D:sus4(b7)
469.6,D:sus4(b7)
470.0,D:sus4(b7)
470.6,F:sus4(b7)
470.8,F:sus4(b7)
471.8,F:sus4(b7)
472.0,F:sus4(b7)
473.0,F:sus4(b7)
473.2,F:sus4(b7)
473.6,F:sus4(b7)
474.0,F:sus4(b7)
474.2,F:sus4(b7)
474.6,F:sus4(b7)
474.8,F:sus4(b7)
475.2,F:sus4(b7)
475.4,F:sus4(b7)
475.8,F:sus4(b7)
476.0,F:sus4(b7)
476.4,F:sus4(b7)
476.6,F:sus4(b7)
477.0,F:sus4(b7)
477.2,F:sus4(b7)
477.6,D:sus4(b7)
477.8,D:sus4(b7)
478.8,D:sus4(b7)
479.0,D:sus4(b7)
479.4,D:sus4(b7)
479.8,D:sus4(b7)
480.0,D:sus4(b7)
480.4,D:sus4(b7)
480.6,D:sus4(b7)
481.0,D:sus4(b7)
481.6,D:sus4(b7)
481.8,D:sus4(b7)
482.2,D:sus4(b7)
482.4,D:sus4(b7)
482.8,D:sus4(b7)
483.4,D:sus4(b7)
483.6,D:sus4(b7)
484.6,D:sus4(b7)
484.8,D:sus4(b7)
485.8,D:sus4(b7)
486.0,D:sus4(b7)
