time,chord
173.0,Dsus7
173.2,Dsus7
173.4,Dsus7
173.6,Dsus7
173.8,Dsus7
174.0,Dsus7
174.2,Dsus7
174.4,Dsus7
174.6,Dsus7
174.8,Dsus7
175.0,Dsus7
175.2,Dsus7
175.4,Dsus7
175.6,Dsus7
175.8,Dsus7
176.0,Dsus7
176.6,Fsus7
176.8,Fsus7
177.4,Fsus7
177.6,Fsus7
178.2,Fsus7
178.4,Fsus7
179.0,Fsus7
179.2,Fsus7
179.4,Fsus7
179.6,Fsus7
179.8,Fsus7
180.0,Fsus7
180.2,Fsus7
180.4,Fsus7
180.6,Fsus7
180.8,Fsus7
181.0,Fsus7
181.6,Fsus7
181.8,Fsus7
182.4,Fsus7
182.6,Fsus7
183.2,Dsus7
183.4,Dsus7
184.0,Dsus7
184.2,Dsus7
184.6,Dsus7
184.8,Dsus7
185.4,Dsus7
185.6,Dsus7
186.2,Dsus7
186.4,Dsus7
187.0,Dsus7
187.2,Dsus7
187.8,Dsus7
188.0,Dsus7
188.6,Dsus7
188.8,Dsus7
189.0,Dsus7
189.2,Dsus7
189.4,Dsus7
189.6,Dsus7
189.8,Dsus7
190.0,Dsus7
190.6,Dsus7
190.8,Dsus7
191.4,Fsus7
191.6,Fsus7
192.2,Fsus7
192.4,Fsus7
193.0,Fsus7
193.2,Fsus7
193.8,Fsus7
194.0,Fsus7
194.6,Fsus7
194.8,Fsus7
195.4,Fsus7
195.6,Fsus7
196.0,Fsus7
196.2,Fsus7
196.4,Fsus7
196.6,Fsus7
196.8,Fsus7
197.0,Fsus7
197.2,Fsus7
197.4,Fsus7
197.6,Fsus7
197.8,Fsus7
198.4,D#sus7
198.6,D#sus7
199.2,D#sus7
199.4,D#sus7
200.0,D#sus7
200.2,D#sus7
200.8,D#sus7
201.0,D#sus7
201.6,D#sus7
201.8,D#sus7
202.2,D#sus7
202.4,D#sus7
203.0,D#sus7
203.2,D#sus7
203.8,D#sus7
204.0,D#sus7
204.2,D#sus7
204.4,D#sus7
205.0,D#sus7
205.2,D#sus7
205.4,D#sus7
205.6,D#sus7
205.8,D#sus7
206.4,D#sus7
206.6,D#sus7
207.2,D#sus7
207.4,D#sus7
208.0,C#sus7
208.2,C#sus7
208.8,C#sus7
209.0,C#sus7
209.6,C#sus7
209.8,C#sus7
210.4,C#sus7
210.6,C#sus7
211.2,C#sus7
211.4,C#sus7
212.0,C#sus7
212.2,C#sus7
212.8,C#sus7
213.0,C#sus7
213.6,C#sus7
213.8,C#sus7
214.0,C#sus7
214.2,C#sus7
214.4,C#sus7
214.6,C#sus7
214.8,C#sus7
215.0,C#sus7
215.2,C#sus7
215.4,C#sus7
216.0,Dsus7
216.2,Dsus7
216.8,Dsus7
217.0,Dsus7
217.6,Dsus7
217.8,Dsus7
218.4,Dsus7
218.6,Dsus7
218.8,Dsus7
219.0,Dsus7
219.2,Dsus7
219.4,Dsus7
219.6,Dsus7
219.8,Dsus7
220.0,Dsus7
220.6,Dsus7
220.8,Dsus7
221.4,Dsus7
221.6,Dsus7
222.2,Dsus7
222.4,Dsus7
223.0,Dsus7
223.2,Dsus7
223.8,Fsus7
224.0,Fsus7
224.6,Fsus7
224.8,Fsus7
225.4,Fsus7
225.6,Fsus7
226.2,Fsus7
226.4,Fsus7
227.0,Fsus7
