time,chord
14.820,G:maj7
16.820,E:min7
18.910,A:min7
21.030,D:7
23.190,G:maj7
25.340,E:min7
27.440,A:min7
29.620,F#:hdim7
30.680,B:7
31.810,E:min7
33.930,C:min
36.230,B:min7
39.560,Bb:min7
40.660,A:min7
42.960,D:7
45.280,B:min7
46.480,E:min7
47.660,A:min7
48.840,D:7
50.040,G:maj7
52.310,E:min7
54.650,A:min7
56.980,D:7
59.310,G:maj7
61.690,E:min7
63.950,A:min7
66.300,F#:hdim7
67.450,B:7
68.640,E:min7
70.990,C:min
73.370,B:min7
75.800,Bb:min7
78.150,A:min7
80.560,D:7
82.770,G:maj6
85.180,C#:hdim7
86.340,F#:7
87.550,B:maj7
89.840,G#:7
92.210,C#:min7
94.540,F#:7
96.950,B:maj7
99.280,G#:min7
101.670,C#:min7
104.130,F#:7
106.540,B:maj7
109.060,B#:dim7
111.500,C#:min7
113.980,F#:7
116.380,B:maj7
118.800,E:7
121.220,A:min7
123.670,D:7
126.200,G:maj7
128.660,E:min7
131.190,A:min7
133.750,D:7
136.380,G:maj7
139.000,E:min7
141.680,A:min7
144.390,F#:hdim7
145.720,B:7
147.030,E:min7
149.660,C:min
152.330,B:min7
156.300,Bb:min7
157.680,A:min7
160.410,D:7
163.130,G:maj6
165.850,C#:min7
167.230,C:7
168.660,B:maj7
171.470,B#:dim7
174.160,C#:min7
176.830,F#:7
179.570,B:maj7
182.160,G#:min7
184.710,C#:min7
187.330,F#:7
189.950,B:maj7
192.550,G#:7
195.160,C#:min7
197.710,F#:7
200.240,B:7
202.790,E:7
205.350,A:min7
207.970,D:7
210.750,G:maj7
213.310,E:min7
215.920,A:min7
218.560,D:7
221.220,G:maj7
223.820,E:min7
226.370,A:min7
228.980,F#:hdim7
230.250,B:7
231.620,E:min7
234.210,C:min
236.890,B:min7
240.840,Bb:min7
242.200,A:min7
244.850,D:7
247.450,B:hdim7
250.060,E:7
252.780,A:min7
255.260,D:7
257.750,Eb:maj7
260.210,A:hdim7
262.740,Ab:7
268.030,G:maj7
