time,chord
13.300,A#-
14.940,F7
16.580,A#-
18.230,F7
19.880,A#-
21.510,F7
23.160,A#-
24.810,A#7
26.460,D#-
29.730,D#-
33.040,Cm7b5
36.320,F7
39.600,A#-
42.890,A#-
46.180,A#-
51.110,Eb7
52.760,C#j7
54.420,Bb-7
56.070,Eb7
57.680,Ab7
59.330,A#-
65.910,A#-
69.190,A#-
72.480,A#-
74.110,F7
75.760,A#-
77.410,F7
79.060,A#-
80.690,F7
82.340,A#-
83.990,A#7
85.630,D#-
88.930,D#-
92.210,Cm7b5
95.480,F7
98.780,A#-
102.060,A#-
105.360,A#-
110.290,Eb7
111.930,C#j7
113.600,Bb-7
115.220,Eb7
116.880,Ab7
118.510,A#-
125.080,A#-
128.370,A#-
131.650,A#-
134.950,A#-
138.240,A#-
141.520,A#-
143.170,A#7
144.810,D#-
148.100,D#-
151.380,Cm7b5
154.670,F7
157.970,A#-
161.240,A#-
164.520,A#-
170.300,Eb7
171.110,C#j7
172.740,Bb-7
174.420,Eb7
176.040,Ab7
177.680,A#-
