time,chord
33.8,A#:maj7
34.0,A#:maj7
34.2,A#:maj7
34.4,G:7
34.6,G:7
34.8,G:7
35.0,G:7
35.2,C:min7
35.4,C:min7
35.6,C:min7
35.8,C:min7
36.0,F:7
36.0,F:7
36.2,A#:maj7
36.2,A#:maj7
36.4,G:7
36.4,G:7
36.6,C:min7
36.6,C:min7
36.8,F:7
36.8,F:7
37.0,F:min7
37.0,F:min7
37.2,A#:7
37.2,A#:7
37.4,D#:maj7
37.4,D#:maj7
37.6,D#:min6
37.6,D#:min6
37.8,A#:maj7
37.8,A#:maj7
38.0,G:7
38.0,G:7
38.2,C:min7
38.2,C:min7
38.4,F:7
38.4,F:7
38.6,A#:maj7
38.6,A#:maj7
38.8,G:7
38.8,G:7
39.0,C:min7
39.0,C:min7
39.2,F:7
39.2,F:7
39.4,A#:maj7
39.4,A#:maj7
39.6,G:7
39.6,G:7
39.8,C:min7
40.0,C:min7
40.2,C:min7
40.4,C:min7
40.6,F:7
40.8,F:7
41.0,F:7
41.2,F:7
41.4,A#:maj7
41.6,A#:maj7
41.8,A#:maj7
42.0,A#:maj7
42.2,A#:7
42.4,A#:7
42.6,A#:7
42.8,A#:7
43.0,D#:maj7
43.2,D#:maj7
43.4,D#:maj7
43.6,D#:maj7
43.8,D#:min6
44.0,D#:min6
44.2,D#:min6
44.4,D#:min6
44.6,A#:maj7
44.8,A#:maj7
45.0,A#:maj7
45.2,A#:maj7
45.4,F:7
45.6,F:7
45.8,F:7
46.0,F:7
46.2,B:7
46.4,B:7
46.6,B:7
46.8,B:7
47.0,B:7
47.2,B:7
47.4,B:7
47.6,B:7
47.8,D:7
48.0,D:7
48.2,D:7
48.4,D:7
48.6,D:7
48.8,D:7
49.0,D:7
49.2,D:7
49.4,D:7
49.6,D:7
49.8,D:7
50.0,D:7
50.2,D:7
50.4,D:7
50.6,D:7
50.8,G:7
51.0,G:7
51.0,G:7
51.2,G:7
51.2,G:7
51.4,G:7
51.4,G:7
51.6,G:7
51.8,G:7
52.0,C:7
52.2,C:7
52.4,C:7
52.6,C:7
52.8,C:7
53.0,C:7
53.2,C:7
53.4,C:7
53.6,C:7
53.8,C:7
54.0,C:7
54.2,C:7
54.4,C:7
54.6,C:7
54.8,C:7
55.0,C:7
55.2,F:7
55.4,F:7
55.6,F:7
55.8,F:7
56.0,F:7
56.2,F:7
56.4,F:7
56.6,F:7
56.8,F:7
57.0,F:7
57.2,F:7
57.4,F:7
57.6,F:7
57.8,F:7
58.0,F:7
58.2,A#:maj7
58.2,A#:maj7
58.4,G:7
58.4,G:7
58.6,C:min7
58.6,C:min7
58.8,F:7
58.8,F:7
59.0,A#:maj7
59.0,A#:maj7
59.2,G:7
59.2,G:7
59.4,C:min7
59.4,C:min7
59.6,F:7
59.6,F:7
59.8,A#:maj7
59.8,A#:maj7
60.0,A#:7
60.2,A#:7
60.4,A#:7
60.6,A#:7
60.8,D#:maj7
61.0,D#:maj7
61.2,D#:maj7
61.4,D#:maj7
61.6,D#:min6
61.8,D#:min6
62.0,D#:min6
62.2,A#:maj7
62.4,A#:maj7
62.6,A#:maj7
62.8,A#:maj7
63.0,F:7
63.2,F:7
63.4,F:7
63.6,F:7
63.8,A#:maj7
64.0,A#:maj7
64.2,A#:maj7
64.2,A#:maj7
