time,chord
9.760,Cj7
10.970,Cj7
12.170,C-7
13.340,F7
14.570,Gj7
15.750,Gj7
16.970,Bb-7
18.120,Eb7
19.350,A-7
20.530,D7
21.740,B7
22.950,E-7
24.140,A7
25.340,A7
26.560,A-7
27.790,D7
28.360,G7
28.940,Cj7
30.120,Cj7
31.260,C-7
32.420,F7
33.540,Gj7
34.700,Gj7
35.820,Bb-7
36.970,Eb7
38.140,A-7
39.320,D7
40.470,B7
41.590,E-7
42.730,A7
43.880,A-7
44.460,D7
45.040,Gj7
46.180,D-7
46.750,G7
47.320,Cj7
48.500,Cj7
49.650,C-7
50.800,F7
51.960,Gj7
53.120,Gj7
54.250,Bb-7
55.390,Eb7
56.520,A-7
57.670,D7
58.790,B7
59.920,E-7
61.040,A7
62.180,A7
63.350,A-7
64.500,D7
65.090,G7
65.690,Cj7
66.840,Cj7
67.970,C-7
69.100,F7
70.230,Gj7
71.340,Gj7
72.450,Bb-7
73.600,Eb7
74.740,A-7
75.870,D7
77.000,B7
78.150,E-7
79.270,A7
80.420,A-7
81.000,D7
81.570,Gj7
82.690,D-7
83.260,G7
83.830,Cj7
84.990,Cj7
86.120,C-7
87.240,F7
88.360,Gj7
89.480,Gj7
90.600,Bb-7
91.730,Eb7
92.860,A-7
94.010,D7
95.130,B7
96.250,E-7
97.370,A7
98.520,A7
99.640,A-7
100.750,D7
101.310,G7
101.880,Cj7
102.990,Cj7
104.110,C-7
105.240,F7
106.390,Gj7
107.520,Gj7
108.630,Bb-7
109.760,Eb7
110.870,A-7
112.040,D7
113.180,B7
114.300,E-7
115.430,A7
116.570,A-7
117.140,D7
117.700,Gj7
118.820,D-7
119.380,G7
119.960,Cj7
121.110,Cj7
122.230,C-7
123.370,F7
124.510,Gj7
125.640,Gj7
126.780,Bb-7
127.940,Eb7
129.100,A-7
130.250,D7
131.380,B7
132.520,E-7
133.680,A7
134.840,A7
136.000,A-7
137.150,D7
137.740,G7
138.310,Cj7
139.480,Cj7
140.600,C-7
141.750,F7
142.890,Gj7
144.030,Gj7
145.190,Bb-7
146.330,Eb7
147.490,A-7
148.650,D7
149.810,B7
150.970,E-7
152.120,A7
153.270,A-7
153.840,D7
154.400,Gj7
155.560,D-7
156.140,G7
156.720,Cj7
157.840,Cj7
158.970,C-7
160.130,F7
161.280,Gj7
162.400,Gj7
163.550,Bb-7
164.700,Eb7
165.850,A-7
167.000,D7
168.140,B7
169.310,E-7
170.460,A7
171.600,A7
172.730,A-7
173.850,D7
174.430,G7
175.010,Cj7
176.170,Cj7
177.310,C-7
178.450,F7
179.610,Gj7
180.750,Gj7
181.890,Bb-7
183.040,Eb7
184.170,A-7
185.330,D7
186.480,B7
187.640,E-7
188.770,A7
189.920,A-7
190.500,D7
191.070,Gj7
192.200,D-7
192.760,G7
193.320,Cj7
194.480,Cj7
195.640,C-7
196.800,F7
197.970,Gj7
199.150,Gj7
200.320,Bb-7
201.480,Eb7
202.650,A-7
203.810,D7
204.990,B7
206.150,E-7
207.330,A7
208.490,A7
209.660,A-7
210.820,D7
211.400,G7
211.990,Cj7
213.150,Cj7
214.320,C-7
215.480,F7
216.680,Gj7
217.850,Gj7
219.020,Bb-7
220.180,Eb7
221.340,A-7
222.490,D7
223.660,B7
224.820,E-7
226.000,A7
227.200,A-7
227.800,D7
228.400,Gj7
229.580,D-7
230.170,G7
230.750,Cj7
231.950,Cj7
233.120,C-7
234.280,F7
235.470,Gj7
236.640,Gj7
237.810,Bb-7
238.990,Eb7
240.170,A-7
241.360,D7
242.510,B7
243.680,E-7
244.880,A7
246.040,A7
247.200,A-7
248.360,D7
248.940,G7
249.520,Cj7
250.680,Cj7
251.850,C-7
253.020,F7
254.200,Gj7
255.390,Gj7
256.560,Bb-7
257.740,Eb7
258.910,A-7
260.070,D7
261.230,B7
262.350,E-7
263.480,A7
264.640,A-7
265.210,D7
265.790,Gj7
