time,chord
9.863,C6
10.983,F-7
11.594,Bb7
12.194,C7
12.743,Bb7
13.354,A7
14.493,D7
15.754,G7
16.954,E-7
17.543,A7
18.133,D-7
18.714,G7
19.285,C6
20.514,F-7
21.133,Bb7
21.725,C7
22.303,Bb7
22.885,A7
24.065,D7
25.293,G7
26.554,C6
27.714,F#m7b5
28.285,B79b
28.893,E-7
30.085,F#m7b5
30.663,B79b
31.253,E-7
32.453,A7
33.634,D-7
34.794,Em7b5
35.413,A7
36.013,D7
37.263,D-7
37.853,G7
38.423,C6
39.645,F-7
40.213,Bb7
40.805,C7
41.373,Bb7
41.954,A7
43.154,D7
44.345,G7
45.514,Db7
47.293,G7
47.885,C6
49.023,F-7
49.613,Bb7
50.185,C7
50.783,Bb7
51.353,A7
52.453,D7
53.623,G7
54.803,E-7
55.405,A7
55.965,D-7
56.554,G7
57.143,C6
58.285,F-7
58.885,Bb7
59.493,C7
60.063,Bb7
60.674,A7
61.893,D7
63.054,G7
64.223,C6
65.413,F#m7b5
65.994,B79b
66.583,E-7
67.794,F#m7b5
68.373,B79b
68.965,E-7
70.183,A7
71.373,D-7
72.594,Em7b5
73.194,A7
73.765,D7
74.965,D-7
75.573,G7
76.154,C6
77.325,F-7
77.933,Bb7
78.514,C7
79.093,Bb7
79.674,A7
80.845,D7
82.013,G7
83.213,Db7
84.943,G7
85.514,C6
86.643,F-7
87.285,Bb7
87.893,C7
88.423,Bb7
88.994,A7
90.154,D7
91.273,G7
92.373,E-7
92.925,A7
93.543,D-7
94.133,G7
94.714,C6
95.863,F-7
96.474,Bb7
97.074,C7
97.693,Bb7
98.293,A7
99.514,D7
100.653,G7
101.725,C6
102.883,F#m7b5
103.433,B79b
103.963,E-7
105.054,F#m7b5
105.605,B79b
106.173,E-7
107.273,A7
108.353,D-7
109.425,Em7b5
109.994,A7
110.533,D7
111.645,D-7
112.205,G7
112.714,C6
113.834,F-7
114.413,Bb7
114.965,C7
115.473,Bb7
116.013,A7
117.093,D7
118.205,G7
119.274,Db7
121.519,C6
122.608,F-7
123.180,Bb7
123.768,C7
124.400,Bb7
125.000,A7
126.150,D7
127.360,G7
128.539,E-7
129.110,A7
129.680,D-7
130.270,G7
130.848,C6
132.030,F-7
132.588,Bb7
133.128,C7
133.659,Bb7
134.210,A7
135.299,D7
136.379,G7
137.459,C6
138.559,F#m7b5
139.110,B79b
139.648,E-7
140.760,F#m7b5
141.350,B79b
141.920,E-7
143.059,A7
144.190,D-7
145.310,Em7b5
145.899,A7
146.448,D7
147.580,D-7
148.150,G7
148.688,C6
149.830,F-7
150.388,Bb7
150.948,C7
151.479,Bb7
152.028,A7
153.099,D7
154.170,G7
155.230,Db7
156.899,G7
157.468,C6
158.579,F-7
159.168,Bb7
159.710,C7
160.248,Bb7
160.848,A7
161.919,D7
163.030,G7
164.179,E-7
164.760,A7
165.310,D-7
165.859,G7
166.419,C6
167.600,F-7
168.168,Bb7
168.739,C7
169.310,Bb7
169.860,A7
170.960,D7
172.088,G7
173.240,C6
174.350,F#m7b5
174.939,B79b
175.488,E-7
176.670,F#m7b5
177.248,B79b
177.808,E-7
178.979,A7
180.120,D-7
181.299,A7
182.440,D7
183.600,D-7
184.179,Db7
184.760,C6
185.928,F-7
186.499,Bb7
187.120,C7
187.670,Bb7
188.259,A7
189.408,D7
190.568,G7
191.679,E-7
192.790,A7
193.910,D-7
195.040,G7
196.168,Ab
197.280,E-7
197.848,Eb7
198.368,D-7
199.470,G7
200.539,E-7
201.659,A7
202.710,D-7
203.808,D-7
204.880,Ab
206.000,E-7
206.568,Eb7
207.100,D7
208.208,G7
209.320,E-7
210.419,E-7
210.960,Eb7
211.488,D-7
212.579,D-7
213.150,Db7
213.680,Cj7
214.760,Bb
215.320,A7
215.859,D-7
216.990,Db7
218.080,Cj7
219.200,Bb
219.760,A7
220.288,D7
221.408,Db7
222.550,Cj7
