time,chord
1.523,C-7
2.955,C-7
4.372,C-7
5.742,C-7
7.100,C-7
8.493,C-7
9.805,C-7
11.187,C-7
12.452,C-7
13.834,C-7
15.181,C-7
16.539,C-7
17.921,C-7
19.279,C-7
20.661,C-7
22.007,C-7
23.319,C#-7
24.643,C#-7
26.071,C#-7
27.452,C#-7
28.799,C#-7
30.100,C#-7
31.469,C#-7
32.781,C#-7
34.092,C-7
35.440,C-7
36.780,C-7
38.100,C-7
39.460,C-7
40.810,C-7
42.160,C-7
43.530,C-7
44.890,C-7
46.220,C-7
47.550,C-7
48.890,C-7
50.220,C-7
51.530,C-7
52.890,C-7
54.250,C-7
55.580,C-7
56.920,C-7
58.260,C-7
59.620,C-7
60.950,C-7
62.320,C-7
63.650,C-7
65.000,C-7
66.340,C#-7
67.700,C#-7
69.040,C#-7
70.350,C#-7
71.720,C#-7
73.080,C#-7
74.450,C#-7
75.750,C#-7
77.080,C-7
78.410,C-7
79.780,C-7
81.120,C-7
82.460,C-7
83.830,C-7
85.180,C-7
86.500,C-7
87.830,C-7
89.170,C-7
90.530,C-7
91.840,C-7
93.180,C-7
94.520,C-7
95.850,C-7
97.200,C-7
98.560,C-7
99.880,C-7
101.220,C-7
102.560,C-7
103.900,C-7
105.250,C-7
106.600,C-7
107.920,C-7
109.210,C#-7
110.510,C#-7
111.860,C#-7
113.190,C#-7
114.530,C#-7
115.860,C#-7
117.170,C#-7
118.510,C#-7
119.850,C-7
121.190,C-7
122.540,C-7
123.890,C-7
125.220,C-7
126.530,C-7
127.880,C-7
129.200,C-7
130.500,C-7
131.860,C-7
133.210,C-7
134.580,C-7
135.930,C-7
137.250,C-7
138.610,C-7
139.920,C-7
141.250,C-7
142.590,C-7
143.900,C-7
145.270,C-7
146.590,C-7
147.930,C-7
149.260,C-7
150.560,C-7
151.830,C#-7
153.150,C#-7
154.510,C#-7
155.820,C#-7
157.140,C#-7
158.460,C#-7
159.790,C#-7
161.150,C#-7
162.430,C-7
163.760,C-7
165.120,C-7
166.440,C-7
167.720,C-7
169.030,C-7
170.360,C-7
171.630,C-7
172.880,C-7
174.220,C-7
175.550,C-7
176.890,C-7
178.210,C-7
179.530,C-7
180.850,C-7
182.170,C-7
183.510,C-7
184.840,C-7
186.170,C-7
187.490,C-7
188.840,C-7
190.190,C-7
191.540,C-7
192.870,C-7
194.190,C#-7
195.520,C#-7
196.820,C#-7
198.150,C#-7
199.470,C#-7
200.800,C#-7
202.130,C#-7
203.430,C#-7
204.710,C-7
205.940,C-7
207.270,C-7
208.570,C-7
209.900,C-7
211.230,C-7
212.540,C-7
213.790,C-7
215.250,C-7
216.610,C-7
217.990,C-7
219.390,C-7
220.780,C-7
222.160,C-7
223.540,C-7
224.930,C-7
226.280,C-7
227.650,C-7
229.010,C-7
230.360,C-7
231.730,C-7
233.070,C-7
234.440,C-7
235.790,C-7
237.160,C#-7
238.480,C#-7
239.860,C#-7
241.170,C#-7
242.520,C#-7
243.870,C#-7
245.240,C#-7
246.610,C#-7
247.980,C-7
249.320,C-7
250.710,C-7
252.090,C-7
253.450,C-7
254.810,C-7
256.170,C-7
257.550,C-7
259.030,C-7
260.540,C-7
261.820,C-7
263.100,C-7
264.390,C-7
