time,chord
8.888,D:min7
9.884,D:min7
10.905,D:min7
11.916,D:min7
12.960,D:min7
14.017,D:min7
15.004,D:min7
16.049,D:min7
17.059,D:min7
18.104,D:min7
19.149,D:min7
20.170,D:min7
21.204,D:min7
22.237,D:min7
23.247,D:min7
24.280,D:min7
25.279,Eb:min7
26.358,Eb:min7
27.380,Eb:min7
28.448,Eb:min7
29.481,Eb:min7
30.573,Eb:min7
31.571,Eb:min7
32.570,Eb:min7
33.557,D:min7
34.590,D:min7
35.623,D:min7
36.714,D:min7
37.725,D:min7
38.781,D:min7
39.791,D:min7
40.813,D:min7
41.823,D:min7
42.900,D:min7
43.965,D:min7
45.010,D:min7
46.060,D:min7
47.065,D:min7
48.100,D:min7
49.105,D:min7
50.150,D:min7
51.170,D:min7
52.180,D:min7
53.200,D:min7
54.230,D:min7
55.250,D:min7
56.260,D:min7
57.270,D:min7
58.280,Eb:min7
59.295,Eb:min7
60.325,Eb:min7
61.335,Eb:min7
62.330,Eb:min7
63.345,Eb:min7
64.335,Eb:min7
65.325,Eb:min7
66.350,D:min7
67.370,D:min7
68.375,D:min7
69.370,D:min7
70.355,D:min7
71.340,D:min7
72.335,D:min7
73.315,D:min7
74.305,D:min7
75.310,D:min7
76.335,D:min7
77.335,D:min7
78.340,D:min7
79.320,D:min7
80.310,D:min7
81.310,D:min7
82.305,D:min7
83.305,D:min7
84.295,D:min7
85.295,D:min7
86.280,D:min7
87.280,D:min7
88.275,D:min7
89.250,D:min7
90.235,Eb:min7
91.235,Eb:min7
92.250,Eb:min7
93.240,Eb:min7
94.260,Eb:min7
95.255,Eb:min7
96.250,Eb:min7
97.250,Eb:min7
98.255,D:min7
99.255,D:min7
100.265,D:min7
101.250,D:min7
102.250,D:min7
103.240,D:min7
104.245,D:min7
105.240,D:min7
106.245,D:min7
107.260,D:min7
108.260,D:min7
109.250,D:min7
110.245,D:min7
111.245,D:min7
112.235,D:min7
113.235,D:min7
114.230,D:min7
115.210,D:min7
116.200,D:min7
117.205,D:min7
118.185,D:min7
119.170,D:min7
120.150,D:min7
121.140,D:min7
122.115,Eb:min7
123.130,Eb:min7
124.135,Eb:min7
125.115,Eb:min7
126.110,Eb:min7
127.080,Eb:min7
128.055,Eb:min7
129.020,Eb:min7
129.990,D:min7
130.965,D:min7
131.960,D:min7
132.940,D:min7
133.910,D:min7
134.870,D:min7
135.855,D:min7
136.840,D:min7
137.800,D:min7
138.785,D:min7
139.805,D:min7
140.780,D:min7
141.765,D:min7
142.735,D:min7
143.725,D:min7
144.710,D:min7
145.695,D:min7
146.690,D:min7
147.680,D:min7
148.665,D:min7
149.655,D:min7
150.640,D:min7
151.605,D:min7
152.595,D:min7
153.585,Eb:min7
154.560,Eb:min7
155.555,Eb:min7
156.545,Eb:min7
157.535,Eb:min7
158.500,Eb:min7
159.490,Eb:min7
160.455,Eb:min7
161.425,D:min7
162.375,D:min7
163.360,D:min7
164.335,D:min7
165.315,D:min7
166.285,D:min7
167.265,D:min7
168.240,D:min7
169.185,D:min7
170.195,D:min7
171.190,D:min7
172.175,D:min7
173.145,D:min7
174.135,D:min7
175.130,D:min7
176.100,D:min7
177.080,D:min7
178.060,D:min7
179.030,D:min7
180.020,D:min7
180.990,D:min7
181.955,D:min7
182.930,D:min7
183.890,D:min7
184.860,Eb:min7
185.835,Eb:min7
186.810,Eb:min7
187.785,Eb:min7
188.760,Eb:min7
189.745,Eb:min7
190.700,Eb:min7
191.665,Eb:min7
192.625,D:min7
193.595,D:min7
194.575,D:min7
195.550,D:min7
196.520,D:min7
197.470,D:min7
198.430,D:min7
199.390,D:min7
200.355,D:min7
201.335,D:min7
202.310,D:min7
203.270,D:min7
204.245,D:min7
205.220,D:min7
206.190,D:min7
207.150,D:min7
208.115,D:min7
209.085,D:min7
210.065,D:min7
211.030,D:min7
211.990,D:min7
212.945,D:min7
213.915,D:min7
214.865,D:min7
215.840,Eb:min7
216.795,Eb:min7
217.785,Eb:min7
218.750,Eb:min7
219.715,Eb:min7
220.670,Eb:min7
221.635,Eb:min7
222.600,Eb:min7
223.555,D:min7
224.510,D:min7
225.475,D:min7
226.425,D:min7
227.400,D:min7
228.365,D:min7
229.340,D:min7
230.320,D:min7
231.290,D:min7
232.270,D:min7
233.235,D:min7
234.205,D:min7
235.160,D:min7
236.125,D:min7
237.080,D:min7
238.015,D:min7
238.955,D:min7
239.965,D:min7
240.935,D:min7
241.900,D:min7
242.865,D:min7
243.830,D:min7
244.800,D:min7
245.750,D:min7
246.700,Eb:min7
247.665,Eb:min7
248.615,Eb:min7
249.585,Eb:min7
250.545,Eb:min7
251.515,Eb:min7
252.480,Eb:min7
253.445,Eb:min7
254.400,D:min7
255.375,D:min7
256.330,D:min7
257.305,D:min7
258.260,D:min7
259.220,D:min7
260.185,D:min7
261.130,D:min7
262.100,D:min7
263.065,D:min7
264.040,D:min7
264.985,D:min7
265.960,D:min7
266.905,D:min7
267.875,D:min7
268.820,D:min7
269.765,D:min7
270.735,D:min7
