time,chord
0.172,Bb:maj7
0.680,G:7
1.181,C:min7
1.680,F:7
2.120,Bb:maj7
2.600,G:7
3.061,C:min7
3.541,F:7
4.000,Bb:maj7
4.480,Bb:7
4.971,Eb:maj7
5.429,Eb:min6
5.891,D:min7
6.320,G:7
6.753,C:min7
7.203,F:7
7.710,Bb:maj7
8.202,G:7
8.731,C:min7
9.200,F:7
9.661,Bb:maj7
10.116,G:7
10.560,C:min7
11.069,F:7
11.531,F:min7
12.011,Bb:7
12.491,Eb:maj7
12.981,Eb:min6
13.414,D:min7
13.873,G:7
14.296,F:7
14.788,B:maj7
15.260,D:7
16.225,D:7
17.150,G:7
18.070,G:7
18.970,C:7
19.890,C:7
20.795,F:7
21.700,F:7
22.600,Bb:maj7
23.069,G:7
23.579,C:min7
24.029,F:7
24.499,Bb:maj7
24.989,G:7
25.440,C:min7
25.909,F:7
26.389,F:min7
26.891,Bb:7
27.339,Eb:maj7
27.829,Eb:min6
28.299,D:min7
28.760,G:7
29.197,F:7
29.651,Bb:maj7
30.135,Bb:maj7
30.625,G:7
31.110,C:min7
31.600,F:7
32.090,Bb:maj7
32.565,G:7
33.040,C:min7
33.520,F:7
33.995,Bb:maj7
34.460,Bb:7
34.925,Eb:maj7
35.385,Eb:min6
35.845,D:min7
36.315,G:7
36.780,C:min7
37.245,F:7
37.715,Bb:maj7
38.185,G:7
38.660,C:min7
39.140,F:7
39.610,Bb:maj7
40.070,G:7
40.540,C:min7
41.015,F:7
41.485,F:min7
41.955,Bb:7
42.420,Eb:maj7
42.890,Eb:min6
43.365,D:min7
43.835,G:7
44.300,F:7
44.755,B:maj7
45.220,D:7
46.170,D:7
47.115,G:7
48.065,G:7
49.005,C:7
49.945,C:7
50.895,F:7
51.820,F:7
52.770,Bb:maj7
53.245,G:7
53.730,C:min7
54.200,F:7
54.660,Bb:maj7
55.110,G:7
55.570,C:min7
56.030,F:7
56.485,F:min7
56.950,Bb:7
57.425,Eb:maj7
57.900,Eb:min6
58.370,D:min7
58.845,G:7
59.305,F:7
59.765,Bb:maj7
60.240,Bb:maj7
60.720,G:7
61.195,C:min7
61.660,F:7
62.130,Bb:maj7
62.590,G:7
63.040,C:min7
63.510,F:7
63.970,Bb:maj7
64.430,Bb:7
64.900,Eb:maj7
65.365,Eb:min6
65.825,D:min7
66.295,G:7
66.765,C:min7
67.225,F:7
67.715,Bb:maj7
68.215,G:7
68.690,C:min7
69.160,F:7
69.625,Bb:maj7
70.090,G:7
70.565,C:min7
71.035,F:7
71.505,F:min7
71.980,Bb:7
72.450,Eb:maj7
72.915,Eb:min6
73.390,D:min7
73.855,G:7
74.315,F:7
74.790,B:maj7
75.280,D:7
76.240,D:7
77.150,G:7
78.080,G:7
78.995,C:7
79.910,C:7
80.825,F:7
81.740,F:7
82.675,Bb:maj7
83.155,G:7
83.635,C:min7
84.100,F:7
84.565,Bb:maj7
85.040,G:7
85.510,C:min7
85.980,F:7
86.455,F:min7
86.920,Bb:7
87.380,Eb:maj7
87.845,Eb:min6
88.315,D:min7
88.785,G:7
89.250,F:7
89.710,Bb:maj7
90.160,Bb:maj7
90.610,G:7
91.085,C:min7
91.560,F:7
92.020,Bb:maj7
92.475,G:7
92.935,C:min7
93.405,F:7
93.875,Bb:maj7
94.345,Bb:7
94.810,Eb:maj7
95.265,Eb:min6
95.725,D:min7
96.195,G:7
96.660,C:min7
97.135,F:7
97.610,Bb:maj7
98.075,G:7
98.550,C:min7
99.025,F:7
99.500,Bb:maj7
99.980,G:7
100.455,C:min7
100.920,F:7
101.395,F:min7
101.875,Bb:7
102.340,Eb:maj7
102.805,Eb:min6
103.275,D:min7
103.740,G:7
104.200,F:7
104.665,B:maj7
105.135,D:7
106.065,D:7
107.005,G:7
107.940,G:7
108.870,C:7
109.795,C:7
110.730,F:7
111.660,F:7
112.595,Bb:maj7
113.065,G:7
113.540,C:min7
114.015,F:7
114.485,Bb:maj7
114.960,G:7
115.435,C:min7
115.900,F:7
116.370,F:min7
116.850,Bb:7
117.320,Eb:maj7
117.790,Eb:min6
118.265,D:min7
118.740,G:7
119.210,F:7
119.680,Bb:maj7
120.155,Bb:maj7
120.620,G:7
121.090,C:min7
121.560,F:7
122.035,Bb:maj7
122.515,G:7
122.985,C:min7
123.465,F:7
123.945,Bb:maj7
124.410,Bb:7
124.865,Eb:maj7
125.330,Eb:min6
125.805,D:min7
126.275,G:7
126.750,C:min7
127.220,F:7
127.680,Bb:maj7
128.155,G:7
128.625,C:min7
129.085,F:7
129.560,Bb:maj7
130.035,G:7
130.505,C:min7
130.975,F:7
131.450,F:min7
131.920,Bb:7
132.390,Eb:maj7
132.860,Eb:min6
133.320,D:min7
133.780,G:7
134.250,F:7
134.720,B:maj7
135.185,D:7
136.145,D:7
137.085,G:7
138.030,G:7
138.975,C:7
139.905,C:7
140.850,F:7
141.790,F:7
142.720,Bb:maj7
143.200,G:7
143.675,C:min7
144.145,F:7
144.615,Bb:maj7
145.095,G:7
145.580,C:min7
146.040,F:7
146.490,F:min7
146.955,Bb:7
147.420,Eb:maj7
147.880,Eb:min6
148.345,D:min7
148.800,G:7
149.250,F:7
149.715,Bb:maj7
150.185,Bb:maj7
150.660,G:7
151.135,C:min7
151.600,F:7
152.055,Bb:maj7
152.505,G:7
152.960,C:min7
153.420,F:7
153.870,Bb:maj7
154.325,Bb:7
154.790,Eb:maj7
155.250,Eb:min6
155.710,D:min7
156.165,G:7
156.625,C:min7
157.090,F:7
157.545,Bb:maj7
158.010,G:7
158.480,C:min7
158.935,F:7
159.395,Bb:maj7
159.855,G:7
160.310,C:min7
160.770,F:7
161.230,F:min7
161.690,Bb:7
162.155,Eb:maj7
162.620,Eb:min6
163.085,D:min7
163.555,G:7
164.020,F:7
164.490,B:maj7
164.965,D:7
165.885,D:7
166.800,G:7
167.710,G:7
168.635,C:7
169.560,C:7
170.480,F:7
171.400,F:7
172.320,Bb:maj7
172.775,G:7
173.230,C:min7
173.685,F:7
174.135,Bb:maj7
174.595,G:7
175.060,C:min7
175.515,F:7
175.965,F:min7
176.420,Bb:7
176.875,Eb:maj7
177.335,Eb:min6
177.795,D:min7
178.255,G:7
178.720,F:7
179.185,Bb:maj7
179.660,Bb:maj7
180.140,G:7
180.610,C:min7
181.080,F:7
