time,chord
36.160,F-7
37.150,C79#
38.140,F-7
39.120,F79b
40.130,Bb-7
41.090,F79#
42.090,Bb-7
43.080,Bb-7
44.060,Dbj7
45.080,D-7
45.550,G7
46.050,Cj7
47.030,Db-7
47.540,Gb7
48.030,Bj7
49.030,C-7
49.520,F7
50.010,Bbj7
50.990,Bbj7
51.970,Bb-7
52.970,Eb7
53.940,Abj7
54.930,Gm7b5
55.410,C7
55.910,F-7
56.880,C79#
57.860,F-7
58.820,F79b
59.780,Bb-7
60.770,F79#
61.730,Bb-7
62.690,Bb-7
63.670,Dbj7
64.650,Dm7b5
65.150,G7
65.650,Cm7b5
66.150,Gb7
66.650,F7
67.140,B7
67.650,Bb-7
68.640,Eb7
69.600,Ab6
70.560,Gm7b5
71.020,C79b
71.510,F-7
72.500,C79#
73.490,F-7
74.490,F79b
75.490,Bb-7
76.470,F79#
77.450,Bb-7
78.430,Bb-7
79.420,Dbj7
80.410,D-7
80.890,G7
81.380,Cj7
82.370,Db-7
82.870,Gb7
83.360,Bj7
84.330,C-7
84.810,F7
85.280,Bbj7
86.240,Bbj7
87.220,Bb-7
88.220,Eb7
89.200,Abj7
90.180,Gm7b5
90.660,C7
91.160,F-7
92.120,C79#
93.100,F-7
94.100,F79b
95.080,Bb-7
96.050,F79#
97.010,Bb-7
97.980,Bb-7
98.940,Dbj7
99.920,Dm7b5
100.390,G7
100.880,Cm7b5
101.360,Gb7
101.890,F7
102.380,B7
102.880,Bb-7
103.870,Eb7
104.870,Ab6
105.860,Gm7b5
106.360,C79b
106.870,F-7
107.870,C79#
108.860,F-7
109.830,F79b
110.820,Bb-7
111.810,F79#
112.780,Bb-7
113.770,Bb-7
114.740,Dbj7
115.720,D-7
116.230,G7
116.700,Cj7
117.700,Db-7
118.180,Gb7
118.660,Bj7
119.650,C-7
120.160,F7
120.630,Bbj7
121.620,Bbj7
122.590,Bb-7
123.560,Eb7
124.540,Abj7
125.510,Gm7b5
126.000,C7
126.480,F-7
127.470,C79#
128.410,F-7
129.360,F79b
130.300,Bb-7
131.270,F79#
132.240,Bb-7
133.190,Bb-7
134.170,Dbj7
135.140,Dm7b5
135.640,G7
136.120,Cm7b5
136.620,Gb7
137.110,F7
137.600,B7
138.080,Bb-7
139.060,Eb7
140.050,Ab6
141.020,Gm7b5
141.510,C79b
141.970,F-7
142.970,C79#
143.940,F-7
144.920,F79b
145.870,Bb-7
146.880,F79#
147.850,Bb-7
148.820,Bb-7
149.790,Dbj7
150.780,D-7
151.270,G7
151.770,Cj7
152.750,Db-7
153.260,Gb7
153.760,Bj7
154.720,C-7
155.190,F7
155.690,Bbj7
156.650,Bbj7
157.630,Bb-7
158.610,Eb7
159.570,Abj7
160.550,Gm7b5
161.020,C7
161.490,F-7
162.460,C79#
163.410,F-7
164.340,F79b
165.270,Bb-7
166.210,F79#
167.200,Bb-7
168.190,Bb-7
169.170,Dbj7
170.150,Dm7b5
170.640,G7
171.120,Cm7b5
171.620,Gb7
172.130,F7
172.620,B7
173.100,Bb-7
174.100,Eb7
175.060,Ab6
176.050,Gm7b5
176.540,C79b
177.000,F-7
177.980,C79#
178.970,F-7
179.930,F79b
180.920,Bb-7
181.910,F79#
182.880,Bb-7
183.870,Bb-7
184.870,Dbj7
185.840,D-7
186.330,G7
186.820,Cj7
187.780,Db-7
188.260,Gb7
188.760,Bj7
189.730,C-7
190.230,F7
190.720,Bbj7
191.700,Bbj7
192.660,Bb-7
193.660,Eb7
194.640,Abj7
195.610,Gm7b5
196.100,C7
196.590,F-7
197.560,C79#
198.500,F-7
199.430,F79b
200.380,Bb-7
201.340,F79#
202.330,Bb-7
203.290,Bb-7
204.220,Dbj7
205.210,Dm7b5
205.700,G7
206.180,Cm7b5
206.680,Gb7
207.150,F7
207.650,B7
208.140,Bb-7
209.120,Eb7
210.090,Ab6
211.060,Gm7b5
211.540,C79b
212.010,F-7
213.000,C79#
213.940,F-7
214.920,F79b
215.890,Bb-7
216.860,F79#
217.850,Bb-7
218.820,Bb-7
219.790,Dbj7
220.750,D-7
221.240,G7
221.720,Cj7
222.690,Db-7
223.170,Gb7
223.650,Bj7
224.630,C-7
225.110,F7
225.600,Bbj7
226.570,Bbj7
227.540,Bb-7
228.520,Eb7
229.460,Abj7
230.450,Gm7b5
230.930,C7
231.400,F-7
232.380,C79#
233.340,F-7
234.300,F79b
235.260,Bb-7
236.250,F79#
237.190,Bb-7
238.160,Bb-7
239.100,Dbj7
240.070,Dm7b5
240.560,G7
241.040,Cm7b5
241.530,Gb7
242.020,F7
242.490,B7
242.960,Bb-7
243.930,Eb7
244.890,Ab6
245.860,Gm7b5
246.350,C79b
246.840,F-7
247.800,C79#
248.760,F-7
249.710,F79b
250.690,Bb-7
251.660,F79#
252.620,Bb-7
253.580,Bb-7
254.550,Dbj7
255.510,D-7
256.010,G7
256.490,Cj7
257.460,Db-7
257.940,Gb7
258.420,Bj7
259.390,C-7
259.860,F7
260.330,Bbj7
261.290,Bbj7
262.270,Bb-7
263.210,Eb7
264.160,Abj7
265.110,Gm7b5
265.560,C7
266.050,F-7
267.030,C79#
268.030,F-7
268.990,F79b
269.940,Bb-7
270.910,F79#
271.850,Bb-7
272.780,Bb-7
273.760,Dbj7
274.720,Dm7b5
275.200,G7
275.680,Cm7b5
276.150,Gb7
276.630,F7
277.120,B7
277.600,Bb-7
278.550,Eb7
279.510,Ab6
280.440,Gm7b5
280.900,C79b
281.380,F-7
