time,chord
32.4,Gb:maj
32.8,Gb:maj
33.0,Gb:maj
33.4,Gb:maj
34.0,F:7
34.2,F:7
35.2,F:7
35.4,F:7
35.8,F:7
36.0,F:7
36.4,A#:7
36.6,A#:7
37.0,A#:7
37.2,A#:7
37.6,A#:7
37.8,A#:7
38.2,A#:7
38.4,A#:7
38.8,A#:min7
39.0,A#:min7
39.4,A#:min7
39.6,A#:min7
40.0,D#:7
40.4,D#:7
40.8,D#:7
41.0,D#:7
41.4,Gb:maj
41.6,Gb:maj
42.6,Gb:maj
42.8,Gb:maj
43.8,Gb:maj
44.0,Gb:maj
45.0,Gb:maj
45.2,Gb:maj
46.2,D#:min7
46.4,D#:min7
47.4,D#:min7
47.6,D#:min7
48.6,D:7
48.8,D:7
49.8,D:7
50.0,D:7
51.0,C#:maj
51.2,C#:maj
52.2,C#:maj
52.4,C#:maj
53.4,C#:maj
53.6,C#:maj
54.6,C#:maj
54.8,C#:maj
55.8,C#:min7
56.0,C#:min7
57.0,C#:min7
57.2,C#:min7
58.2,C#:min7
58.4,C#:min7
59.4,C#:min7
59.6,C#:min7
60.6,Gb:maj
60.8,Gb:maj
61.8,Gb:maj
62.0,Gb:maj
63.0,Gb:maj
63.2,Gb:maj
64.2,Gb:maj
64.4,Gb:maj
65.4,F:7
65.6,F:7
66.6,F:7
66.8,F:7
67.8,F:7
68.0,F:7
69.0,F:7
69.2,F:7
70.2,A#:7
70.4,A#:7
71.4,A#:7
71.6,A#:7
72.6,A#:7
72.8,A#:7
73.4,A#:7
73.8,A#:7
74.0,A#:7
74.4,A#:7
74.6,A#:7
75.0,A#:min7
75.2,A#:min7
75.6,A#:min7
75.8,A#:min7
76.2,D#:7
76.4,D#:7
76.8,D#:7
77.0,D#:7
77.4,Gb:maj
77.6,Gb:maj
78.0,Gb:maj
78.2,Gb:maj
78.6,F:7
78.8,F:7
79.8,F:7
80.0,F:7
80.8,F:7
81.2,F:7
81.8,A#:7
82.0,A#:7
