time,chord
133.600,Gm7b5
134.000,Gm7b5
134.400,Gm7b5
134.800,Gm7b5
135.600,C+7
135.800,C+7
137.000,C+7
137.400,C+7
137.800,C+7
138.200,Fm7b5
138.600,Fm7b5
139.000,Fm7b5
139.400,Fm7b5
140.200,A#+7
140.400,A#+7
141.800,A#+7
142.000,A#+7
143.400,A#+7
143.600,A#+7
145.000,A#+7
145.200,A#+7
146.400,Dm7b5
146.600,Dm7b5
148.000,Dm7b5
148.200,Dm7b5
149.600,Dm7b5
149.800,Dm7b5
150.400,Dm7b5
150.800,G+7
151.200,G+7
151.600,G+7
152.000,G+7
152.800,Cj7
153.000,Cj7
154.400,Cj7
154.600,Cj7
156.000,Cj7
156.200,Cj7
157.600,Cj7
157.800,Cj7
159.200,Cj7
159.400,Cj7
160.600,Cj7
160.800,Cj7
162.200,Cj7
162.400,Cj7
163.800,Cj7
164.000,Cj7
164.800,Gm7b5
165.000,Gm7b5
166.400,Gm7b5
166.600,Gm7b5
168.000,Gm7b5
168.200,Gm7b5
169.600,Gm7b5
169.800,Gm7b5
171.200,C+7
171.400,C+7
172.400,C+7
172.800,C+7
173.200,C+7
174.000,Fm7b5
174.200,Fm7b5
175.600,Fm7b5
176.000,Fm7b5
176.400,Fm7b5
176.800,A#+7
177.200,A#+7
177.600,A#+7
178.000,A#+7
178.400,Dm7b5
178.800,Dm7b5
179.200,Dm7b5
179.600,Dm7b5
181.000,G+7
181.200,G+7
182.200,G+7
182.600,G+7
183.000,G+7
183.800,Cj7
184.000,Cj7
185.400,Cj7
185.600,Cj7
187.000,Cj7
187.200,Cj7
188.600,Cj7
188.800,Cj7
190.200,Cj7
190.400,Cj7
191.800,Cj7
192.400,Cj7
192.800,Cj7
193.200,C-7
193.600,C-7
194.000,C-7
194.400,C-7
194.800,F7
195.200,F7
195.600,F7
196.000,F7
196.400,A#j7
196.600,A#j7
197.000,A#j7
197.400,A#j7
197.800,A#j7
198.200,A#j7
198.600,A#j7
199.000,A#j7
199.400,A#j7
200.200,Gb7
200.400,Gb7
201.800,Gb7
202.000,Gb7
203.400,Gb7
203.600,Gb7
205.000,Gb7
205.200,Gb7
206.600,Gb7
206.800,Gb7
208.200,Gb7
208.600,Gb7
209.000,Gb7
209.400,G7
209.800,G7
210.200,G7
210.600,G7
211.000,G7
211.400,G7
211.800,G7
212.200,G7
212.600,Gm7b5
213.000,Gm7b5
213.400,Gm7b5
213.800,Gm7b5
214.200,C+7
214.600,C+7
215.000,C+7
215.400,C+7
215.800,Fm7b5
216.200,Fm7b5
216.600,Fm7b5
217.000,Fm7b5
217.400,A#+7
217.800,A#+7
218.200,A#+7
218.600,A#+7
219.000,Dm7b5
219.600,Dm7b5
220.600,Dm7b5
220.800,Dm7b5
222.200,Dm7b5
222.400,Dm7b5
223.800,G+7
224.000,G+7
224.800,G+7
225.200,G+7
225.600,G+7
226.000,Cj7
226.400,Cj7
226.800,Cj7
227.200,Cj7
227.600,Cj7
228.000,Cj7
228.400,Cj7
228.800,Cj7
229.600,Gm7b5
229.800,Gm7b5
231.000,Gm7b5
231.400,Gm7b5
231.800,Gm7b5
232.600,C+7
232.800,C+7
234.200,C+7
234.400,C+7
235.800,C+7
236.000,C+7
236.600,C+7
237.000,Fm7b5
237.400,Fm7b5
238.200,Fm7b5
238.400,Fm7b5
239.800,Fm7b5
240.000,Fm7b5
241.400,A#+7
241.600,A#+7
243.000,A#+7
243.200,A#+7
244.600,A#+7
244.800,A#+7
246.200,A#+7
246.400,A#+7
247.600,Dm7b5
248.000,Dm7b5
248.400,Dm7b5
248.800,Dm7b5
249.600,G+7
249.800,G+7
250.400,G+7
250.800,G+7
251.200,G+7
252.000,Cj7
252.200,Cj7
252.600,Cj7
253.000,Cj7
253.400,Cj7
253.800,Cj7
254.200,Cj7
255.000,Cj7
255.200,Cj7
256.600,Cj7
256.800,Cj7
258.200,Gm7b5
258.400,Gm7b5
259.800,Gm7b5
260.000,Gm7b5
261.400,Gm7b5
261.600,Gm7b5
262.600,Gm7b5
263.400,C+7
263.600,C+7
265.000,C+7
265.200,C+7
266.600,C+7
266.800,C+7
268.200,C+7
268.400,C+7
269.800,Fm7b5
270.000,Fm7b5
271.400,Fm7b5
271.600,Fm7b5
273.000,Fm7b5
273.200,Fm7b5
274.600,Fm7b5
274.800,Fm7b5
276.200,A#+7
276.400,A#+7
277.000,A#+7
277.400,A#+7
277.800,A#+7
278.200,Dm7b5
278.600,Dm7b5
279.000,Dm7b5
279.400,Dm7b5
280.200,G+7
280.400,G+7
281.800,G+7
283.000,G+7
283.400,G+7
284.200,Cj7
284.400,Cj7
285.800,Cj7
286.000,Cj7
287.400,Cj7
287.600,Cj7
289.000,Cj7
289.200,Cj7
290.000,Cj7
290.400,Cj7
290.800,Cj7
291.200,Cj7
291.600,C-7
292.000,C-7
292.400,C-7
292.800,C-7
293.800,F7
294.000,F7
295.400,F7
295.600,F7
297.000,F7
297.200,F7
298.600,F7
298.800,F7
300.200,A#j7
300.400,A#j7
301.800,A#j7
302.000,A#j7
303.400,A#j7
303.600,A#j7
305.000,A#j7
305.200,A#j7
306.200,A#j7
306.600,A#j7
307.000,A#j7
307.400,A#j7
307.800,Gb7
308.200,Gb7
308.600,Gb7
309.000,Gb7
309.400,Gb7
309.800,Gb7
310.200,Gb7
310.600,Gb7
311.000,G7
311.400,G7
311.800,G7
312.200,G7
312.600,G7
313.000,G7
313.400,G7
313.800,G7
314.200,Gm7b5
314.600,Gm7b5
315.000,Gm7b5
315.400,Gm7b5
315.800,C+7
316.200,C+7
316.600,C+7
317.000,C+7
317.200,C+7
