time,chord
13.030,F:maj7
14.330,G:min7
14.940,C:7
15.540,F:maj7
16.730,Bb:min7
17.350,Eb:7
17.940,A:min7
18.540,Ab:7
19.150,G:min7
19.740,C:7
20.320,F:maj7
21.460,Ab:min7
22.040,Db:7
22.610,Gb:maj7
23.800,Ab:min7
24.380,Db:7
24.980,Gb:maj7
26.140,B:min7
26.730,E:7
27.320,Bb:min7
27.910,A:7
28.520,Ab:min7
29.090,Db:7
29.680,Gb:maj7
30.820,A:min7
31.410,D:7
31.980,G:maj7
33.160,G:min7
33.750,C:7
34.340,F:maj7
35.500,F:min7
36.080,Bb:7
36.650,Eb:maj7
37.840,Ab:min7
38.420,Db:7
38.990,Gb:maj7
40.160,G:min7
40.740,C:7
41.330,F:maj7
42.480,G:min7
43.060,C:7
43.620,F:maj7
44.780,Bb:min7
45.390,Eb:7
45.970,A:min7
46.560,Ab:7
47.170,G:min7
47.760,C:7
48.330,F:maj
49.430,N
50.570,F:maj7
51.740,G:min7
52.330,C:7
52.910,F:maj7
54.090,Bb:min7
54.710,Eb:7
55.300,A:min7
55.890,Ab:7
56.510,G:min7
57.090,C:7
57.700,F:maj7
58.910,Ab:min7
59.510,Db:7
60.090,Gb:maj7
61.320,Ab:min7
61.920,Db:7
62.520,Gb:maj7
63.720,B:min7
64.320,E:7
64.930,Bb:min7
65.540,A:7
66.130,Ab:min7
66.740,Db:7
67.350,Gb:maj7
68.560,A:min7
69.160,D:7
69.790,G:maj7
71.020,G:min7
71.630,C:7
72.240,F:maj7
73.450,F:min7
74.060,Bb:7
74.630,Eb:maj7
75.850,Ab:min7
76.450,Db:7
77.050,Gb:maj7
78.270,G:min7
78.870,C:7
79.480,F:maj7
80.670,G:min7
81.280,C:7
81.860,F:maj7
83.090,Bb:min7
83.690,Eb:7
84.270,A:min7
84.890,Ab:7
85.490,G:min7
86.100,C:7
86.690,F:maj
87.900,G:min7
88.500,C:7
89.090,F:maj7
90.320,G:min7
90.940,C:7
91.550,F:maj7
92.800,Bb:min7
93.420,Eb:7
94.030,A:min7
94.630,D:7
95.240,G:min7
95.860,C:7
96.470,F:maj7
97.690,Ab:min7
98.300,Db:7
98.890,Gb:maj7
100.140,Ab:min7
100.760,Db:7
101.380,Gb:maj7
102.600,B:min7
103.220,E:7
103.850,Bb:min7
104.450,A:7
105.060,Ab:min7
105.690,Db:7
106.300,Gb:maj7
107.520,A:min7
108.140,D:7
108.740,G:maj7
110.000,G:min7
110.620,C:7
111.230,F:maj7
112.450,F:min7
113.060,Bb:7
113.680,Eb:maj7
114.930,Ab:min7
115.520,Db:7
116.140,Gb:maj7
117.370,G:min7
117.990,C:7
