time,chord
16.580,F#:min
20.630,G:maj/5
24.660,F#:min
26.650,A:maj
28.690,G:maj/5
30.690,G#:hdim7
31.710,C#:7(b9)
32.740,F#:min
34.780,F#:min/7
36.800,F#:min/b7
40.870,D#:hdim7
44.910,G#:7
48.870,C#:aug(b7)
52.830,F#:7
56.870,B:7
60.880,E:7
64.880,A:maj
68.920,D:maj7
72.950,A:maj
76.850,D:maj
78.840,C#:7
80.850,F#:min
84.890,G:maj/5
88.900,F#:min
90.920,A:maj
92.960,G:maj/5
94.950,G#:hdim7
95.980,C#:7(b9)
97.030,F#:min
99.060,F#:min/7
101.060,F#:min/b7
105.120,D#:hdim7
109.200,G#:7
113.220,C#:aug(b7)
117.300,F#:7
121.310,B:7
125.400,E:7
129.440,A:maj
133.560,D:maj7
137.590,A:maj
141.570,D:maj
143.640,C#:7
145.670,F#:min
153.790,F#:min
155.790,G#:hdim7
156.800,C#:7(b9)
157.790,F#:min
159.810,G#:hdim7
160.810,C#:7(b9)
161.810,F#:min
162.840,F#:min/7
163.870,F#:min/b7
165.880,D:maj
167.890,D#:hdim7
168.890,G#:7
169.910,C#:aug(b7)
171.910,F#:7
173.910,B:7
175.910,E:7
177.900,A:7
179.890,D:maj7
181.880,C#:7(b9)
189.520,F#:min
191.500,G#:hdim7
192.490,C#:7(b9)
193.470,F#:min
195.460,G#:hdim7
196.450,C#:7(b9)
197.430,F#:min
198.450,F#:min/7
199.450,F#:min/b7
201.420,D:maj
203.440,D#:hdim7
204.430,G#:7
205.410,C#:aug(b7)
207.400,F#:7
209.390,B:7
211.390,E:7
213.370,A:7
215.370,D:maj7
217.330,C#:7(b9)
232.340,F#:min
234.270,G#:hdim7
235.260,C#:7(b9)
236.270,F#:min
238.250,G#:hdim7
239.250,C#:7(b9)
240.240,F#:min
241.230,F#:min/7
242.220,F#:min/b7
244.180,D:maj
246.150,D#:hdim7
247.150,G#:7
248.120,C#:aug(b7)
250.110,F#:7
252.070,B:7
254.040,E:7
256.010,A:7
258.010,D:maj7
259.970,C#:7(b9)
275.190,F#:min
