time,chord
0.2,F:7
0.6,F:7
2.0,F:7
2.6,F:7
3.0,A#:7
3.6,A#:7
4.0,A#:7
5.2,A#:7
5.4,A#:7
7.2,F:7
7.4,F:7
9.2,F:7
9.4,F:7
11.2,F:7
11.4,F:7
12.0,F:7
12.6,F:7
13.0,F:7
13.6,F:7
14.0,F:7
14.6,A#:7
15.0,A#:7
15.6,A#:7
16.0,A#:7
16.6,A#:7
17.0,A#:7
17.6,A#:7
18.0,A#:7
18.6,F:7
19.0,F:7
19.6,F:7
20.4,F:7
21.0,A:min7
21.4,A:min7
22.0,D:7
22.6,D:7
23.0,G:min
23.6,G:min
24.0,G:min
24.6,G:min
26.0,C:7
26.2,C:7
28.0,C:7
28.2,C:7
29.4,C:7
30.0,C:7
30.4,F:7
31.0,F:7
31.4,F:7
32.0,F:7
32.4,C:7
33.0,C:7
33.4,C:7
34.0,C:7
34.4,F:7
35.0,F:7
35.4,F:7
36.0,F:7
36.8,A#:7
37.0,A#:7
38.4,A#:7
38.8,A#:7
39.4,A#:7
40.2,F:7
40.8,F:7
41.4,F:7
41.8,F:7
42.4,F:7
42.8,F:7
43.4,F:7
43.6,F:7
45.4,F:7
45.6,F:7
47.4,A#:7
47.6,A#:7
49.4,A#:7
50.0,A#:7
50.6,A#:7
51.0,A#:7
51.6,A#:7
52.0,A#:7
52.6,A#:7
53.4,F:7
53.6,F:7
55.4,F:7
55.6,F:7
57.4,F:7
57.6,F:7
58.8,F:7
59.4,A:min7
59.8,A:min7
60.4,D:7
60.8,D:7
61.4,G:min
61.8,G:min
62.4,G:min
62.8,G:min
63.4,C:7
63.8,C:7
64.4,C:7
65.2,C:7
65.4,C:7
67.2,F:7
67.4,F:7
69.2,F:7
69.4,F:7
70.2,F:7
70.8,F:7
71.6,C:7
71.8,C:7
73.6,C:7
73.8,C:7
75.6,C:7
75.8,C:7
76.6,C:7
77.4,F:7
77.6,F:7
79.4,F:7
79.6,F:7
81.4,F:7
81.6,F:7
83.2,F:7
83.4,F:7
85.2,A#:7
85.4,A#:7
87.2,A#:7
87.4,A#:7
89.2,A#:7
89.4,A#:7
91.2,A#:7
91.4,A#:7
93.2,F:7
93.4,F:7
95.0,F:7
95.2,F:7
96.8,F:7
97.0,F:7
98.8,F:7
99.0,F:7
100.8,F:7
101.0,F:7
101.6,F:7
102.0,F:7
102.6,F:7
104.0,A#:7
104.2,A#:7
106.0,A#:7
106.2,A#:7
108.0,A#:7
108.2,A#:7
110.0,A#:7
110.2,A#:7
112.0,A#:7
112.2,A#:7
114.0,A#:7
114.2,A#:7
116.0,A#:7
116.2,A#:7
118.0,A#:7
118.2,A#:7
120.0,F:7
120.2,F:7
122.0,F:7
122.2,F:7
122.8,F:7
123.4,F:7
123.8,A:min7
124.4,A:min7
124.6,A:min7
126.4,D:7
126.6,D:7
128.0,D:7
128.6,G:min
128.8,G:min
130.6,G:min
131.2,G:min
131.8,G:min
132.2,C:7
132.8,C:7
133.2,C:7
133.8,C:7
134.2,F:7
134.8,F:7
135.2,F:7
135.8,F:7
136.6,C:7
136.8,C:7
138.6,C:7
138.8,C:7
139.6,C:7
140.2,C:7
