time,chord
0.500,G-7
1.450,G-7
2.410,G-7
3.360,G-7
4.320,G-7
5.270,G-7
6.220,G-7
7.180,G-7
8.150,G-7
9.110,G-7
10.080,G-7
11.030,G-7
11.990,G-7
12.950,G-7
13.887,G-7
14.845,G-7
15.795,A-7
16.775,A-7
17.755,A-7
18.730,A-7
19.690,A-7
20.670,A-7
21.645,A-7
22.615,A-7
23.580,A-7
24.560,A-7
25.535,A-7
26.490,A-7
27.460,A-7
28.420,A-7
29.380,A-7
30.365,A-7
31.340,G-7
32.320,G-7
33.305,G-7
34.290,G-7
35.270,G-7
36.245,G-7
37.230,G-7
38.210,G-7
39.205,G-7
40.190,G-7
41.160,G-7
42.135,G-7
43.125,G-7
44.095,G-7
45.060,G-7
46.030,G-7
47.005,G-7
47.975,G-7
48.945,G-7
49.925,G-7
50.895,G-7
51.890,G-7
52.865,G-7
53.860,G-7
54.845,A-7
55.830,A-7
56.825,A-7
57.810,A-7
58.780,A-7
59.765,A-7
60.755,A-7
61.730,A-7
62.720,A-7
63.705,A-7
64.680,A-7
65.665,A-7
66.640,A-7
67.635,A-7
68.620,A-7
69.615,A-7
70.610,G-7
71.600,G-7
72.595,G-7
73.575,G-7
74.560,G-7
75.540,G-7
76.530,G-7
77.545,G-7
78.540,G-7
79.530,G-7
80.535,G-7
81.545,G-7
82.555,G-7
83.565,G-7
84.570,G-7
85.560,G-7
86.550,G-7
87.545,G-7
88.560,G-7
89.560,G-7
90.565,G-7
91.580,G-7
92.570,G-7
93.565,G-7
94.570,A-7
95.570,A-7
96.580,A-7
97.570,A-7
98.575,A-7
99.580,A-7
100.595,A-7
101.580,A-7
102.585,A-7
103.585,A-7
104.590,A-7
105.605,A-7
106.625,A-7
107.630,A-7
108.625,A-7
109.635,A-7
110.635,G-7
111.660,G-7
112.665,G-7
113.665,G-7
114.670,G-7
115.660,G-7
116.655,G-7
117.665,G-7
118.655,G-7
119.675,G-7
120.700,G-7
121.720,G-7
122.720,G-7
123.730,G-7
124.740,G-7
125.755,G-7
126.760,G-7
127.775,G-7
128.790,G-7
129.795,G-7
130.810,G-7
131.815,G-7
132.835,G-7
133.835,G-7
134.830,A-7
135.835,A-7
136.845,A-7
137.850,A-7
138.845,A-7
139.850,A-7
140.850,A-7
141.860,A-7
142.860,A-7
143.875,A-7
144.900,A-7
145.915,A-7
146.930,A-7
147.945,A-7
148.945,A-7
149.940,A-7
150.960,G-7
151.975,G-7
152.985,G-7
153.995,G-7
155.005,G-7
156.025,G-7
157.040,G-7
158.050,G-7
159.070,G-7
160.080,G-7
161.090,G-7
162.115,G-7
163.140,G-7
164.165,G-7
165.195,G-7
166.225,G-7
167.265,G-7
168.295,G-7
169.310,G-7
170.335,G-7
171.345,G-7
172.370,G-7
173.395,G-7
174.410,G-7
175.445,A-7
176.465,A-7
177.505,A-7
178.515,A-7
179.565,A-7
180.590,A-7
181.595,A-7
182.610,A-7
183.610,A-7
184.635,A-7
185.645,A-7
186.655,A-7
187.675,A-7
188.700,A-7
189.705,A-7
190.725,A-7
191.745,G-7
192.770,G-7
193.820,G-7
194.830,G-7
195.865,G-7
196.900,G-7
197.930,G-7
198.960,G-7
200.000,G-7
201.015,G-7
202.030,G-7
203.035,G-7
204.050,G-7
205.075,G-7
206.085,G-7
207.095,G-7
208.120,G-7
209.135,G-7
210.155,G-7
211.170,G-7
212.200,G-7
213.215,G-7
214.240,G-7
215.260,G-7
216.280,A-7
217.310,A-7
218.310,A-7
219.325,A-7
220.325,A-7
221.345,A-7
222.375,A-7
223.415,A-7
224.430,A-7
225.455,A-7
226.500,A-7
227.515,A-7
228.540,A-7
229.570,A-7
230.610,A-7
231.650,A-7
232.665,G-7
233.690,G-7
234.720,G-7
235.750,G-7
236.795,G-7
237.840,G-7
238.860,G-7
239.885,G-7
240.950,G-7
241.980,G-7
243.015,G-7
244.065,G-7
245.100,G-7
246.120,G-7
247.145,G-7
248.185,G-7
249.195,G-7
250.230,G-7
251.275,G-7
252.295,G-7
253.325,G-7
254.360,G-7
255.395,G-7
256.445,G-7
257.485,A-7
258.520,A-7
259.545,A-7
260.555,A-7
261.575,A-7
262.610,A-7
263.635,A-7
264.650,A-7
265.645,A-7
266.675,A-7
267.695,A-7
268.705,A-7
269.745,A-7
270.765,A-7
271.795,A-7
272.815,A-7
273.865,G-7
274.920,G-7
275.975,G-7
277.020,G-7
278.065,G-7
279.115,G-7
280.150,G-7
281.185,G-7
282.250,G-7
283.295,G-7
284.335,G-7
285.380,G-7
286.425,G-7
287.475,G-7
288.515,G-7
289.575,G-7
290.625,G-7
291.680,G-7
292.725,G-7
293.775,G-7
294.825,G-7
295.870,G-7
296.920,G-7
297.985,G-7
299.035,A-7
300.090,A-7
301.145,A-7
302.205,A-7
303.270,A-7
304.330,A-7
305.375,A-7
306.425,A-7
307.485,A-7
308.535,A-7
309.580,A-7
310.635,A-7
311.690,A-7
312.750,A-7
313.790,A-7
314.835,A-7
315.890,G-7
316.935,G-7
317.970,G-7
319.010,G-7
320.055,G-7
321.090,G-7
322.140,G-7
323.170,G-7
324.220,G-7
325.275,G-7
326.315,G-7
327.360,G-7
328.405,G-7
329.440,G-7
330.490,G-7
331.540,G-7
332.600,G-7
333.640,G-7
334.685,G-7
335.725,G-7
336.775,G-7
337.820,G-7
338.875,G-7
339.910,G-7
