time,chord
16.320,Bb:maj7
16.720,G:min7
17.100,C:min7
17.480,F:7
17.850,D:min7
18.230,G:min7
18.620,C:min7
19.010,F:7
19.390,Bb:maj7
19.780,Bb:7
20.190,Eb:7
20.580,E:dim7
20.970,Bb:maj7
21.350,F:7
21.730,Bb:maj7
22.500,Bb:maj7
22.890,G:min7
23.280,C:min7
23.650,F:7
24.040,D:min7
24.420,G:min7
24.810,C:min7
25.190,F:7
25.580,Bb:maj7
25.960,Bb:7
26.360,Eb:7
26.760,E:dim7
27.130,Bb:maj7
27.520,F:7
27.910,Bb:maj7
28.290,Bb:maj7
28.680,D:7
29.470,D:7
30.240,G:7
31.020,G:7
31.790,C:7
32.570,C:7
33.320,F:7
34.110,F:7
34.900,Bb:maj7
35.300,G:min7
35.700,C:min7
36.080,F:7
36.470,D:min7
36.860,G:min7
37.250,C:min7
37.640,F:7
38.020,Bb:7
38.410,Bb:7/3
38.790,Eb:7
39.180,E:dim7
39.560,Bb:maj/5
39.940,Eb:7
40.330,D:min7
40.720,G:7
41.100,C:min7
41.510,F:7
41.890,Bb:maj7
42.670,Bb:maj7
43.050,G:min7
43.460,C:min7
43.850,F:7
44.250,D:min7
44.650,G:min7
45.040,C:min7
45.430,F:7
45.820,Bb:maj7
46.220,Bb:7
46.600,Eb:7
47.010,E:dim7
47.400,Bb:maj7
47.790,F:7
48.180,Bb:maj7
48.970,Bb:maj7
49.360,G:min7
49.760,C:min7
50.150,F:7
50.550,D:min7
50.930,G:min7
51.310,C:min7
51.710,F:7
52.110,Bb:maj7
52.500,Bb:7
52.900,Eb:7
53.290,E:dim7
53.690,Bb:maj7
54.070,F:7
54.470,Bb:maj7
54.870,Bb:maj7
55.260,D:7
56.030,D:7
56.830,G:7
57.610,G:7
58.400,C:7
59.200,C:7
60.000,F:7
60.800,F:7
61.600,Bb:maj7
62.010,G:min7
62.410,C:min7
62.800,F:7
63.200,D:min7
63.610,G:min7
64.010,C:min7
64.410,F:7
64.810,Bb:7
65.210,Bb:7/3
65.610,Eb:7
66.010,E:dim7
66.410,Bb:maj/5
66.810,Eb:7
67.210,D:min7
67.600,G:7
68.020,C:min7
68.410,F:7
68.810,Bb:maj7
69.610,Bb:maj7
70.020,G:min7
70.420,C:min7
70.820,F:7
71.220,D:min7
71.620,G:min7
72.030,C:min7
72.430,F:7
72.830,Bb:maj7
73.230,Bb:7
73.620,Eb:7
74.030,E:dim7
74.420,Bb:maj7
74.820,F:7
75.220,Bb:maj7
76.010,Bb:maj7
76.400,G:min7
76.810,C:min7
77.190,F:7
77.590,D:min7
78.000,G:min7
78.390,C:min7
78.780,F:7
79.170,Bb:maj7
79.570,Bb:7
79.960,Eb:7
80.350,E:dim7
80.750,Bb:maj7
81.150,F:7
81.550,Bb:maj7
81.960,Bb:maj7
82.350,D:7
83.150,D:7
83.930,G:7
84.720,G:7
85.520,C:7
86.310,C:7
87.090,F:7
87.880,F:7
88.670,Bb:maj7
89.070,G:min7
89.460,C:min7
89.860,F:7
90.260,D:min7
90.660,G:min7
91.050,C:min7
91.440,F:7
91.850,Bb:7
92.250,Bb:7/3
92.640,Eb:7
93.040,E:dim7
93.430,Bb:maj/5
93.850,Eb:7
94.250,D:min7
94.640,G:7
95.040,C:min7
95.430,F:7
95.820,Bb:maj7
96.610,Bb:maj7
97.010,G:min7
97.390,C:min7
97.790,F:7
98.190,D:min7
98.590,G:min7
98.970,C:min7
99.370,F:7
99.760,Bb:maj7
100.150,Bb:7
100.530,Eb:7
100.920,E:dim7
101.320,Bb:maj7
101.720,F:7
102.110,Bb:maj7
102.900,Bb:maj7
103.300,G:min7
103.690,C:min7
104.090,F:7
104.470,D:min7
104.860,G:min7
105.250,C:min7
105.640,F:7
106.040,Bb:maj7
106.420,Bb:7
106.810,Eb:7
107.200,E:dim7
107.570,Bb:maj7
107.960,F:7
108.350,Bb:maj7
108.730,Bb:maj7
109.130,D:7
109.920,D:7
110.730,G:7
111.510,G:7
112.290,C:7
113.070,C:7
113.870,F:7
114.650,F:7
115.430,Bb:maj7
115.830,G:min7
116.230,C:min7
116.620,F:7
117.010,D:min7
117.400,G:min7
117.800,C:min7
118.190,F:7
118.580,Bb:7
118.970,Bb:7/3
119.360,Eb:7
119.760,E:dim7
120.150,Bb:maj/5
120.540,Eb:7
120.940,D:min7
121.330,G:7
121.730,C:min7
122.120,F:7
122.510,Bb:maj7
123.300,Bb:maj7
123.700,G:min7
124.100,C:min7
124.500,F:7
124.880,D:min7
125.270,G:min7
125.670,C:min7
126.050,F:7
126.440,Bb:maj7
126.840,Bb:7
127.230,Eb:7
127.620,E:dim7
128.000,Bb:maj7
128.400,F:7
128.790,Bb:maj7
129.560,Bb:maj7
129.940,G:min7
130.330,C:min7
130.720,F:7
131.100,D:min7
131.480,G:min7
131.880,C:min7
132.270,F:7
132.650,Bb:maj7
133.040,Bb:7
133.440,Eb:7
133.840,E:dim7
134.230,Bb:maj7
134.620,F:7
135.010,Bb:maj7
135.410,Bb:maj7
135.810,D:7
136.600,D:7
137.400,G:7
138.200,G:7
138.990,C:7
139.790,C:7
140.590,F:7
141.380,F:7
142.180,Bb:maj7
142.580,G:min7
142.960,C:min7
143.360,F:7
143.740,D:min7
144.140,G:min7
144.520,C:min7
144.920,F:7
145.310,Bb:7
145.710,Bb:7/3
146.110,Eb:7
146.500,E:dim7
146.890,Bb:maj/5
147.280,Eb:7
147.670,D:min7
148.070,G:7
148.470,C:min7
148.870,F:7
149.260,Bb:maj7
150.050,Bb:maj7
150.440,G:min7
150.830,C:min7
151.220,F:7
151.610,D:min7
151.990,G:min7
152.390,C:min7
152.780,F:7
153.170,Bb:maj7
153.560,Bb:7
153.940,Eb:7
154.330,E:dim7
154.730,Bb:maj7
155.130,F:7
155.520,Bb:maj7
156.320,Bb:maj7
156.710,G:min7
157.110,C:min7
157.500,F:7
157.890,D:min7
158.280,G:min7
158.690,C:min7
159.090,F:7
159.480,Bb:maj7
159.880,Bb:7
160.270,Eb:7
160.680,E:dim7
161.080,Bb:maj7
161.470,F:7
161.860,Bb:maj7
162.250,Bb:maj7
162.630,D:7
163.430,D:7
164.230,G:7
165.010,G:7
165.800,C:7
166.580,C:7
167.340,F:7
168.160,F:7
168.940,Bb:maj7
169.330,G:min7
169.730,C:min7
170.130,F:7
170.530,D:min7
170.920,G:min7
171.320,C:min7
171.720,F:7
172.120,Bb:7
172.510,Bb:7/3
172.910,Eb:7
173.310,E:dim7
173.700,Bb:maj/5
174.090,Eb:7
174.470,D:min7
174.870,G:7
175.270,C:min7
175.660,F:7
176.040,Bb:maj7
176.820,Bb:maj7
177.210,G:min7
177.620,C:min7
178.010,F:7
178.390,D:min7
178.780,G:min7
179.170,C:min7
179.570,F:7
179.970,Bb:maj7
180.350,Bb:7
180.740,Eb:7
181.140,E:dim7
181.530,Bb:maj7
181.930,F:7
182.320,Bb:maj7
183.090,Bb:maj7
183.500,G:min7
183.890,C:min7
184.270,F:7
184.670,D:min7
185.060,G:min7
185.460,C:min7
185.840,F:7
186.220,Bb:maj7
186.630,Bb:7
187.020,Eb:7
187.410,E:dim7
187.800,Bb:maj7
188.190,F:7
188.570,Bb:maj7
188.980,Bb:maj7
189.360,D:7
190.150,D:7
190.950,G:7
191.730,G:7
192.510,C:7
193.300,C:7
194.080,F:7
194.880,F:7
195.650,Bb:maj7
196.040,G:min7
196.430,C:min7
196.830,F:7
197.240,D:min7
197.630,G:min7
198.020,C:min7
198.410,F:7
198.800,Bb:7
199.190,Bb:7/3
199.580,Eb:7
199.980,E:dim7
200.370,Bb:maj/5
200.750,Eb:7
201.150,D:min7
201.530,G:7
201.940,C:min7
202.330,F:7
202.720,Bb:maj7
203.510,Bb:maj7
203.900,G:min7
204.310,C:min7
204.690,F:7
205.080,D:min7
205.490,G:min7
205.870,C:min7
206.240,F:7
206.630,Bb:maj7
207.000,Bb:7
207.390,Eb:7
207.760,E:dim7
208.150,N
209.700,Bb:maj7
210.080,G:min7
210.470,C:min7
210.850,F:7
211.230,D:min7
211.610,G:min7
212.010,C:min7
212.380,F:7
212.760,Bb:maj7
213.140,Bb:7
213.510,Eb:7
213.890,E:dim7
214.280,N
215.800,D:7
216.550,D:7
217.320,G:7
218.070,G:7
218.840,C:7
219.610,C:7
220.370,F:7
221.150,F:7
221.920,Bb:maj7
222.310,G:min7
222.700,C:min7
223.090,F:7
223.470,D:min7
223.850,G:min7
224.250,C:min7
224.630,F:7
225.000,Bb:7
225.390,Bb:7/3
225.770,Eb:7
226.150,E:dim7
226.530,Bb:maj/5
226.900,Eb:7
227.290,D:min7
227.660,G:7
228.030,C:min7
228.410,F:7
228.790,Bb:maj7
229.550,Bb:maj7
229.940,G:min7
230.330,C:min7
230.700,F:7
231.080,D:min7
231.460,G:min7
231.840,C:min7
232.210,F:7
232.590,Bb:maj7
232.980,Bb:7
233.350,Eb:7
233.720,E:dim7
234.100,Bb:maj7
234.470,F:7
234.840,Bb:maj7
235.600,Bb:maj7
235.980,G:min7
236.370,C:min7
236.740,F:7
237.120,D:min7
237.500,G:min7
237.870,C:min7
238.250,F:7
238.630,Bb:maj7
239.000,Bb:7
239.390,Eb:7
239.760,E:dim7
240.130,Bb:maj7
240.510,F:7
240.890,Bb:maj7
241.260,Bb:maj7
241.630,D:7
242.400,D:7
