time,chord
153.8,D:min6
154.0,D:min6
154.0,D:min6
154.2,D:min6
154.2,E:hdim7
154.4,E:hdim7
154.4,A:7(b9)
154.6,A:7(b9)
154.8,A:7(b9)
155.0,D:min6
155.2,D:min6
155.4,D:min6
155.6,D:min6
155.8,D:min6
156.0,D:min6
156.2,D:min6
156.4,D:min6
156.6,E:hdim7
156.8,E:hdim7
156.8,A:7(b9)
157.0,A:7(b9)
157.0,D:min6
157.2,D:min6
157.2,D:min6
157.4,D:min6
157.4,A:hdim7
157.6,A:hdim7
157.6,D:7(b9)
157.8,D:7(b9)
157.8,G:min7
158.0,G:min7
158.0,G:min7
158.2,G:min7
158.2,G:min7
158.4,G:min7
158.4,G:min7
158.6,G:min7
158.6,B:7
158.8,B:7
158.8,E:7
159.0,E:7
159.0,G:min7
159.2,G:min7
159.2,C:7
159.4,C:7
159.4,F:maj7
159.6,F:maj7
159.6,F:maj7
159.8,F:maj7
160.0,F:maj7
160.2,E:hdim7
160.4,E:hdim7
160.6,E:hdim7
160.8,E:hdim7
161.0,A:7
161.2,A:7
161.4,A:7
161.6,A:7
161.8,D:maj7
162.0,D:maj7
162.2,D:maj7
162.4,D:maj7
162.6,D:maj7
162.6,E:hdim7
162.8,E:hdim7
162.8,A:7
163.0,A:7
163.2,A:7
163.4,D:min6
163.6,D:min6
163.8,D:min6
164.0,D:min6
164.2,D:min6
164.4,D:min6
164.6,D:min6
164.8,D:min6
165.0,E:hdim7
165.2,E:hdim7
165.4,E:hdim7
165.6,E:hdim7
165.8,A:7(b9)
166.0,A:7(b9)
166.2,A:7(b9)
166.4,A:7(b9)
166.6,D:min6
166.8,D:min6
167.0,D:min6
167.2,D:min6
167.4,D:min6
167.6,D:min6
167.8,D:min6
168.0,D:min6
168.2,E:hdim7
168.4,E:hdim7
168.6,E:hdim7
168.8,E:hdim7
169.0,A:7(b9)
169.2,A:7(b9)
169.4,A:7(b9)
169.6,A:7(b9)
169.8,D:min6
170.0,D:min6
170.2,D:min6
170.4,D:min6
170.6,D:min6
170.8,D:min6
171.0,D:min6
171.2,A:hdim7
171.4,A:hdim7
171.4,D:7(b9)
171.6,D:7(b9)
171.8,D:7(b9)
172.0,G:min7
