time,chord
2.260,C#:maj7
6.560,A#:7
8.730,A#:7
10.860,D#:min7
13.020,G#:7
15.200,C#:maj
19.530,C#:maj7
21.790,D#:7
24.030,C#:maj7
26.270,F#:min
28.470,C#:maj7
30.670,D#:7
31.780,G#:7
32.890,C#:maj
37.310,C#:maj7
39.550,C#:maj7
41.740,A#:7
43.960,A#:7
46.150,D#:7
48.370,G#:7
50.570,C#:maj
52.800,G#:7
54.990,C#:maj7
57.240,C#:maj7
59.460,A#:7
61.710,A#:7
63.930,D#:7
66.140,G#:7
68.340,C#:maj
70.560,C#:7
72.790,F#:maj
75.040,F#:min
77.240,C#:maj7
79.450,C#:7
81.650,F#:maj6
83.880,G:hdim7
84.960,C:7(b9)
86.060,F:min7
87.140,E:dim7
88.200,D#:min7
89.290,G#:7
90.390,C#:maj7
92.620,C#:maj7
94.810,A#:7
97.050,A#:7
99.260,D#:7
101.470,G#:7
103.590,C#:maj
105.800,C#:maj
107.970,C#:maj7
110.180,C#:maj7
112.320,A#:7
114.490,A#:7
116.670,D#:7
118.830,G#:7
120.970,C#:maj
123.130,G#:7
125.270,C#:maj7
127.440,C#:maj7
129.570,A#:7
131.760,A#:7
133.930,D#:7
136.130,G#:7
138.300,C#:maj
140.490,C#:7
142.680,F#:maj
144.910,F#:min
147.120,C#:maj7
149.300,C#:7
151.480,F#:maj6
153.670,G:hdim7
154.810,C:7(b9)
155.870,F:min7
156.960,E:dim7
158.060,D#:min7
159.180,G#:7
160.260,C#:maj7
162.460,C#:maj7
164.670,A#:7
166.880,A#:7
169.060,D#:7
171.260,G#:7
173.470,C#:maj
175.690,C#:maj
177.890,C#:maj7
180.180,C#:maj7
182.380,A#:7
184.700,A#:7
186.910,D#:7
189.210,G#:7
191.490,C#:maj
193.770,G#:7
