time,chord
306.000,F6
306.400,F6
306.800,F6
307.200,F6
307.600,F6
308.000,F6
308.400,F6
308.800,F6
309.600,C#b7
309.800,C#b7
310.800,C#b7
311.200,C#b7
311.600,C#b7
312.000,D7
312.400,D7
312.800,D7
313.200,D7
313.600,G-7
313.800,G-7
315.000,G-7
315.400,G-7
315.800,G-7
316.200,C7
316.600,C7
317.000,C7
317.400,C7
318.200,F6
318.600,F6
319.000,F6
319.400,F6
320.200,G-7
320.400,G-7
321.800,G-7
322.000,G-7
323.400,C7
323.600,C7
325.000,C7
325.200,C7
326.600,F6
327.000,F6
327.400,F6
327.800,F6
328.200,F6
328.600,F6
329.000,F6
329.400,F6
330.200,C#b7
330.400,C#b7
331.800,C#b7
332.200,C#b7
332.600,C#b7
333.400,D7
333.600,D7
334.400,D7
334.800,D7
335.200,D7
335.600,G-7
336.000,G-7
336.400,G-7
336.800,G-7
337.200,C7
337.600,C7
338.000,C7
338.400,C7
338.800,F6
339.200,F6
339.600,F6
340.000,F6
340.200,F6
341.200,F6
341.600,F6
342.000,F6
342.400,F6
342.800,D#b7
343.200,D#b7
343.600,D#b7
344.000,D#b7
344.400,D#b7
344.800,D#b7
345.200,D#b7
345.600,D#b7
346.000,F6
346.400,F6
346.800,F6
347.200,F6
347.600,F6
348.000,F6
348.400,F6
348.800,F6
349.600,C#b7
349.800,C#b7
351.200,C#b7
351.600,C#b7
352.000,C#b7
352.400,C#b7
352.800,C#b7
353.200,C#b7
353.600,C#b7
354.000,F#b7
354.400,F#b7
354.800,F#b7
355.200,F#b7
355.600,G-7
356.000,G-7
356.400,C7
356.800,C7
357.200,F6
357.600,F6
358.000,F6
358.400,F6
358.800,F6
359.200,F6
359.600,F6
360.000,F6
360.200,F6
361.400,C#b7
361.800,C#b7
362.200,C#b7
362.600,C#b7
363.000,D7
363.400,D7
363.800,D7
364.800,D7
365.000,D7
366.400,G-7
366.600,G-7
368.000,G-7
368.200,G-7
369.600,G-7
370.000,G-7
371.400,C7
371.600,C7
373.000,C7
373.200,C7
374.600,C7
374.800,C7
376.200,C7
376.400,C7
377.800,F6
378.000,F6
379.400,F6
379.600,F6
381.000,F6
381.200,F6
382.600,F6
382.800,F6
384.200,F6
384.400,F6
385.800,F6
386.000,F6
387.200,F6
387.600,F6
388.000,F6
388.400,F6
388.800,F6
389.200,F6
389.600,F6
390.000,F6
390.400,F6
390.800,F6
391.200,C#b7
391.400,C#b7
392.200,C#b7
392.400,C#b7
393.800,C#b7
394.000,C#b7
395.400,C#b7
395.600,C#b7
397.000,D7
397.200,D7
398.600,D7
399.000,D7
399.400,D7
400.200,G-7
400.400,G-7
401.600,G-7
401.800,G-7
403.200,G-7
403.400,G-7
404.800,G-7
405.000,G-7
406.400,C7
406.600,C7
408.000,C7
408.200,C7
409.600,C7
409.800,C7
411.200,C7
411.400,C7
412.800,F6
413.000,F6
414.000,F6
414.400,F6
414.800,F6
415.200,G-7
415.600,G-7
416.000,C7
416.400,C7
416.800,F6
417.200,F6
417.600,F6
418.000,F6
418.400,F6
418.800,F6
419.200,F6
419.600,F6
420.600,C#b7
420.800,C#b7
422.200,C#b7
422.600,C#b7
423.000,C#b7
423.400,D7
423.600,D7
425.000,D7
425.200,D7
426.600,D7
426.800,D7
428.200,D7
428.400,D7
429.800,G-7
430.000,G-7
431.400,G-7
431.600,G-7
433.000,G-7
433.200,G-7
434.400,G-7
434.600,G-7
436.000,C7
436.200,C7
436.600,C7
437.000,C7
437.400,C7
437.800,F6
438.200,F6
438.600,F6
439.000,F6
439.400,F6
440.200,F6
440.400,F6
441.800,F6
442.000,F6
443.400,F6
443.600,F6
445.000,D#b7
445.400,D#b7
446.200,D#b7
446.400,D#b7
447.800,D#b7
448.000,D#b7
449.400,D#b7
449.600,D#b7
451.000,D#b7
451.200,D#b7
452.600,D#b7
452.800,D#b7
454.200,D#b7
454.400,D#b7
455.800,F6
456.000,F6
457.400,F6
457.600,F6
459.000,F6
459.200,F6
460.600,F6
460.800,F6
462.200,F6
462.400,F6
463.800,F6
464.000,F6
465.400,F6
465.600,F6
467.000,F6
467.200,F6
468.600,C#b7
468.800,C#b7
470.200,C#b7
470.400,C#b7
471.800,C#b7
472.000,C#b7
473.400,C#b7
473.600,C#b7
475.000,C#b7
475.200,C#b7
476.600,C#b7
477.000,C#b7
477.400,C#b7
478.200,F#b7
478.400,F#b7
479.800,F#b7
480.000,F#b7
481.400,F#b7
481.600,F#b7
483.000,F#b7
483.200,F#b7
484.600,G-7
484.800,G-7
486.200,G-7
486.400,G-7
487.800,C7
488.000,C7
489.400,C7
489.600,C7
491.000,F6
491.200,F6
492.400,F6
492.800,F6
493.200,F6
493.600,F6
494.000,F6
494.400,F6
494.600,F6
496.000,F6
496.200,F6
497.600,C#b7
497.800,C#b7
499.200,C#b7
499.400,C#b7
500.800,C#b7
501.000,C#b7
502.400,C#b7
502.600,C#b7
504.000,D7
504.200,D7
505.600,D7
505.800,D7
507.200,D7
507.400,D7
508.400,D7
509.200,G-7
509.400,G-7
510.800,G-7
511.000,G-7
511.800,G-7
512.200,G-7
512.600,C7
513.000,C7
513.400,C7
513.800,C7
514.200,F6
514.400,F6
515.800,F6
516.000,F6
517.400,F6
517.600,F6
