time,chord
12.460,D:min
15.190,E:hdim7
17.900,D:min
20.630,E:hdim7
23.350,D:min
24.700,D:min/7
26.100,D:min/b7
28.990,B:hdim7
31.900,E:7
34.850,A:aug(b7)
37.830,D:7
40.780,G:7
43.720,C:7
46.680,C:min7
48.170,F:7
49.680,Bb:maj7
52.770,F:maj7
55.820,E:hdim7
57.320,A:7(b9)
58.850,D:min
61.930,E:hdim7
63.480,A:7(b9)
65.020,D:min
68.110,E:hdim7
69.690,A:7(b9)
71.290,D:min
72.840,D:min/7
74.360,D:min/b7
77.490,B:hdim7
80.570,E:7
83.690,A:aug(b7)
86.790,D:7
89.830,G:7
92.910,C:7
95.980,C:min7
97.520,F:7
99.040,Bb:maj7
102.170,F:maj7
105.310,E:hdim7
106.910,A:7(b9)
108.420,D:maj
111.500,D:aug
114.520,D:min
117.530,D:aug
120.570,D:min
123.660,D:min/b7
126.760,B:hdim7
129.890,E:7
133.010,A:aug(b7)
136.120,D:7
139.260,G:7
142.440,C:7
145.610,C:min7
147.230,F:7
148.830,Bb:maj7
152.110,F:maj7
155.360,E:hdim7
156.990,A:7(b9)
158.600,D:maj
161.680,D:aug
164.770,D:maj
168.050,D:aug
171.510,D:maj
