time,chord
0.2,A#-7
0.2,A#-7
0.4,A#-7
0.4,A#-7
0.6,F#b7
0.6,F7
0.8,E7
0.8,D#b7
1.0,Gbj7
1.0,Gbj7
1.2,Gbj7
1.2,Gbj7
1.4,Gb7
1.4,G7
1.6,F#b7
1.6,F7
1.8,A#7
1.8,A#7
2.0,A#7
2.0,A#7
2.2,A#-7
2.2,A#-7
2.4,D#b7
2.4,D#b7
2.6,Gbj7
2.6,Gbj7
2.8,Gbj7
2.8,Gbj7
3.0,Gb7
3.0,Gb7
3.2,F79b
3.2,F79b
3.4,A#-7
3.4,A#-7
3.6,A#-7
3.6,A#-7
3.8,F#b7
3.8,F7
4.0,E7
4.0,D#b7
4.2,Gbj7
4.2,Gbj7
4.4,Gbj7
4.4,Gbj7
4.6,Gb7
4.6,G7
4.8,F#b7
4.8,F7
5.0,A#7
5.0,A#7
5.2,A#7
5.2,A#7
5.4,A#-7
5.4,A#-7
5.6,D#b7
5.6,D#b7
5.8,Gbj7
5.8,Gbj7
6.0,Gbj7
6.0,Gbj7
6.2,Gb7911#
6.2,Gb7911#
6.4,D79b
6.4,D79b
6.6,Gj7
6.6,Gj7
6.8,E-7
6.8,E-7
7.0,A-7
7.0,A-7
7.2,D7
7.2,D7
7.4,G7
7.4,G7
7.6,G#o7
7.6,G#o7
7.8,A-7
7.8,A-7
8.0,D7
8.0,D7
8.2,Gj7
8.2,Gj7
8.4,E-7
8.4,E-7
8.6,A-7
8.6,A-7
8.8,D7
8.8,D7
9.0,G7
9.0,G7
9.2,C-7
9.2,C-7
9.4,D#b7
9.4,D#b7
9.6,Cm7b5
9.6,F79b
9.8,A#-7
9.8,A#-7
10.0,A#-7
10.0,A#-7
10.2,F#b7
10.2,F7
10.4,E7
10.4,D#b7
10.6,Gbj7
10.6,Gbj7
10.8,Gbj7
10.8,Gbj7
11.0,Gb7
11.0,G7
11.2,F#b7
11.2,F7
11.4,A#7
11.4,A#7
11.6,A#7
11.6,A#7
11.8,A#-7
11.8,A#-7
12.0,D#b7
12.0,D#b7
12.2,Gbj7
12.2,Gbj7
12.4,Gbj7
12.4,Gbj7
12.6,Gb7
12.6,Gb7
12.8,F79b
12.8,F79b
13.0,Gj7
13.0,Gj7
13.2,B7
13.2,B7
13.4,A-7
13.4,F7
13.6,D7
13.6,D#b7
13.8,G7
13.8,G7
14.0,G#o7
14.0,G#o7
14.2,A-7
14.2,G7
14.4,D7
14.6,D7
14.8,F7
15.0,Gj7
15.0,Gj7
15.2,E-7
15.2,E-7
15.4,A-7
15.4,A-7
15.6,D7
15.6,D7
15.8,G7
15.8,G7
16.0,C-7
16.0,C-7
16.2,D#b7
16.2,D#b7
16.4,Cm7b5
16.4,F79b
16.6,A#-7
16.6,A#-7
16.8,A#-7
16.8,A#-7
17.0,F#b7
17.0,F7
17.2,E7
17.2,D#b7
17.4,Gbj7
17.4,Gbj7
17.6,Gbj7
17.6,Gbj7
17.8,Gb7
17.8,G7
18.0,F#b7
18.0,F7
18.2,A#7
18.2,A#7
18.4,A#7
18.4,A#7
18.6,A#-7
18.6,A#-7
18.8,D#b7
18.8,D#b7
19.0,Gbj7
19.0,Gbj7
19.2,Gbj7
19.2,Gbj7
19.4,Gbj7
19.4,Gbj7
19.6,Gbj7
19.6,Gbj7
19.8,Gbj7
19.8,Gbj7
20.0,Gbj7
20.2,Gbj7
20.4,Gbj7
20.6,Gbj7
20.8,A#-7
21.0,A#-7
21.2,A#-7
21.4,A#-7
21.6,A#-7
21.8,A#-7
22.0,A#-7
22.2,A#-7
22.4,F#b7
22.6,F#b7
22.8,F7
23.0,F7
23.2,E7
23.4,E7
23.6,D#b7
23.8,D#b7
24.0,Gbj7
24.2,Gbj7
24.4,Gbj7
24.6,Gbj7
24.8,Gbj7
25.0,Gbj7
25.2,Gbj7
25.4,Gbj7
