time,chord
170.6,F:min
170.8,F:min
170.8,F:min
171.0,F:min
171.0,F:minmaj7
171.2,F:minmaj7
171.2,F:minmaj7
171.4,F:minmaj7
171.4,F:min7
171.6,F:min7
171.6,F:min7
171.8,F:min7
171.8,F:min6
172.0,F:min6
172.0,F:min6
172.2,F:min6
172.2,C#:maj7
172.4,C#:maj7
172.4,C#:maj7
172.6,C#:maj7
172.8,C#:maj7
173.0,A#:min7
173.2,A#:min7
173.4,A#:min7
173.6,A#:min7
173.8,A#:min7
174.0,A#:min7
174.2,A#:min7
174.4,G:hdim7
174.6,G:hdim7
174.8,G:hdim7
175.0,G:hdim7
175.2,G:hdim7
175.4,G:hdim7
175.6,G:hdim7
175.8,G:hdim7
176.0,C:7(b9)
176.2,C:7(b9)
176.4,C:7(b9)
176.6,C:7(b9)
176.8,C:7(b9)
177.0,C:7(b9)
177.2,C:7(b9)
177.4,C:7(b9)
177.6,F:min
177.6,F:min
177.8,F:min
177.8,F:min
178.0,F:minmaj7
178.0,F:minmaj7
178.2,F:minmaj7
178.2,F:minmaj7
178.4,F:min7
178.4,F:min7
178.6,F:min7
178.6,F:min7
178.8,F:min6
178.8,F:min6
179.0,F:min6
179.0,F:min6
179.2,C#:maj7
179.2,C#:maj7
179.4,C#:maj7
179.4,C#:maj7
179.6,A#:min7
179.6,A#:min7
179.8,A#:min7
179.8,A#:min7
180.0,A#:min7
180.2,A#:min7
180.4,A#:min7
180.6,A#:min7
180.6,A#:min7
180.8,D#:7
180.8,D#:7
181.0,D#:7
181.0,D#:7
181.2,Gb:maj7
181.2,Gb:maj7
181.4,A#:min7
181.4,A#:min7
181.6,C:min7
181.6,C:min7
181.8,A#:min7
181.8,A#:min7
182.0,Gb:maj7
182.0,Gb:maj7
182.2,A#:min7
182.2,A#:min7
182.4,C:min7
182.4,C:min7
182.6,A#:min7
182.6,A#:min7
182.8,Gb:maj7
182.8,Gb:maj7
183.0,C:7
183.0,C:7
183.2,F:min7
183.4,F:min7
183.6,F:min7
183.6,D#:min7
183.8,D:7
183.8,C#:maj7
184.0,C#:maj7
184.0,C#:maj7
184.2,C#:maj7
184.2,G:hdim7
184.4,G:hdim7
184.4,C:7
184.6,C:7
184.8,C:7
185.0,F:min
185.2,F:min
185.4,F:min
185.6,F:min
185.8,F:min
186.0,F:min
186.2,F:min
186.4,F:min
186.6,F:minmaj7
186.8,F:minmaj7
187.0,F:minmaj7
187.2,F:minmaj7
187.4,F:minmaj7
187.6,F:minmaj7
187.8,F:min7
187.8,F:min7
188.0,F:min7
188.0,F:min7
188.2,F:min6
188.2,F:min6
188.4,F:min6
188.4,F:min6
188.6,C#:maj7
188.6,C#:maj7
188.8,C#:maj7
188.8,C#:maj7
189.0,G:hdim7
189.2,G:hdim7
189.4,G:hdim7
189.6,C:7(b9)
189.6,C:7(b9)
189.8,F:min7
189.8,F:min7
190.0,E:7
190.0,E:7
190.2,D#:min7
190.2,D#:min7
190.4,Gb:7
190.4,Gb:7
190.6,C#:maj7
190.6,C#:maj7
190.8,C#:maj7
190.8,C#:maj7
191.0,A#:min7(9)
191.0,A#:min7(9)
191.2,D#:7
191.2,D#:7
191.4,Gb:maj6
191.4,Gb:maj6
191.6,Gb:maj6
191.6,Gb:maj6
191.8,G:hdim7
191.8,G:hdim7
192.0,C:7
192.0,C:7
192.2,F:min
192.2,F:min
192.4,F:min
192.4,F:min
192.6,F:minmaj7
192.6,F:minmaj7
192.8,F:minmaj7
192.8,F:minmaj7
193.0,F:min7
193.0,F:min7
193.2,F:min7
193.2,F:min7
193.4,F:min6
193.4,F:min6
193.6,F:min6
193.6,F:min6
193.8,C#:maj7
193.8,C#:maj7
194.0,C#:maj7
194.0,C#:maj7
194.2,A#:min7
194.2,A#:min7
194.4,A#:min7
194.4,A#:min7
194.6,G:hdim7
194.6,G:hdim7
194.8,G:hdim7
194.8,G:hdim7
195.0,C:7(b9)
195.0,C:7(b9)
195.2,C:7(b9)
195.2,C:7(b9)
195.4,F:min
195.4,F:min
195.6,F:min
195.6,F:min
195.8,F:minmaj7
195.8,F:minmaj7
196.0,F:minmaj7
196.0,F:minmaj7
196.2,F:min7
196.2,F:min7
196.4,F:min7
196.4,F:min7
196.6,F:min6
196.8,F:min6
197.0,F:min6
197.0,F:min6
197.2,C#:maj7
197.2,C#:maj7
197.4,C#:maj7
197.4,C#:maj7
197.6,A#:min7
197.6,A#:min7
197.8,A#:min7
197.8,A#:min7
198.0,A#:min7
198.0,A#:min7
198.2,A#:min7
198.2,A#:min7
198.4,D#:7
198.4,D#:7
198.6,D#:7
198.6,D#:7
198.8,Gb:maj7
198.8,Gb:maj7
199.0,A#:min7
199.0,A#:min7
199.2,C:min7
199.2,C:min7
199.4,A#:min7
199.4,A#:min7
199.6,Gb:maj7
199.6,Gb:maj7
199.8,A#:min7
199.8,A#:min7
200.0,C:min7
200.0,C:min7
200.2,A#:min7
200.2,A#:min7
200.4,Gb:maj7
200.4,Gb:maj7
200.6,C:7
200.6,C:7
200.8,F:min7
200.8,F:min7
201.0,D#:min7
201.2,D#:min7
201.4,D:7
201.6,D:7
201.8,C#:maj7
202.0,C#:maj7
202.2,C#:maj7
202.4,C#:maj7
202.6,C#:maj7
202.8,C#:maj7
203.0,C#:maj7
203.2,C#:maj7
203.4,G:hdim7
203.4,G:hdim7
203.6,C:7
203.6,C:7
203.8,F:min
203.8,F:min
204.0,F:min
204.0,F:min
204.2,F:minmaj7
204.2,F:minmaj7
204.4,F:minmaj7
204.4,F:minmaj7
204.6,F:min7
204.6,F:min7
204.8,F:min7
204.8,F:min7
205.0,F:min6
205.0,F:min6
205.2,F:min6
205.2,F:min6
205.4,C#:maj7
205.4,C#:maj7
205.6,C#:maj7
205.6,C#:maj7
205.8,G:hdim7
206.0,G:hdim7
206.0,C:7(b9)
206.2,C:7(b9)
206.2,F:min7
206.4,F:min7
206.4,E:7
206.6,E:7
206.6,D#:min7
206.8,D#:min7
207.0,D#:min7
207.2,Gb:7
207.4,Gb:7
207.6,Gb:7
207.8,Gb:7
208.0,C#:maj7
208.2,C#:maj7
208.4,C#:maj7
208.6,C#:maj7
208.8,C#:maj7
209.0,C#:maj7
209.2,C#:maj7
209.2,A#:min7(9)
209.4,A#:min7(9)
209.6,A#:min7(9)
209.8,D#:7
210.0,D#:7
210.2,D#:7
210.2,Gb:maj6
210.4,Gb:maj6
210.4,Gb:maj6
210.6,Gb:maj6
210.6,G:hdim7
210.8,G:hdim7
210.8,C:7
211.0,C:7
211.0,F:min
211.2,F:min
211.2,F:min
211.4,F:min
211.4,F:minmaj7
211.6,F:minmaj7
211.6,F:minmaj7
211.8,F:minmaj7
211.8,F:min7
212.0,F:min7
212.0,F:min7
212.2,F:min7
212.2,F:min6
212.4,F:min6
212.4,F:min6
212.6,F:min6
212.6,C#:maj7
212.8,C#:maj7
212.8,C#:maj7
213.0,C#:maj7
213.2,C#:maj7
213.4,A#:min7
213.6,A#:min7
213.8,A#:min7
214.0,A#:min7
214.2,A#:min7
214.4,A#:min7
214.6,A#:min7
214.8,A#:min7
215.0,G:hdim7
215.2,G:hdim7
215.4,G:hdim7
215.6,G:hdim7
215.8,G:hdim7
216.0,G:hdim7
216.2,G:hdim7
216.4,G:hdim7
216.6,C:7(b9)
216.8,C:7(b9)
217.0,C:7(b9)
217.2,C:7(b9)
217.4,C:7(b9)
217.4,C:7(b9)
217.6,F:min
217.8,F:min
217.8,F:min
218.0,F:min
218.0,F:minmaj7
218.2,F:minmaj7
218.2,F:minmaj7
218.4,F:minmaj7
218.4,F:min7
218.6,F:min7
218.6,F:min7
218.8,F:min7
219.0,F:min7
219.2,F:min6
219.4,F:min6
219.6,F:min6
219.8,F:min6
220.0,F:min6
220.2,F:min6
220.4,F:min6
220.6,F:min6
220.8,C#:maj7
221.0,C#:maj7
221.2,C#:maj7
221.4,C#:maj7
221.6,C#:maj7
221.8,C#:maj7
222.0,C#:maj7
