time,chord
0.580,Eb:maj7
1.790,Eb:maj7
2.940,D:hdim7
4.080,G:7(b9)
5.260,C:min7
6.400,C:min7
7.570,Bb:min7
8.710,Eb:7
9.910,Ab:maj7
11.070,Db:9
12.290,Eb:maj7
13.440,C:min7
14.510,F:7
15.740,F:7
16.950,F:min7
18.200,Bb:7
19.430,Eb:maj7
20.660,Eb:maj7
21.830,D:hdim7
23.010,G:7(b9)
24.220,C:min7
25.374,C:min7
26.568,Bb:min7
27.768,Eb:7
28.846,Ab:maj7
30.180,Db:9
31.380,Eb:maj7
32.620,A:hdim7
33.230,D:7
33.850,Eb:maj7
34.470,D:7
35.100,G:7
35.720,C:7
36.340,F:min7
36.960,Bb:7
37.570,Eb:maj6
38.810,Eb:maj7
40.060,Eb:maj7
41.300,D:hdim7
42.530,G:7(b9)
43.770,C:min7
44.990,C:min7
46.190,Bb:min7
47.400,Eb:7
48.620,Ab:maj7
49.830,Db:9
51.030,Eb:maj7
52.230,C:min7
53.420,F:7
54.630,F:7
55.800,F:min7
56.980,Bb:7
58.210,Eb:maj7
59.410,Eb:maj7
60.600,D:hdim7
61.810,G:7(b9)
62.980,C:min7
64.140,C:min7
65.300,Bb:min7
66.470,Eb:7
67.630,Ab:maj7
68.780,Db:9
69.910,Eb:maj7
71.050,A:hdim7
71.650,D:7
72.250,Eb:maj7
72.850,D:7
73.440,G:7
74.050,C:7
74.640,F:min7
75.250,Bb:7
75.840,Eb:maj6
76.450,Bb:7
77.050,Eb:maj7
78.250,Eb:maj7
79.420,D:hdim7
80.590,G:7(b9)
81.790,C:min7
82.960,C:min7
84.140,Bb:min7
85.320,Eb:7
86.510,Ab:maj7
87.710,Db:9
88.890,Eb:maj7
90.080,C:min7
91.290,F:7
92.490,F:7
93.680,F:min7
94.890,Bb:7
96.090,Eb:maj7
97.290,Eb:maj7
98.480,D:hdim7
99.640,G:7(b9)
100.800,C:min7
101.970,C:min7
103.150,Bb:min7
104.290,Eb:7
105.420,Ab:maj7
106.560,Db:9
107.720,Eb:maj7
108.870,A:hdim7
109.460,D:7
110.040,Eb:maj7
110.620,D:7
111.230,G:7
111.820,C:7
112.420,F:min7
113.030,Bb:7
113.610,Eb:maj6
114.190,Bb:7
114.780,Eb:maj7
115.980,Eb:maj7
117.150,D:hdim7
118.310,G:7(b9)
119.460,C:min7
120.620,C:min7
121.810,Bb:min7
122.970,Eb:7
124.140,Ab:maj7
125.290,Db:9
126.460,Eb:maj7
127.620,C:min7
128.800,F:7
129.990,F:7
131.180,F:min7
132.350,Bb:7
133.520,Eb:maj7
134.720,Eb:maj7
135.920,D:hdim7
137.110,G:7(b9)
138.320,C:min7
139.520,C:min7
140.680,Bb:min7
141.870,Eb:7
143.050,Ab:maj7
144.230,Db:9
145.410,Eb:maj7
146.590,A:hdim7
147.190,D:7
147.770,Eb:maj7
148.350,D:7
148.940,G:7
149.520,C:7
150.100,F:min7
150.700,Bb:7
151.300,Eb:maj6
151.900,Bb:7
152.490,Eb:maj7
153.720,Eb:maj7
154.940,D:hdim7
156.130,G:7(b9)
157.340,C:min7
158.540,C:min7
159.730,Bb:min7
160.890,Eb:7
162.050,Ab:maj7
163.240,Db:9
164.410,Eb:maj7
165.570,C:min7
166.740,F:7
167.930,F:7
169.100,F:min7
170.280,Bb:7
171.480,Eb:maj7
172.700,Eb:maj7
173.950,D:hdim7
175.170,G:7(b9)
176.360,C:min7
177.540,C:min7
178.710,Bb:min7
179.900,Eb:7
181.060,Ab:maj7
182.220,Db:9
183.380,Eb:maj7
184.530,A:hdim7
185.110,D:7
185.680,Eb:maj7
186.270,D:7
186.840,G:7
187.420,C:7
188.010,F:min7
188.610,Bb:7
189.210,Eb:maj6
189.810,Bb:7
190.410,Eb:maj7
191.600,Eb:maj7
192.800,D:hdim7
194.010,G:7(b9)
195.200,C:min7
196.400,C:min7
197.590,Bb:min7
198.760,Eb:7
199.950,Ab:maj7
201.120,Db:9
202.300,Eb:maj7
203.480,C:min7
204.660,F:7
205.840,F:7
207.010,F:min7
208.210,Bb:7
209.410,Eb:maj7
210.600,Eb:maj7
211.800,D:hdim7
213.000,G:7(b9)
214.170,C:min7
215.370,C:min7
216.550,Bb:min7
217.710,Eb:7
218.900,Ab:maj7
220.080,Db:9
221.240,Eb:maj7
222.400,A:hdim7
222.990,D:7
223.580,Eb:maj7
224.160,D:7
224.740,G:7
225.320,C:7
225.910,F:min7
226.520,Bb:7
227.100,Eb:maj6
227.680,Bb:7
228.250,Eb:maj7
229.420,Eb:maj7
230.580,D:hdim7
231.730,G:7(b9)
232.900,C:min7
234.050,C:min7
235.220,Bb:min7
236.370,Eb:7
237.540,Ab:maj7
238.710,Db:9
239.880,Eb:maj7
241.050,C:min7
242.210,F:7
243.370,F:7
244.550,F:min7
245.700,Bb:7
246.870,Eb:maj7
248.040,Eb:maj7
249.220,D:hdim7
250.390,G:7(b9)
251.550,C:min7
252.700,C:min7
253.870,Bb:min7
254.990,Eb:7
256.130,Ab:maj7
257.290,Db:9
258.430,Eb:maj7
259.550,A:hdim7
260.120,D:7
260.700,Eb:maj7
261.280,D:7
261.870,G:7
262.480,C:7
263.070,F:min7
263.670,Bb:7
264.270,Eb:maj6
264.850,Bb:7
265.430,Eb:maj7
266.630,Eb:maj7
267.800,D:hdim7
268.970,G:7(b9)
270.130,C:min7
271.280,C:min7
272.450,Bb:min7
273.610,Eb:7
274.750,Ab:maj7
275.910,Db:9
277.070,Eb:maj7
278.230,C:min7
279.410,F:7
280.580,F:7
281.730,F:min7
282.890,Bb:7
284.060,Eb:maj7
285.230,Eb:maj7
286.430,D:hdim7
287.600,G:7(b9)
288.780,C:min7
289.960,C:min7
291.120,Bb:min7
292.280,Eb:7
293.460,Ab:maj7
294.620,Db:9
295.770,Eb:maj7
296.890,A:hdim7
297.460,D:7
298.020,Eb:maj7
298.600,D:7
299.210,G:7
299.810,C:7
300.410,F:min7
301.030,Bb:7
301.640,Eb:maj6
302.240,Bb:7
302.840,Eb:maj7
304.040,Eb:maj7
305.220,D:hdim7
306.380,G:7(b9)
307.540,C:min7
308.690,C:min7
309.860,Bb:min7
311.010,Eb:7
312.180,Ab:maj7
313.340,Db:9
314.500,Eb:maj7
315.660,C:min7
316.820,F:7
317.980,F:7
319.140,F:min7
320.310,Bb:7
321.510,Eb:maj7
322.700,Eb:maj7
323.880,D:hdim7
325.060,G:7(b9)
326.250,C:min7
327.430,C:min7
328.600,Bb:min7
329.770,Eb:7
330.930,Ab:maj7
332.090,Db:9
333.270,Eb:maj7
334.440,A:hdim7
335.020,D:7
335.620,Eb:maj7
336.220,D:7
336.810,G:7
337.410,C:7
338.000,F:min7
338.580,Bb:7
339.180,Eb:maj6
339.780,Bb:7
340.370,Eb:maj7
341.570,Eb:maj7
342.770,D:hdim7
343.980,G:7(b9)
345.180,C:min7
346.360,C:min7
347.560,Bb:min7
348.740,Eb:7
349.910,Ab:maj7
351.070,Db:9
352.240,Eb:maj7
353.420,C:min7
354.590,F:7
355.760,F:7
356.960,F:min7
358.150,Bb:7
359.350,Eb:maj7
360.540,Eb:maj7
361.740,D:hdim7
362.940,G:7(b9)
364.140,C:min7
365.310,C:min7
366.470,Bb:min7
367.670,Eb:7
368.850,Ab:maj7
370.010,Db:9
371.190,Eb:maj7
372.340,A:hdim7
372.930,D:7
373.510,Eb:maj7
374.110,D:7
374.710,G:7
375.290,C:7
375.870,F:min7
376.450,Bb:7
377.030,Eb:maj6
377.620,Bb:7
378.220,Eb:maj7
379.410,Eb:maj7
380.580,D:hdim7
381.740,G:7(b9)
382.890,C:min7
384.050,C:min7
385.190,Bb:min7
386.330,Eb:7
387.490,Ab:maj7
388.660,Db:9
389.850,Eb:maj7
391.030,C:min7
392.230,F:7
393.400,F:7
394.570,F:min7
395.750,Bb:7
396.960,Eb:maj7
398.120,Eb:maj7
399.280,D:hdim7
400.440,G:7(b9)
401.590,C:min7
402.760,C:min7
403.920,Bb:min7
405.070,Eb:7
406.240,Ab:maj7
407.420,Db:9
408.570,Eb:maj7
409.730,A:hdim7
410.310,D:7
410.900,Eb:maj7
411.500,D:7
412.100,G:7
412.700,C:7
413.290,F:min7
413.880,Bb:7
414.480,Eb:maj6
415.070,Bb:7
415.670,Eb:maj7
416.880,Eb:maj7
418.070,D:hdim7
419.270,G:7(b9)
420.480,C:min7
421.680,C:min7
422.870,Bb:min7
424.030,Eb:7
425.200,Ab:maj7
426.390,Db:9
427.550,Eb:maj7
428.700,C:min7
429.870,F:7
431.010,F:7
432.170,F:min7
433.330,Bb:7
434.480,Eb:maj7
435.680,Eb:maj7
436.850,D:hdim7
438.010,G:7(b9)
439.190,C:min7
440.380,C:min7
441.550,Bb:min7
442.740,Eb:7
443.910,Ab:maj7
445.110,Db:9
446.280,Eb:maj7
447.460,A:hdim7
448.060,D:7
448.660,Eb:maj7
449.260,D:7
449.860,G:7
450.450,C:7
451.040,F:min7
451.640,Bb:7
452.240,Eb:maj6
452.840,Bb:7
453.450,Eb:maj7
454.650,Eb:maj7
455.880,D:hdim7
457.090,G:7(b9)
458.300,C:min7
459.520,C:min7
460.910,Bb:min7
462.360,Eb:7
463.920,Ab:maj7
465.660,Db:9
467.540,Eb:maj7
469.780,C:min7
472.210,F:7
474.690,F:7
477.090,F:min7
479.550,Bb:7
481.940,Eb:maj7
484.270,Eb:maj7
486.750,D:hdim7
489.180,G:7(b9)
491.610,C:min7
494.190,C:min7
496.670,Bb:min7
499.120,Eb:7
501.660,Ab:maj7
504.060,Db:9
506.480,Eb:maj7
508.790,A:hdim7
510.060,D:7
511.400,Eb:maj7
512.720,D:7
514.020,G:7
515.530,C:7
517.250,F:min7
519.010,Bb:7
520.700,Eb:maj6
522.480,Bb:7
524.260,Eb:maj7
527.810,Eb:maj7
531.530,D:hdim7
535.080,G:7(b9)
538.680,C:min7
542.200,C:min7
545.800,Bb:min7
549.270,Eb:7
552.650,Ab:maj7
556.200,Db:9
559.610,Eb:maj7
562.870,C:min7
565.920,F:7
567.213,Eb:maj7
568.420,Eb:maj7
569.630,D:hdim7
570.810,G:7(b9)
571.990,C:min7
573.140,C:min7
574.340,Bb:min7
575.530,Eb:7
576.720,Ab:maj7
577.910,Db:9
579.090,Eb:maj7
580.270,C:min7
581.440,F:7
582.620,F:7
583.830,F:min7
585.010,Bb:7
586.240,Eb:maj7
587.430,Eb:maj7
588.680,D:hdim7
589.850,G:7(b9)
591.030,C:min7
592.220,C:min7
593.420,Bb:min7
594.630,Eb:7
595.830,Ab:maj7
597.030,Db:9
598.220,Eb:maj7
599.420,A:hdim7
600.010,D:7
600.630,Eb:maj7
601.220,D:7
601.790,G:7
602.370,C:7
602.950,F:min7
603.540,Bb:7
604.160,Eb:maj6
605.340,Eb:maj7
606.570,Eb:maj7
607.750,D:hdim7
608.950,G:7(b9)
610.100,C:min7
611.280,C:min7
612.460,Bb:min7
613.650,Eb:7
614.850,N
624.140,Eb:maj7
625.340,Eb:maj7
626.520,D:hdim7
627.720,G:7(b9)
628.890,C:min7
630.060,C:min7
631.250,Bb:min7
632.400,Eb:7
633.560,N
642.740,Eb:maj7
643.950,Eb:maj7
645.140,D:hdim7
646.340,G:7(b9)
647.510,C:min7
648.680,C:min7
649.860,Bb:min7
651.030,Eb:7
652.190,N
661.250,Eb:maj7
662.400,Eb:maj7
663.610,D:hdim7
664.850,G:7(b9)
666.080,C:min7
667.290,C:min7
668.490,Bb:min7
669.680,Eb:7
670.890,N
680.070,Eb:maj7
681.310,Eb:maj7
682.540,D:hdim7
683.790,G:7(b9)
685.020,C:min7
686.260,C:min7
687.510,Bb:min7
688.750,Eb:7
689.980,Ab:maj7
691.240,Db:9
692.500,Eb:maj7
693.750,C:min7
694.990,F:7
696.280,F:7
697.520,F:min7
698.770,Bb:7
700.050,Eb:maj7
701.330,Eb:maj7
702.610,D:hdim7
703.870,G:7(b9)
705.110,C:min7
706.419,C:min7
707.680,Bb:min7
708.960,Eb:7
710.180,Ab:maj7
711.500,Db:9
712.770,Eb:maj7
714.030,A:hdim7
714.670,D:7
715.310,Eb:maj7
715.950,D:7
716.590,G:7
717.220,C:7
717.860,F:min7
718.490,Bb:7
719.100,Eb:maj6
720.360,Eb:maj7
721.010,D:7
721.640,G:7
722.280,C:7
722.920,F:min7
723.560,Bb:7
724.210,Eb:maj6
724.850,Bb:7
725.490,Eb:maj7
726.130,D:7
726.810,G:7
727.470,C:7
728.100,F:min7
729.360,Bb:7
730.640,Eb:maj7
