time,chord
0.360,C:min
3.550,C:minmaj7
6.740,C:min7
9.960,C:min6
13.210,G#:maj7
16.500,F:min7
19.750,D:hdim7
23.020,G:7(b9)
26.360,C:min
29.740,C:minmaj7
33.220,C:min7
36.670,C:min6
40.060,G#:maj7
43.490,F:min7
46.990,F:min7
50.480,A#:7
54.090,D#:maj7
61.290,D#:maj7
68.470,D#:maj7
70.280,G:7
72.130,C:min7
75.850,G#:maj7
79.460,D:hdim7
81.260,G:7
83.040,C:min
86.730,C:minmaj7
90.450,C:min7
94.260,C:min6
98.020,G#:maj7
101.820,D:hdim7
103.670,G:7(b9)
105.370,C:min7
107.300,B:7
109.210,A#:min7
111.170,D#:7
113.090,G#:maj7
117.000,D:hdim7
119.050,G:7
121.030,C:min7
124.840,D:hdim7
126.859,G:7
129.910,C:min
