time,chord
5.600,B7
5.800,B7
6.200,D7
6.400,D7
6.800,Gj7
7.000,Gj7
7.400,A#7
7.800,A#7
8.400,D#bj7
8.600,D#bj7
9.600,D#bj7
9.800,D#bj7
10.800,D#bj7
11.200,D#bj7
11.600,A-7
11.800,A-7
12.200,D7
12.400,D7
12.800,Gj7
13.000,Gj7
13.400,A#7
13.600,A#7
14.000,D#bj7
14.400,D#bj7
15.000,F##7
15.400,F##7
16.000,B7
16.200,B7
16.600,B7
16.800,B7
17.200,F-7
17.400,F-7
17.800,A#7
18.000,A#7
18.400,A#7
18.800,D#bj7
19.000,D#bj7
19.400,D#bj7
19.600,D#bj7
20.000,A-7
20.200,A-7
20.800,A-7
21.400,D7
21.800,D7
22.400,Gj7
22.600,Gj7
23.000,Gj7
23.200,Gj7
23.600,C##-7
24.000,C##-7
24.600,F##7
24.800,F##7
25.600,F##7
26.200,B7
26.400,B7
26.800,B7
27.200,B7
27.400,B7
27.800,F-7
28.000,F-7
28.400,A#7
28.600,A#7
29.200,A#7
29.800,D#bj7
30.200,D#bj7
30.400,D#bj7
30.800,D#bj7
31.400,C##-7
31.600,C##-7
32.000,F##7
32.200,F##7
32.600,B7
32.800,B7
33.200,D7
33.400,D7
33.800,Gj7
34.000,Gj7
34.400,A#7
34.600,A#7
35.000,D#bj7
35.200,D#bj7
35.600,D#bj7
35.800,D#bj7
36.200,A-7
36.400,A-7
36.800,D7
37.000,D7
37.400,Gj7
37.600,Gj7
38.000,A#7
38.200,A#7
38.600,D#bj7
38.800,D#bj7
39.200,F##7
39.400,F##7
39.800,B7
40.000,B7
40.400,B7
40.600,B7
41.000,F-7
41.200,F-7
41.600,A#7
41.800,A#7
42.200,D#bj7
42.400,D#bj7
42.800,D#bj7
43.200,D#bj7
43.600,A-7
43.800,A-7
44.200,D7
44.400,D7
44.800,Gj7
45.000,Gj7
45.400,Gj7
45.600,Gj7
46.000,C##-7
46.200,C##-7
46.600,F##7
46.800,F##7
47.200,B7
47.400,B7
48.400,B7
48.600,B7
49.200,B7
49.400,B7
49.800,F-7
50.000,F-7
50.400,A#7
50.600,A#7
51.000,D#bj7
51.200,D#bj7
52.200,D#bj7
52.400,D#bj7
52.800,D#bj7
53.200,D#bj7
53.800,C##-7
54.000,C##-7
55.000,C##-7
55.200,C##-7
56.200,F##7
56.400,F##7
57.400,F##7
57.600,B7
58.000,B7
58.600,D7
58.800,D7
59.600,D7
60.200,Gj7
60.400,Gj7
61.400,Gj7
61.600,Gj7
62.400,A#7
62.600,A#7
63.000,D#bj7
63.200,D#bj7
63.600,D#bj7
63.800,D#bj7
64.200,A-7
64.400,A-7
64.800,D7
65.000,D7
65.400,Gj7
65.600,Gj7
66.000,A#7
66.200,A#7
67.200,A#7
67.400,A#7
67.800,D#bj7
68.000,D#bj7
68.400,F##7
68.600,F##7
69.000,B7
69.200,B7
69.600,B7
69.800,B7
70.200,F-7
70.400,F-7
70.800,A#7
71.000,A#7
71.400,D#bj7
71.600,D#bj7
72.000,D#bj7
72.200,D#bj7
72.600,A-7
72.800,A-7
73.200,D7
73.400,D7
73.800,Gj7
74.000,Gj7
74.400,Gj7
74.600,Gj7
75.000,C##-7
75.200,C##-7
75.600,F##7
75.800,F##7
76.200,B7
76.400,B7
77.000,B7
77.200,B7
77.600,F-7
77.800,F-7
78.200,A#7
78.400,A#7
78.800,D#bj7
79.000,D#bj7
79.400,D#bj7
79.600,D#bj7
80.000,C##-7
80.200,C##-7
80.600,F##7
80.800,F##7
