time,chord
22.0,A#6
22.0,A#6
22.2,G-7
22.2,G-7
22.4,C-7
22.4,C-7
22.6,F7
22.6,F7
22.8,A#6
22.8,A#6
23.0,G-7
23.0,G-7
23.2,C-7
23.2,C-7
23.4,F7
23.4,F7
23.6,A#6
23.6,A#6
23.8,A#7
23.8,A#7
24.0,D#b6
24.0,D#b6
24.2,Eo7
24.2,Eo7
24.4,A#6
24.4,A#6
24.6,F7
24.6,F7
24.8,A#6
24.8,A#6
25.0,A#6
25.0,A#6
25.2,A#6
25.2,A#6
25.4,G-7
25.6,G-7
25.8,G-7
26.0,G-7
26.2,C-7
26.4,C-7
26.6,C-7
26.8,F7
27.0,F7
27.0,A#6
27.2,A#6
27.2,G-7
27.4,G-7
27.4,C-7
27.6,C-7
27.6,F7
27.8,F7
27.8,A#6
28.0,A#6
28.0,A#7
28.2,A#7
28.4,A#7
28.6,D#b6
28.8,D#b6
29.0,D#b6
29.0,Eo7
29.2,Eo7
29.4,Eo7
29.6,A#6
29.8,A#6
30.0,A#6
30.2,A#6
30.4,F7
30.6,F7
30.8,F7
31.0,F7
31.2,A#6
31.4,A#6
31.6,A#6
31.8,A#6
32.0,A#6
32.2,A#6
32.4,A#6
32.6,A#6
32.8,D7
33.0,D7
33.2,D7
33.4,D7
33.6,D7
33.8,D7
34.0,D7
34.2,D7
34.4,D7
34.6,D7
34.8,D7
35.0,D7
35.2,D7
35.4,D7
35.6,D7
35.8,D7
36.0,G7
36.2,G7
36.4,G7
36.6,G7
36.8,G7
37.0,G7
37.2,G7
37.4,G7
37.6,G7
37.8,G7
38.0,G7
38.2,G7
38.4,G7
38.6,G7
38.8,G7
39.0,C7
39.2,C7
39.2,C7
39.4,C7
39.4,C7
39.6,C7
39.6,C7
39.8,C7
40.0,C7
40.2,F7
40.4,F7
40.4,F7
40.6,F7
40.6,F7
40.8,F7
40.8,F7
41.0,F7
41.0,A#6
41.2,A#6
41.2,G-7
41.4,G-7
41.4,C-7
41.6,C-7
41.6,F7
41.8,F7
41.8,A#6
42.0,A#6
42.0,G-7
42.2,G-7
42.2,C-7
42.4,C-7
42.6,C-7
42.8,F7
43.0,F7
43.2,F7
43.4,A#6
43.6,A#6
43.8,A#6
44.0,A#6
44.2,A#7
44.4,A#7
44.6,A#7
44.8,A#7
45.0,D#b6
45.2,D#b6
45.4,D#b6
45.6,Eo7
45.6,Eo7
45.8,A#6
45.8,A#6
46.0,F7
46.0,F7
46.2,A#6
46.2,A#6
46.4,A#6
46.4,A#6
46.6,A#6
46.6,A#6
46.8,G-7
46.8,G-7
47.0,C-7
47.0,C-7
47.2,F7
47.2,F7
47.4,A#6
47.4,A#6
47.6,G-7
47.6,G-7
47.8,C-7
47.8,C-7
48.0,F7
48.0,F7
48.2,A#6
48.2,A#6
48.4,A#7
48.4,A#7
48.6,D#b6
48.6,D#b6
48.8,Eo7
48.8,Eo7
49.0,A#6
49.0,A#6
49.2,F7
49.2,F7
49.4,A#6
49.4,A#6
49.6,A#6
49.6,A#6
49.8,A#6
49.8,A#6
50.0,G-7
50.0,G-7
50.2,C-7
50.2,C-7
50.4,F7
50.4,F7
50.6,A#6
50.6,A#6
50.8,G-7
50.8,G-7
51.0,C-7
51.0,C-7
51.2,F7
51.2,F7
51.4,A#6
51.4,A#6
51.6,A#7
51.6,A#7
51.8,D#b6
51.8,D#b6
52.0,Eo7
52.0,Eo7
52.2,A#6
52.2,A#6
52.4,F7
52.4,F7
52.6,A#6
52.6,A#6
52.8,A#6
52.8,A#6
53.0,D7
53.0,D7
53.2,D7
53.2,D7
53.4,D7
53.4,D7
53.6,D7
53.6,D7
53.8,G7
54.0,G7
54.2,G7
54.4,G7
54.6,G7
54.8,G7
55.0,G7
55.2,G7
55.4,G7
55.6,G7
55.8,G7
56.0,G7
56.2,G7
56.4,G7
56.6,G7
56.8,C7
57.0,C7
57.2,C7
57.4,C7
57.6,C7
57.8,C7
58.0,C7
58.0,C7
58.2,C7
58.2,C7
58.4,C7
58.6,C7
58.8,F7
59.0,F7
59.2,F7
59.4,F7
59.6,F7
59.8,F7
60.0,F7
60.2,F7
60.4,F7
60.6,F7
60.8,F7
61.0,F7
61.2,F7
61.4,F7
61.6,F7
61.8,F7
62.0,A#6
62.2,A#6
62.4,A#6
62.6,A#6
62.8,G-7
63.0,G-7
63.2,G-7
63.4,C-7
63.6,C-7
63.8,C-7
64.0,F7
64.2,F7
64.4,F7
64.6,F7
64.8,A#6
65.0,A#6
65.2,A#6
65.4,A#6
65.6,G-7
65.8,G-7
66.0,G-7
66.2,G-7
66.4,C-7
66.6,C-7
66.8,C-7
67.0,F7
67.2,F7
67.4,F7
67.6,A#6
67.8,A#6
68.0,A#6
68.2,A#6
68.4,A#7
68.6,A#7
68.8,A#7
69.0,A#7
69.2,D#b6
69.4,D#b6
69.6,D#b6
69.8,D#b6
70.0,Eo7
70.2,Eo7
70.4,Eo7
70.6,Eo7
70.8,A#6
71.0,A#6
71.2,A#6
71.4,A#6
71.6,F7
71.8,F7
72.0,F7
72.2,F7
72.4,A#6
72.6,A#6
72.8,A#6
73.0,A#6
73.2,A#6
73.4,A#6
73.6,A#6
73.8,A#6
74.0,A#6
74.2,A#6
74.4,A#6
74.6,A#6
74.8,G-7
75.0,G-7
75.2,G-7
75.4,G-7
75.6,C-7
75.8,C-7
76.0,C-7
76.0,F7
76.2,F7
76.2,A#6
76.4,A#6
76.4,G-7
76.6,G-7
76.6,C-7
76.8,C-7
77.0,C-7
77.2,F7
77.4,F7
77.6,F7
77.8,F7
78.0,A#6
78.0,A#6
78.2,A#7
78.2,A#7
78.4,D#b6
78.4,D#b6
78.6,Eo7
78.6,Eo7
78.8,A#6
78.8,A#6
79.0,F7
79.0,F7
79.2,A#6
79.2,A#6
79.4,A#6
79.4,A#6
79.6,A#6
79.6,A#6
79.8,G-7
79.8,G-7
80.0,C-7
80.2,C-7
80.4,C-7
80.6,C-7
80.8,F7
81.0,F7
81.2,F7
81.4,F7
81.6,A#6
81.8,A#6
82.0,A#6
82.2,A#6
82.4,G-7
82.6,G-7
82.8,G-7
83.0,G-7
83.2,C-7
83.4,C-7
83.6,C-7
83.8,C-7
84.0,F7
84.2,F7
84.4,F7
84.6,F7
84.8,A#6
85.0,A#6
85.2,A#6
85.4,A#6
85.6,A#7
85.8,A#7
86.0,D#b6
86.0,D#b6
86.2,Eo7
86.2,Eo7
86.4,A#6
86.6,A#6
86.8,A#6
87.0,A#6
87.2,F7
87.4,F7
87.6,F7
87.8,F7
88.0,A#6
88.2,A#6
88.4,A#6
88.6,A#6
88.8,A#6
89.0,A#6
89.2,A#6
89.4,A#6
89.6,D7
89.8,D7
90.0,D7
90.0,D7
90.2,D7
90.2,D7
90.4,D7
90.4,D7
90.6,D7
90.8,D7
91.0,G7
91.2,G7
91.4,G7
91.6,G7
91.6,G7
91.8,G7
91.8,G7
92.0,G7
92.2,G7
92.4,G7
92.6,G7
92.8,C7
93.0,C7
93.2,C7
93.4,C7
93.6,C7
93.8,C7
94.0,C7
94.2,C7
94.4,C7
94.6,C7
94.8,C7
95.0,C7
95.2,C7
95.4,C7
95.6,C7
95.8,C7
96.0,F7
96.2,F7
96.4,F7
96.6,F7
96.8,F7
97.0,F7
97.2,F7
97.4,F7
97.6,F7
97.8,F7
98.0,F7
98.2,F7
98.4,F7
98.6,F7
98.8,F7
99.0,F7
99.2,A#6
99.4,A#6
99.6,A#6
99.8,A#6
100.0,G-7
100.0,G-7
100.2,C-7
100.2,C-7
100.4,F7
100.4,F7
100.6,A#6
100.6,A#6
100.8,G-7
100.8,G-7
101.0,C-7
101.0,C-7
101.2,F7
101.2,F7
101.4,A#6
101.4,A#6
101.6,A#7
101.6,A#7
101.8,D#b6
101.8,D#b6
102.0,Eo7
102.0,Eo7
102.2,A#6
102.2,A#6
102.4,F7
102.4,F7
102.6,A#6
102.6,A#6
102.8,A#6
102.8,A#6
