time,chord
13.0,G-
13.0,G-
13.2,D7
13.2,D7
13.4,G-
13.4,G-
13.6,D7
13.6,D7
13.8,G-
13.8,G-
14.0,D7
14.0,D7
14.2,G-
14.2,G-
14.4,G7
14.4,G7
14.6,C-
14.6,C-
14.8,C-
14.8,C-
15.0,C-
15.0,C-
15.2,C-
15.2,C-
15.4,Am7b5
15.4,Am7b5
15.6,Am7b5
15.6,Am7b5
15.8,D7
16.0,D7
16.2,D7
16.2,D7
16.4,G-
16.4,G-
16.6,G-
16.6,G-
16.8,G-
16.8,G-
17.0,G-
17.0,G-
17.2,G-
17.2,G-
17.4,G-
17.4,G-
17.6,C-7
17.6,C-7
17.8,F7
17.8,F7
18.0,A#j7
18.0,A#j7
18.2,D#b7
18.2,D#b7
18.4,Am7b5
18.4,Am7b5
18.6,D7
18.6,D7
18.8,G-
18.8,G-
19.0,G-
19.0,G-
19.2,Am7b5
19.2,Am7b5
19.4,D7
19.4,D7
19.6,G-
19.6,G-
19.8,D7
20.0,D7
20.2,D7
20.4,D7
20.6,G-
20.8,G-
21.0,G-
21.2,G-
21.4,D7
21.6,D7
21.8,D7
22.0,D7
22.2,G-
22.4,G-
22.6,G-
22.8,G-
23.0,D7
23.2,D7
23.4,D7
23.6,D7
23.8,G-
24.0,G-
24.2,G-
24.4,G-
24.6,G7
24.8,G7
25.0,G7
25.2,C-
25.4,C-
25.6,C-
25.8,C-
26.0,C-
26.2,C-
26.4,C-
26.6,C-
26.8,C-
27.0,C-
27.2,C-
27.4,C-
27.6,C-
27.8,C-
28.0,C-
28.2,C-
28.4,Am7b5
28.6,Am7b5
28.8,Am7b5
29.0,Am7b5
29.2,Am7b5
29.4,Am7b5
29.6,Am7b5
29.8,Am7b5
30.0,D7
30.2,D7
30.4,D7
30.6,D7
30.8,D7
31.0,D7
31.2,D7
31.4,D7
31.6,G-
31.6,G-
31.8,G-
31.8,G-
32.0,G-
32.0,G-
32.2,G-
32.4,G-
32.6,G-
32.8,G-
33.0,G-
33.2,G-
33.4,G-
33.4,G-
33.6,G-
33.6,C-7
33.8,C-7
33.8,F7
34.0,F7
34.0,A#j7
34.2,A#j7
34.2,D#b7
34.4,D#b7
34.6,D#b7
34.8,Am7b5
35.0,Am7b5
35.2,Am7b5
35.4,Am7b5
35.6,D7
35.8,D7
36.0,D7
36.2,D7
36.4,G-
36.6,G-
36.8,G-
37.0,G-
37.2,G-
37.4,G-
37.6,G-
37.8,Am7b5
38.0,Am7b5
38.2,Am7b5
38.4,Am7b5
38.6,D7
38.8,D7
39.0,D7
39.2,D7
39.4,G-
39.6,G-
39.6,D7
39.8,D7
40.0,D7
40.2,G-
40.4,G-
40.6,G-
40.8,G-
41.0,D7
41.2,D7
41.4,D7
41.6,G-
41.6,G-
41.8,D7
42.0,D7
42.2,D7
42.4,D7
42.6,G-
42.8,G-
43.0,G-
43.2,G-
43.4,G7
43.6,G7
43.8,G7
44.0,C-
44.2,C-
44.4,C-
44.6,C-
44.8,C-
45.0,C-
45.0,C-
45.2,C-
45.2,C-
45.4,C-
45.4,Am7b5
45.6,Am7b5
45.6,Am7b5
45.8,Am7b5
46.0,Am7b5
46.2,D7
46.4,D7
46.6,D7
46.8,D7
47.0,D7
47.2,D7
47.4,D7
47.6,D7
47.8,G-
48.0,G-
48.2,G-
48.4,G-
48.6,G-
48.8,G-
49.0,G-
49.2,G-
49.4,G-
49.6,G-
49.8,G-
50.0,G-
50.2,G-
50.4,G-
50.6,G-
50.8,G-
51.0,G-
51.2,G-
51.4,G-
51.6,G-
51.6,G-
51.8,C-7
51.8,C-7
52.0,F7
52.0,F7
52.2,A#j7
52.2,A#j7
52.4,D#b7
52.4,D#b7
52.6,Am7b5
52.6,Am7b5
52.8,D7
52.8,D7
53.0,G-
53.0,G-
53.2,G-
53.2,G-
53.4,Am7b5
53.4,Am7b5
53.6,D7
53.6,D7
