time,chord
73.660,D#:min7
74.380,G#:7
75.110,C#:maj7
75.840,F#:maj7
76.560,C:hdim7
77.270,F:7
77.980,A#:min7
78.680,G:7
79.410,F#:maj7
80.120,G:dim
80.840,G#:7
81.550,A#:7
82.280,D#:min7
82.980,G#:7
83.690,F:min7
84.410,A#:7
85.120,D#:min7
85.840,G#:7
86.570,C#:maj7
87.270,F#:maj7
87.950,C:hdim7
88.690,F:7
89.400,A#:min7
90.110,G:7
90.830,F#:maj7
91.540,G:dim
92.250,G#:7
92.960,A#:7
93.670,G:hdim7
94.390,C:7(b9)
95.110,F:min7
95.840,A#:7
96.560,D#:min7
97.270,G#:7
97.990,C#:maj7
99.450,D#:min7
100.180,G#:7
100.890,C#:maj7
102.310,D#:min7
103.020,G#:7
103.740,C#:maj7
105.200,G:hdim7
105.920,C:7(b9)
106.650,F:min7
107.370,A#:7
108.110,D#:min7
109.550,G#:7
110.990,D#:min7
111.720,G#:7
112.440,C#:maj7
113.160,F#:maj7
113.880,C:hdim7
114.600,F:7
115.310,A#:min7
116.030,G:7
116.720,F#:maj7
117.440,G:dim
118.180,G#:7
118.900,A#:7
119.630,D#:min7
120.350,G#:7
121.060,F:min7
121.780,A#:7
122.500,D#:min7
123.230,G#:7
123.940,C#:maj7
124.650,F#:maj7
125.350,C:hdim7
126.080,F:7
126.800,A#:min7
127.530,G:7
128.250,F#:maj7
128.970,G:dim
129.680,G#:7
130.390,A#:7
131.130,G:hdim7
131.870,C:7(b9)
132.590,F:min7
133.320,A#:7
134.030,D#:min7
134.750,G#:7
135.470,C#:maj7
136.180,F#:maj7
136.900,C:hdim7
137.650,F:7
138.360,A#:min7
139.810,F#:maj7
140.550,G:dim
141.280,G#:7
142.000,A#:7
142.710,G:hdim7
143.440,C:7(b9)
144.160,F:min7
144.890,A#:7
145.600,D#:min7
146.330,G#:7
147.050,C#:maj7
147.780,C#:maj7
148.520,G:hdim7
149.250,C:7(b9)
149.950,F:min7
150.690,A#:7
151.420,D#:min7
151.790,A#:7
152.160,D#:min7
152.530,A#:7
152.890,D#:min7
153.250,A:7
153.620,G#:7
154.330,D#:min7
155.060,G#:7
155.780,C#:maj7
156.500,F#:maj7
157.240,C:hdim7
157.960,F:7
158.680,A#:min7
159.410,E:7
160.140,D#:min7
160.880,G#:7
161.620,F:min7
162.320,A#:min7
163.050,D#:min7
163.780,G#:7
164.490,C#:maj7
165.220,C#:maj7
165.940,D#:min7
166.680,G#:7
167.390,C#:maj7
168.130,F#:maj7
168.840,C:hdim7
169.560,F:7
170.290,A#:min7
171.010,E:7
171.760,D#:min7
172.490,G#:7
173.220,F:min7
173.950,A#:min7
174.670,D#:min7
175.400,G#:7
176.120,F:min7
176.840,A#:7
177.570,D#:min7
178.290,G#:7
179.020,C#:maj7
179.780,F#:maj7
180.510,C:hdim7
181.240,F:7
181.960,A#:min7
182.680,E:7
183.410,D#:min7
184.130,G#:7
184.860,F:min7
185.600,A#:min7
186.310,D#:min7
187.040,G#:7
187.750,C#:maj7
188.470,C#:maj7
188.830,A#:7
189.190,D#:7
189.920,G#:7
190.650,F:min7
191.360,A#:min7
192.090,D#:min7
192.820,G#:7
193.540,C#:maj7
194.250,F#:maj7
195.000,G:hdim7
195.720,C:7(b9)
196.440,F:min7
197.170,A#:7
197.900,D#:min7
198.260,A#:7
198.630,D#:min7
198.990,A#:7
199.350,D#:min7
199.710,A:7
200.070,G#:7
200.800,D#:min7
201.530,G#:7
202.260,C#:maj7
202.990,F#:maj7
203.720,C:hdim7
204.480,F:7
205.210,A#:min7
205.950,E:7
206.680,D#:min7
207.410,G#:7
208.140,F:min7
208.860,A#:min7
209.570,D#:min7
210.290,G#:7
211.010,C#:maj7
211.750,C#:maj7
212.480,D#:min7
213.210,G#:7
213.930,C#:maj7
214.660,F#:maj7
215.400,C:hdim7
216.130,F:7
216.870,A#:min7
217.600,E:7
218.350,D#:min7
219.080,G#:7
219.810,F:min7
220.530,A#:min7
221.250,D#:min7
221.970,G#:7
222.690,C#:maj7
223.430,F#:maj7
224.140,C:hdim7
224.880,F:7
225.610,A#:min7
226.330,G:7
227.050,F#:maj7
227.780,G:dim
228.510,G#:7
229.240,A#:min7
229.970,D#:min7
230.710,G#:7
231.430,F:min7
232.160,A#:7
232.900,D#:min7
233.630,G#:7
234.350,C#:maj7
235.070,F#:maj7
235.800,C:hdim7
236.530,F:7
237.270,A#:min7
237.990,G:7
238.710,F#:maj7
239.440,G:dim
240.180,G#:7
240.900,A#:min7
241.620,G:hdim7
242.350,C:7
243.090,F:min7
243.820,A#:7
244.560,D#:min7
245.290,G#:7
246.020,C#:maj7
247.490,D#:7
248.230,G#:7
248.960,C#:maj7
249.690,A#:min7
250.410,D#:min7
251.150,G#:7
251.880,C#:maj7
252.600,F#:maj7
253.340,G:hdim7
254.060,C:7(b9)
254.790,F:min7
255.520,A#:7
256.240,D#:min7
256.970,D#:min7
257.680,D#:min7
257.680,G#:7
259.120,D#:min7
259.850,G#:7
260.570,C#:maj7
261.290,F#:maj7
262.010,C:hdim7
262.740,F:7
263.450,A#:min7
264.190,G:7
264.900,F#:maj7
265.630,G:dim
266.360,G#:7
267.080,A#:min7
267.790,D#:min7
268.510,G#:7
269.240,C#:maj7
269.960,C#:maj7
270.680,D#:min7
271.420,G#:7
272.150,C#:maj7
272.870,F#:maj7
273.600,C:hdim7
274.330,F:7
275.060,A#:min7
275.780,G:7
276.500,F#:maj7
277.220,G:dim
277.940,G#:7
278.680,A#:min7
279.400,D#:min7
280.110,G#:7
280.840,F:min7
281.560,A#:7
282.290,D#:min7
283.030,G#:7
283.770,C#:maj7
284.490,F#:maj7
285.220,C:hdim7
285.950,F:7
286.690,A#:min7
287.400,G:7
288.110,F#:maj7
288.850,G:dim
289.570,G#:7
290.310,A#:min7
291.030,G:hdim7
291.760,C:7
292.490,F:min7
293.210,A#:7
293.940,D#:min7
294.680,G#:7
295.410,C#:maj7
296.870,D#:7
297.600,G#:7
298.340,C#:maj7
299.040,A#:min7
299.780,D#:min7
300.530,G#:7
301.260,C#:maj7
302.730,G:hdim7
303.470,C:7(b9)
304.210,F:min7
304.950,A#:7
305.670,D#:min7
306.400,D#:min7
307.130,G#:7
308.580,D#:min7
309.320,G#:7
310.030,C#:maj7
310.750,F#:maj7
311.470,C:hdim7
312.190,F:7
312.920,A#:min7
313.650,G:7
314.370,F#:maj7
315.100,G:dim
315.830,G#:7
316.570,A#:min7
317.290,D#:min7
318.020,G#:7
318.760,C#:maj7
319.490,C#:maj7
320.210,D#:min7
320.950,G#:7
321.690,C#:maj7
322.420,F#:maj7
323.170,C:hdim7
323.910,F:7
324.640,A#:min7
325.380,G:7
326.110,F#:maj7
326.840,G:dim
327.580,G#:7
328.300,A#:min7
329.010,D#:min7
329.740,G#:7
330.460,F:min7
331.190,A#:7
331.910,D#:min7
332.650,G#:7
333.390,C#:maj7
334.110,F#:maj7
334.840,C:hdim7
335.560,F:7
336.310,A#:min7
337.050,G:7
337.790,F#:maj7
338.510,G:dim
339.250,G#:7
339.960,A#:min7
340.700,G:hdim7
341.420,C:7
342.150,F:min7
342.880,A#:7
343.600,D#:min7
344.330,G#:7
345.050,C#:maj7
346.510,D#:7
347.250,G#:7
347.990,C#:maj7
348.720,A#:min7
349.430,D#:min7
350.170,G#:7
350.900,C#:maj7
351.620,F#:maj7
352.350,G:hdim7
353.070,C:7(b9)
353.800,F:min7
354.520,A#:7
355.270,D#:min7
356.000,D#:min7
356.740,G#:7
358.210,D#:min7
358.940,G#:7
359.660,C#:maj7
360.390,F#:maj7
361.120,C:hdim7
361.860,F:7
362.590,A#:min7
363.320,G:7
364.070,F#:maj7
364.800,G:dim
365.550,G#:7
366.310,A#:min7
367.050,D#:min7
367.800,G#:7
368.530,C#:maj7
369.260,C#:maj7
370.020,D#:min7
370.740,G#:7
371.490,C#:maj7
372.220,F#:maj7
372.960,C:hdim7
373.700,F:7
374.430,A#:min7
375.160,G:7
375.910,F#:maj7
376.640,G:dim
377.370,G#:7
378.100,A#:min7
378.850,D#:min7
379.590,G#:7
380.320,F:min7
381.060,A#:7
381.790,D#:min7
382.540,G#:7
383.280,C#:maj7
384.040,F#:maj7
384.780,C:hdim7
385.530,F:7
386.270,A#:min7
387.010,G:7
387.760,F#:maj7
388.490,G:dim
389.230,G#:7
389.970,A#:min7
390.710,G:hdim7
391.460,C:7
392.200,F:min7
392.940,A#:7
393.680,D#:min7
394.420,G#:7
395.160,C#:maj7
396.640,D#:7
397.380,G#:7
398.120,C#:maj7
398.870,A#:min7
399.600,D#:min7
400.330,G#:7
401.080,C#:maj7
401.810,F#:maj7
402.540,G:hdim7
403.280,C:7(b9)
404.030,F:min7
404.770,A#:7
405.520,D#:min7
406.260,D#:min7
406.990,G#:7
408.490,D#:min7
409.230,G#:7
409.960,C#:maj7
410.710,F#:maj7
411.450,C:hdim7
412.200,F:7
412.920,A#:min7
413.660,G:7
414.390,F#:maj7
415.130,G:dim
415.880,G#:7
416.630,A#:min7
417.370,D#:min7
418.120,G#:7
418.860,F:min7
419.600,A#:7
420.350,D#:min7
421.100,G#:7
421.840,C#:maj7
422.590,F#:maj7
423.310,C:hdim7
424.060,F:7
424.790,A#:min7
425.550,G:7
426.270,F#:maj7
427.040,N
432.210,D#:min7
432.960,G#:7
433.710,C#:maj7
434.440,F#:maj7
435.170,C:hdim7
435.910,F:7
436.640,A#:min7
437.380,G:7
438.100,F#:maj7
438.840,N
447.040,D#:7
447.790,G#:7
448.540,C#:maj7
449.280,A#:min7
450.020,D#:min7
450.750,G#:7
451.480,C#:maj7
452.240,F#:maj7
452.970,G:hdim7
453.720,N
458.810,D#:min7
459.540,G#:7
460.280,C#:maj7
461.000,F#:maj7
461.740,C:hdim7
462.470,F:7
463.210,A#:min7
463.940,G:7
464.670,F#:maj7
465.420,N
470.590,D#:min7
471.350,G#:7
472.080,C#:maj7
472.820,F#:maj7
473.550,C:hdim7
474.300,F:7
475.010,A#:min7
475.740,G:7
476.470,N
482.260,D#:min7
482.990,G#:7
483.710,C#:maj7
484.460,F#:maj7
485.210,C:hdim7
485.940,F:7
486.690,A#:min7
487.440,G:7
488.180,N
496.870,D#:7
497.630,G#:7
498.360,C#:maj7
499.090,A#:min7
499.840,D#:min7
500.580,G#:7
501.330,C#:maj7
502.070,F#:maj7
502.800,N
508.770,D#:min7
509.510,G#:7
510.250,C#:maj7
511.000,F#:maj7
511.740,C:hdim7
512.490,F:7
513.240,A#:min7
513.970,G:7
514.710,N
517.630,D#:min7
518.350,G#:7
519.090,C#:maj7
519.820,C#:maj7
520.590,D#:7
521.340,G#:7
522.090,C#:maj7
522.840,A#:min7
523.560,D#:min7
524.300,G#:7
525.050,C#:maj7
526.560,G:hdim7
527.320,C:7(b9)
528.080,F:min7
528.840,A#:7
529.580,D#:min7
530.350,D#:min7
531.110,C:min7
531.850,F:7
532.600,C:min7
533.390,F:7
534.180,A#:maj7
534.945,D#:maj7
535.680,A:hdim7
536.435,D:7
537.200,G:min7
537.980,A#:maj7
538.740,D#:maj7
539.475,D:7
540.250,G:min7
541.040,C:7
