time,chord
9.380,D#j7
10.760,D#j7
12.100,F75b
13.460,F75b
14.770,F-7
16.120,A#7
17.470,Gm7b5
18.840,C79b
20.180,F-7
21.550,G79b
22.880,C7
24.250,C79b
25.580,F79b
26.930,F79b
28.310,Ej7
29.670,Ej7
31.030,D#j7
32.400,D#j7
33.760,F75b
35.130,F75b
36.490,F-7
37.870,A#7
39.210,Gm7b5
40.570,C79b
41.920,F-7
43.280,G#-6
44.630,D#j7
45.990,Am7b5
46.670,D79#
47.360,Gj7
48.720,G#o7
50.080,A-7
51.440,D7
52.790,Gj7
54.160,G#o
55.520,A-7
56.870,D7
58.210,Gj7
59.560,E-7
60.920,A-7
62.280,D7
63.630,A#j7
64.960,Bo7
66.280,C-7
67.630,F7
68.990,F-7
70.350,C79b
71.690,F7
73.040,A#79b
74.390,D#j7
75.740,D#j7
77.090,F75b
78.450,F75b
79.810,F-7
81.170,A#7
82.520,Gm7b5
83.880,C7
85.230,F-7
86.580,G#-6
87.940,D#j7
89.300,C-7
90.670,F7
92.020,F7
93.380,Db7
96.090,F7
97.450,F-7
98.130,A#7
98.800,D#6
101.510,F7
102.888,F7
104.239,G#-7
105.607,C#7
106.967,F7
108.287,A#7
109.668,D#6
