time,chord
1.170,D:maj7
3.740,A:min7
5.000,D:7
6.250,G:maj7
7.520,G:min7
8.780,F#:7
10.030,B:7
11.290,B:min7
11.920,E:7
12.550,Bb:7
13.160,A:7
13.790,D:min7
15.020,D:min7
15.020,G:7
16.270,D:maj7
18.790,A:min7
20.030,D:7
21.260,G:maj7
22.490,G:min7
23.720,F#:7
24.930,B:7
26.190,E:7
27.440,Bb:7
28.050,A:7
28.670,D:min7
29.920,D:min7
31.160,G:min7
32.430,C:7
33.690,F:maj7
36.170,F:min7
37.420,Bb:7
38.620,G:min7
39.860,A:7
41.090,D:maj7
43.510,A:min7
44.740,D:7
45.970,G:maj7
47.170,G:min7
48.420,F#:7
49.660,B:7
50.900,E:7
52.100,Bb:7
52.720,A:7
53.330,D:min7
54.570,D:min7
55.810,D:maj7
58.270,A:min7
59.510,D:7
60.740,G:maj7
61.950,G:min7
63.170,F#:7
64.410,B:7
65.610,B:min7
66.240,E:7
66.840,Bb:7
67.440,A:7
68.030,D:min7
69.240,G:7
70.440,D:maj7
72.890,A:min7
74.120,D:7
75.350,G:maj7
76.560,G:min7
77.770,F#:7
78.990,B:7
80.190,E:7
81.400,Bb:7
82.010,A:7
82.630,D:min7
83.820,D:min7
85.000,G:min7
86.200,C:7
87.400,F:maj7
89.790,F:min7
90.990,Bb:7
92.160,G:min7
93.350,A:7
94.560,D:maj7
96.940,A:min7
98.100,D:7
99.280,G:maj7
100.480,G:min7
101.660,F#:7
102.820,B:7
104.000,E:7
105.200,Bb:7
105.790,A:7
106.380,D:min7
107.550,D:min7
108.700,D:maj7
111.070,A:min7
112.260,D:7
113.420,G:maj7
114.590,G:min7
115.780,F#:7
116.960,B:7
118.120,E:7
119.280,Bb:7
119.870,A:7
120.460,D:min7
122.790,D:maj7
125.180,A:min7
126.370,D:7
127.560,G:maj7
128.740,G:min7
129.940,F#:7
131.120,B:7
132.290,E:7
133.450,Bb:7
134.050,A:7
134.620,D:min7
135.800,D:min7
136.990,G:min7
138.200,C:7
139.380,F:maj7
141.690,F:min7
142.870,Bb:7
144.080,G:min7
145.226,A:7
146.347,D:maj7
148.698,A:min7
149.853,D:7
151.002,G:maj7
152.175,G:min7
153.371,F#:7
154.532,B:7
155.699,E:7
156.871,Bb:7
157.446,A:7
158.067,D:min7
159.245,G:7
160.424,D:min7
161.596,G:7
162.781,D:min7
163.971,G:7
165.155,D:min7
166.316,G:7
167.465,D:min7
168.638,G:7
169.799,D:min7
170.965,G:7
172.098,D:min7
173.253,G:7
174.440,D:min7
175.647,G:7
176.791,D:min7
177.946,G:7
179.101,D:min7
180.233,G:7
181.406,D:min7
182.602,G:7
183.768,D:min7
186.114,D:maj7
187.304,D:min7
188.436,D:maj7
189.585,D:min7
190.766,D:maj7
191.936,D:min7
193.103,D:maj7
194.281,D:min7
195.396,D:maj7
196.563,D:min7
197.727,D:maj7
198.916,D:min7
200.068,D:maj7
201.209,D:min7
202.341,D:maj7
203.520,D:min7
204.675,D:maj7
205.853,D:min7
207.014,D:maj7
208.187,D:min7
209.371,D:maj7
210.520,D:min7
211.693,D:maj7
212.877,D:min7
214.003,D:maj7
215.159,D:min7
