time,chord
65.6,G-6/C
65.6,G-6/C
65.8,G-6/C
65.8,G-6/C
66.0,G-6/C
66.0,G-6/C
66.2,G-6/C
66.2,G-6/C
66.4,G-6/C
66.4,G-6/C
66.6,G-6/C
66.6,G-6/C
66.8,G-6/C
66.8,G-6/C
67.0,G-6/C
67.0,G-6/C
67.2,G-6/C
67.2,G-6/C
67.4,G-6/C
67.4,G-6/C
67.6,G-6/C
67.6,G-6/C
67.8,G-6/C
67.8,G-6/C
68.0,C#b7911#
68.0,C#b7911#
68.2,C#b7911#
68.2,C#b7911#
68.4,C#b7911#
68.4,C#b7911#
68.6,C#b7911#
68.6,C#b7911#
68.8,G-6/C
68.8,G-6/C
69.0,G-6/C
69.0,G-6/C
69.2,G-6/C
69.2,G-6/C
69.4,G-6/C
69.4,G-6/C
69.6,G-6/C
69.6,G-6/C
69.8,G-6/C
69.8,G-6/C
70.0,G-6/C
70.0,G-6/C
70.2,G-6/C
70.2,G-6/C
70.4,G-6/C
70.4,G-6/C
70.6,G-6/C
70.6,G-6/C
70.8,G-6/C
70.8,G-6/C
71.0,G-6/C
71.0,G-6/C
71.2,C+7
71.2,C+7
71.4,C+7
71.4,C+7
71.6,C+7
71.6,C+7
71.8,C+7
71.8,C+7
72.0,A-7
72.0,A-7
72.2,A-7
72.2,A-7
72.4,A-7
72.4,A-7
72.6,A-7
72.6,A-7
72.8,A-7
72.8,A-7
73.0,A-7
73.0,A-7
73.2,A-7
73.2,A-7
73.4,A-7
73.4,A-7
73.6,A-7
73.6,A-7
73.8,A-7
73.8,A-7
74.0,A-7
74.0,A-7
74.2,A-7
74.2,A-7
74.4,C+7
74.4,C+7
74.6,C+7
74.6,C+7
74.8,C+7
74.8,C+7
75.0,C+7
75.0,C+7
75.2,C+7
75.2,C+7
75.4,C+7
75.4,C+7
75.6,C+7
75.6,C+7
75.8,C+7
76.0,C+7
76.2,C+7
76.4,C+7
76.6,C+7
76.8,C+7
77.0,C+7
77.2,C+7
77.4,C+7
77.6,C+7
77.8,C+7
78.0,C+7
78.2,C+7
78.4,C+7
78.6,C+7
78.8,C+7
79.0,C+7
79.2,C+7
79.4,C+7
79.6,C+7
79.6,C+7
79.8,C+7
79.8,C+7
80.0,C+7
80.0,C+7
80.2,C+7
80.2,C+7
80.4,A-7
80.4,A-7
80.6,A-7
80.6,A-7
80.8,A-7
80.8,A-7
81.0,A-7
81.0,A-7
81.2,G-6/C
81.4,G-6/C
81.6,G-6/C
81.8,G-6/C
82.0,G-6/C
82.2,G-6/C
82.4,G-6/C
82.4,G-6/C
82.6,G-6/C
82.6,G-6/C
82.8,G-6/C
82.8,G-6/C
83.0,G-6/C
83.0,G-6/C
83.2,G-6/C
83.2,G-6/C
83.4,G-6/C
83.4,G-6/C
83.6,G-6/C
83.6,G-6/C
83.8,G-6/C
83.8,G-6/C
84.0,G-6/C
84.0,G-6/C
84.2,G-6/C
84.4,G-6/C
84.6,G-6/C
84.8,G-6/C
85.0,F+7911#
85.2,F+7911#
85.4,F+7911#
85.6,F+7911#
85.8,F+7911#
85.8,F+7911#
86.0,F+7911#
86.0,F+7911#
86.2,F+7911#
86.2,F+7911#
86.4,G-6/C
86.4,G-6/C
86.6,G-6/C
86.6,G-6/C
86.8,G-6/C
86.8,G-6/C
87.0,G-6/C
87.0,G-6/C
87.2,G-6/C
87.2,G-6/C
87.4,G-6/C
87.4,G-6/C
87.6,G-6/C
87.6,G-6/C
87.8,G-6/C
87.8,G-6/C
88.0,G-6/C
88.0,G-6/C
88.2,G-6/C
88.2,G-6/C
88.4,G-6/C
88.4,G-6/C
88.6,G-6/C
88.6,G-6/C
88.8,C#b7911#
88.8,C#b7911#
89.0,C#b7911#
89.0,C#b7911#
89.2,C#b7911#
89.2,C#b7911#
89.4,C#b7911#
89.4,C#b7911#
89.6,G-6/C
89.6,G-6/C
89.8,G-6/C
89.8,G-6/C
90.0,G-6/C
90.0,G-6/C
90.2,G-6/C
90.2,G-6/C
90.4,G-6/C
90.4,G-6/C
90.6,G-6/C
90.6,G-6/C
90.8,G-6/C
90.8,G-6/C
91.0,G-6/C
91.0,G-6/C
91.2,G-6/C
91.2,G-6/C
91.4,G-6/C
91.4,G-6/C
91.6,G-6/C
91.6,G-6/C
91.8,G-6/C
91.8,G-6/C
92.0,C+7
92.0,C+7
92.2,C+7
92.2,C+7
92.4,C+7
92.4,C+7
92.6,C+7
92.6,C+7
92.8,A-7
92.8,A-7
93.0,A-7
93.0,A-7
93.2,A-7
93.2,A-7
93.4,A-7
93.4,A-7
93.6,A-7
93.6,A-7
93.8,A-7
94.0,A-7
94.2,A-7
94.4,A-7
94.6,A-7
94.8,A-7
95.0,A-7
95.2,A-7
95.4,A-7
95.6,A-7
95.8,A-7
96.0,A-7
96.2,A-7
96.4,A-7
96.6,A-7
96.8,A-7
97.0,A-7
97.2,A-7
97.2,A-7
97.4,A-7
97.4,A-7
97.6,A-7
97.6,C+7
97.8,C+7
97.8,C+7
98.0,C+7
98.0,C+7
98.2,C+7
98.2,C+7
98.4,C+7
98.4,C+7
98.6,C+7
98.6,C+7
98.8,C+7
98.8,C+7
99.0,C+7
99.0,C+7
99.2,C+7
99.2,C+7
99.4,C+7
99.4,C+7
99.6,C+7
99.6,C+7
99.8,C+7
100.0,C+7
100.2,C+7
100.4,C+7
100.6,C+7
100.8,C+7
101.0,C+7
101.2,C+7
101.4,C+7
101.6,C+7
101.8,C+7
102.0,C+7
102.2,C+7
102.4,C+7
102.6,C+7
102.8,C+7
103.0,C+7
103.2,C+7
103.4,C+7
103.6,C+7
103.8,C+7
104.0,C+7
104.2,A-7
104.4,A-7
104.6,A-7
104.8,A-7
105.0,A-7
105.2,A-7
105.4,A-7
105.6,A-7
105.8,A-7
106.0,A-7
106.2,A-7
106.4,A-7
106.6,A-7
106.8,A-7
107.0,A-7
107.2,A-7
107.4,G-6/C
107.6,G-6/C
107.8,G-6/C
108.0,G-6/C
108.2,G-6/C
108.4,G-6/C
108.6,G-6/C
108.8,G-6/C
109.0,G-6/C
109.2,G-6/C
109.4,G-6/C
109.6,G-6/C
109.8,G-6/C
110.0,G-6/C
110.2,G-6/C
110.4,G-6/C
110.6,G-6/C
110.8,G-6/C
111.0,G-6/C
111.2,G-6/C
111.4,G-6/C
111.6,G-6/C
111.8,G-6/C
112.0,G-6/C
112.2,G-6/C
112.4,G-6/C
112.6,G-6/C
112.8,G-6/C
113.0,G-6/C
113.2,G-6/C
113.4,G-6/C
113.6,G-6/C
113.8,G-6/C
114.0,G-6/C
114.2,G-6/C
114.4,G-6/C
114.6,G-6/C
114.8,G-6/C
115.0,G-6/C
115.2,G-6/C
115.4,G-6/C
115.6,G-6/C
115.8,G-6/C
116.0,G-6/C
116.2,G-6/C
116.4,G-6/C
116.6,G-6/C
116.8,G-6/C
117.0,F+7911#
117.2,F+7911#
117.4,F+7911#
117.6,F+7911#
117.8,F+7911#
118.0,F+7911#
118.2,F+7911#
118.4,F+7911#
118.6,F+7911#
118.8,F+7911#
119.0,F+7911#
119.2,F+7911#
119.4,F+7911#
119.6,F+7911#
119.8,F+7911#
120.0,F+7911#
120.2,G-6/C
120.4,G-6/C
120.6,G-6/C
120.8,G-6/C
121.0,G-6/C
121.2,G-6/C
121.4,G-6/C
121.6,G-6/C
121.8,G-6/C
122.0,G-6/C
122.2,G-6/C
122.4,G-6/C
122.6,G-6/C
122.8,G-6/C
123.0,G-6/C
123.2,G-6/C
123.4,G-6/C
123.6,G-6/C
123.8,G-6/C
124.0,G-6/C
124.2,G-6/C
124.4,G-6/C
124.6,G-6/C
124.8,G-6/C
125.0,G-6/C
125.2,G-6/C
125.4,G-6/C
125.6,G-6/C
125.8,G-6/C
126.0,G-6/C
126.2,G-6/C
126.4,G-6/C
126.6,G-6/C
126.8,G-6/C
127.0,G-6/C
127.2,G-6/C
127.4,G-6/C
127.4,G-6/C
127.6,G-6/C
127.6,G-6/C
127.8,G-6/C
127.8,G-6/C
128.0,C#b7911#
128.0,C#b7911#
128.2,C#b7911#
128.2,C#b7911#
128.4,C#b7911#
128.4,C#b7911#
128.6,C#b7911#
128.6,C#b7911#
128.8,G-6/C
129.0,G-6/C
129.2,G-6/C
129.4,G-6/C
129.6,G-6/C
129.8,G-6/C
130.0,G-6/C
130.2,G-6/C
130.4,G-6/C
130.6,G-6/C
130.8,G-6/C
131.0,G-6/C
131.2,G-6/C
131.4,G-6/C
131.6,G-6/C
131.8,G-6/C
132.0,G-6/C
132.2,G-6/C
132.4,G-6/C
132.6,G-6/C
132.8,G-6/C
133.0,G-6/C
133.2,G-6/C
133.4,G-6/C
133.6,G-6/C
133.8,G-6/C
133.8,G-6/C
134.0,G-6/C
134.0,G-6/C
134.2,G-6/C
134.2,G-6/C
134.4,G-6/C
134.4,G-6/C
134.6,G-6/C
134.6,G-6/C
134.8,G-6/C
135.0,G-6/C
135.2,C+7
135.2,C+7
135.4,C+7
135.4,C+7
135.6,C+7
135.6,C+7
135.8,C+7
135.8,C+7
136.0,A-7
136.0,A-7
136.2,A-7
136.2,A-7
136.4,A-7
