time,chord
62.390,C:min
63.290,C:min
64.190,F:min7
65.990,D:hdim7
66.870,G:7
67.780,C:min
68.680,C:min
69.580,Eb:min7
70.480,Ab:7
71.390,Db:maj7
72.300,Db:maj7
73.180,D:hdim7
74.100,G:7
75.000,C:min
75.890,D:hdim7
76.330,G:7
76.800,C:min
77.710,C:min
78.610,F:min7
80.380,D:hdim7
81.250,G:7
82.160,C:min
83.050,C:min
83.940,Eb:min7
84.820,Ab:7
85.720,Db:maj7
86.610,Db:maj7
87.500,D:hdim7
88.410,G:7
89.310,C:min
90.200,G:7
91.100,C:min
92.000,C:min
92.880,F:min7
94.630,D:hdim7
95.520,G:7
96.390,C:min
97.270,C:min
98.130,Eb:min7
99.030,Ab:7
99.910,Db:maj7
100.780,Db:maj7
101.650,D:hdim7
102.540,G:7
103.410,C:min
104.290,D:hdim7
104.740,G:7
105.180,C:min
106.050,C:min
106.940,F:min7
108.690,D:hdim7
109.560,G:7
110.420,C:min
111.290,C:min
112.160,Eb:min7
113.030,Ab:7
113.900,Db:maj7
114.760,Db:maj7
115.640,D:hdim7
116.510,G:7
117.360,C:min
118.220,D:hdim7
118.670,G:7
119.100,C:min
119.970,C:min
120.840,F:min7
122.570,D:hdim7
123.420,G:7
124.270,C:min
125.120,C:min
125.970,Eb:min7
126.830,Ab:7
127.690,Db:maj7
128.550,Db:maj7
129.450,D:hdim7
130.320,G:7
131.180,C:min
132.040,D:hdim7
132.470,G:7
132.890,C:min
133.790,C:min
134.640,F:min7
136.360,D:hdim7
137.230,G:7
138.110,C:min
138.990,C:min
139.850,Eb:min7
140.700,Ab:7
141.570,Db:maj7
142.420,Db:maj7
143.270,D:hdim7
144.110,G:7
144.970,C:min
145.820,G:7
146.670,C:min
147.530,C:min
148.380,F:min7
150.090,D:hdim7
150.950,G:7
151.810,C:min
152.660,C:min
153.520,Eb:min7
154.390,Ab:7
155.250,Db:maj7
156.100,Db:maj7
156.960,D:hdim7
157.800,G:7
158.660,C:min
159.500,G:7
160.340,C:min
161.190,C:min
162.040,F:min7
163.740,D:hdim7
164.600,G:7
165.460,C:min
166.300,C:min
167.140,Eb:min7
168.000,Ab:7
168.850,Db:maj7
169.700,Db:maj7
170.560,D:hdim7
171.420,G:7
172.260,C:min
173.090,D:hdim7
173.500,G:7
173.920,C:min
174.780,C:min
175.620,F:min7
177.270,D:hdim7
178.090,G:7
178.920,C:min
