time,chord
7.8,B7
8.2,B7
8.6,D7
9.0,D7
9.4,Gj7
9.8,Gj7
10.2,A#7
10.4,A#7
11.8,A#7
12.0,A#7
13.4,D#j7
13.6,D#j7
15.0,D#j7
15.2,D#j7
15.6,D#j7
16.0,D#j7
16.8,A-7
17.0,A-7
17.8,A-7
18.2,D7
18.6,D7
19.0,Gj7
19.4,Gj7
20.2,A#7
20.4,A#7
20.8,A#7
21.2,D#j7
21.6,D#j7
22.4,F#7
22.6,F#7
24.0,F#7
24.2,F#7
25.6,B7
26.0,B7
26.4,B7
26.8,B7
27.2,F-7
27.6,F-7
28.0,A#7
28.4,A#7
28.8,D#j7
29.2,D#j7
29.6,D#j7
30.0,D#j7
30.2,D#j7
31.0,A-7
31.4,A-7
31.8,D7
32.2,D7
33.0,Gj7
33.2,Gj7
34.6,Gj7
34.8,Gj7
35.8,Gj7
36.2,Gj7
36.6,C#-7
37.0,C#-7
37.4,F#7
37.8,F#7
38.2,B7
38.6,B7
39.0,B7
39.4,B7
39.8,F-7
40.2,F-7
40.6,A#7
41.0,A#7
41.8,D#j7
42.0,D#j7
43.4,D#j7
43.6,D#j7
45.0,D#j7
45.4,D#j7
45.8,C#-7
46.2,C#-7
47.0,F#7
47.2,F#7
48.6,F#7
48.8,F#7
50.2,B7
50.4,B7
51.8,B7
52.0,B7
53.4,D7
53.6,D7
55.0,D7
55.2,D7
56.6,Gj7
56.8,Gj7
58.2,Gj7
58.4,Gj7
59.8,A#7
60.2,A#7
60.6,D#j7
60.8,D#j7
62.0,D#j7
62.4,D#j7
62.6,D#j7
64.0,D#j7
64.2,D#j7
65.6,A-7
65.8,A-7
67.2,A-7
67.4,A-7
68.2,D7
68.4,D7
69.8,D7
70.0,D7
71.4,Gj7
71.6,Gj7
73.0,Gj7
73.2,Gj7
74.6,A#7
74.8,A#7
76.2,A#7
76.4,A#7
77.8,D#j7
78.0,D#j7
79.4,D#j7
80.2,F#7
80.4,F#7
81.8,F#7
82.0,F#7
83.4,B7
83.6,B7
85.0,B7
85.2,B7
86.6,B7
86.8,B7
88.2,B7
88.4,B7
89.8,F-7
90.0,F-7
91.4,F-7
91.6,F-7
93.0,A#7
93.2,A#7
94.4,A#7
94.6,A#7
96.0,D#j7
96.2,D#j7
97.6,D#j7
97.8,D#j7
99.2,D#j7
99.6,D#j7
100.0,A-7
100.2,A-7
101.0,A-7
101.4,D7
101.8,D7
102.8,Gj7
103.0,Gj7
104.4,Gj7
104.6,Gj7
106.0,Gj7
106.2,Gj7
107.0,Gj7
107.4,C#-7
107.8,C#-7
108.8,F#7
109.0,F#7
110.4,F#7
110.6,F#7
112.0,B7
112.2,B7
113.6,B7
113.8,B7
115.2,B7
115.4,B7
116.8,B7
117.0,B7
118.4,F-7
118.6,F-7
119.4,F-7
120.2,A#7
120.6,A#7
121.0,D#j7
121.4,D#j7
121.8,D#j7
122.2,D#j7
122.6,C#-7
123.0,C#-7
123.4,F#7
123.8,F#7
124.2,B7
124.6,B7
125.4,D7
125.6,D7
126.6,D7
127.0,Gj7
127.4,Gj7
128.4,A#7
128.6,A#7
130.0,A#7
130.2,A#7
131.6,D#j7
131.8,D#j7
133.2,D#j7
133.4,D#j7
134.8,D#j7
135.0,D#j7
136.0,D#j7
136.4,A-7
136.8,A-7
137.6,D7
137.8,D7
139.2,D7
139.4,D7
140.2,Gj7
140.4,Gj7
141.8,Gj7
142.2,A#7
142.6,A#7
143.6,D#j7
143.8,D#j7
145.2,D#j7
145.4,D#j7
146.8,F#7
147.0,F#7
148.4,F#7
148.6,F#7
150.0,B7
150.2,B7
151.6,B7
151.8,B7
153.2,B7
153.4,B7
154.6,B7
155.4,F-7
155.6,F-7
157.0,F-7
157.2,F-7
158.6,A#7
158.8,A#7
159.4,A#7
160.2,D#j7
160.4,D#j7
161.8,D#j7
162.0,D#j7
163.4,D#j7
163.6,D#j7
164.6,D#j7
165.4,A-7
165.6,A-7
167.0,A-7
167.2,A-7
168.2,D7
168.4,D7
169.8,D7
170.0,D7
171.4,Gj7
171.6,Gj7
172.4,Gj7
172.8,Gj7
173.2,Gj7
174.0,C#-7
174.2,C#-7
175.6,C#-7
175.8,C#-7
177.2,F#7
177.4,F#7
178.8,F#7
179.0,F#7
180.4,B7
180.6,B7
182.0,B7
182.2,B7
183.6,B7
183.8,B7
185.2,B7
185.4,B7
186.8,F-7
187.0,F-7
188.4,F-7
188.6,F-7
190.0,A#7
190.2,A#7
191.2,A#7
191.6,D#j7
192.0,D#j7
192.4,D#j7
192.8,D#j7
193.2,C#-7
193.6,C#-7
194.0,F#7
194.4,F#7
