time,chord
10.135,F:maj7
11.390,E:hdim7
12.030,A:7
12.670,D:min7
13.300,G:7
13.930,C:min7
14.560,F:7
15.195,F:min7
15.840,Bb:7
16.485,A:hdim7
17.125,D:7
17.765,G:7
19.055,C:7
20.355,F:maj7
21.635,E:hdim7
22.280,A:7
22.910,D:min7
23.545,G:7
24.175,C:min7
24.800,F:7
25.435,F:min7
26.070,Bb:7
26.705,A:hdim7
27.350,D:7
27.985,G:min7
28.620,C:7
29.265,F:maj7
30.555,C:min7
31.825,F:7
33.110,Bb:maj7
34.405,Bb:maj7
35.660,Eb:min7
36.935,Ab:7
38.220,Db:maj7
39.505,G:min7
40.150,C:7
40.790,F:maj7
42.090,E:hdim7
42.750,A:7
43.405,D:min7
44.045,G:7
44.670,C:min7
45.310,F:7
45.965,F:min7
46.600,Bb:7
47.235,A:hdim7
47.880,D:7
48.525,G:min7
49.170,C:7
49.815,F:maj7
51.140,F:maj7
52.425,E:hdim7
53.080,A:7
53.725,D:min7
54.360,G:7
55.005,C:min7
55.645,F:7
56.280,F:min7
56.920,Bb:7
57.565,A:hdim7
58.205,D:7
58.845,G:7
60.135,C:7
61.450,F:maj7
62.740,E:hdim7
63.380,A:7
64.020,D:min7
64.660,G:7
65.300,C:min7
65.945,F:7
66.585,F:min7
67.225,Bb:7
67.865,A:hdim7
68.500,D:7
69.140,G:min7
69.780,C:7
70.415,F:maj7
71.655,C:min7
72.895,F:7
74.160,Bb:maj7
75.425,Bb:maj7
76.700,Eb:min7
77.980,Ab:7
79.255,Db:maj7
80.545,G:min7
81.205,C:7
81.860,F:maj7
83.170,E:hdim7
83.820,A:7
84.455,D:min7
85.090,G:7
85.735,C:min7
86.380,F:7
87.025,F:min7
87.665,Bb:7
88.300,A:hdim7
88.935,D:7
89.575,G:min7
90.220,C:7
90.855,F:maj7
92.115,F:maj7
93.390,E:hdim7
94.030,A:7
94.665,D:min7
95.300,G:7
95.940,C:min7
96.580,F:7
97.220,F:min7
97.860,Bb:7
98.500,A:hdim7
99.140,D:7
99.785,G:7
101.080,C:7
102.410,F:maj7
103.715,E:hdim7
104.360,A:7
105.010,D:min7
105.660,G:7
106.305,C:min7
106.950,F:7
107.585,F:min7
108.215,Bb:7
108.860,A:hdim7
109.510,D:7
110.155,G:min7
110.800,C:7
111.445,F:maj7
112.755,C:min7
114.060,F:7
115.350,Bb:maj7
116.645,Bb:maj7
117.935,Eb:min7
119.240,Ab:7
120.555,Db:maj7
121.865,G:min7
122.520,C:7
123.175,F:maj7
124.475,E:hdim7
125.140,A:7
125.800,D:min7
126.455,G:7
127.110,C:min7
127.765,F:7
128.415,F:min7
129.065,Bb:7
129.715,A:hdim7
130.365,D:7
131.025,G:min7
131.680,C:7
132.335,F:maj7
133.640,F:maj7
134.930,E:hdim7
135.575,A:7
136.235,D:min7
136.905,G:7
137.540,C:min7
138.185,F:7
138.835,F:min7
139.465,Bb:7
140.160,A:hdim7
140.810,D:7
141.440,G:7
142.730,C:7
144.000,F:maj7
145.290,E:hdim7
145.920,A:7
146.570,D:min7
147.210,G:7
147.840,C:min7
148.490,F:7
149.130,F:min7
149.780,Bb:7
150.420,A:hdim7
151.050,D:7
151.690,G:min7
152.330,C:7
152.980,F:maj7
154.250,C:min7
155.540,F:7
156.820,Bb:maj7
158.070,Bb:maj7
159.350,Eb:min7
160.630,Ab:7
161.920,Db:maj7
163.210,G:min7
163.860,C:7
164.510,F:maj7
165.800,E:hdim7
166.430,A:7
167.080,D:min7
167.720,G:7
168.360,C:min7
169.000,F:7
169.640,F:min7
170.280,Bb:7
170.920,A:hdim7
171.560,D:7
172.200,G:min7
172.870,C:7
173.520,F:maj7
174.800,F:maj7
176.090,E:hdim7
176.720,A:7
177.350,D:min7
177.980,G:7
178.630,C:min7
179.260,F:7
179.870,N
184.610,F:maj7
185.900,E:hdim7
186.530,A:7
187.170,D:min7
187.820,G:7
188.460,C:min7
189.080,F:7
189.680,N
194.350,C:min7
195.620,F:7
196.880,Bb:maj7
198.140,Bb:maj7
199.400,N
204.250,F:maj7
205.500,E:hdim7
206.140,A:7
206.770,D:min7
207.400,G:7
208.040,C:min7
208.680,F:7
209.280,N
214.200,F:maj7
215.480,E:hdim7
216.120,A:7
216.740,D:min7
217.360,G:7
217.990,C:min7
218.620,F:7
219.260,F:min7
219.910,Bb:7
220.540,A:hdim7
221.180,D:7
221.830,G:7
223.110,C:7
224.410,F:maj7
225.730,E:hdim7
226.360,A:7
226.980,D:min7
227.610,G:7
228.260,C:min7
228.900,F:7
229.550,F:min7
230.200,Bb:7
230.870,A:hdim7
231.510,D:7
232.150,G:min7
232.800,C:7
233.460,F:maj7
234.760,C:min7
236.090,F:7
237.380,Bb:maj7
238.660,Bb:maj7
239.930,Eb:min7
241.190,Ab:7
242.460,Db:maj7
243.770,G:min7
244.430,C:7
245.060,F:maj7
246.380,E:hdim7
247.020,A:7
247.660,D:min7
248.300,G:7
248.930,C:min7
249.570,F:7
250.220,F:min7
250.850,Bb:7
251.500,A:hdim7
252.130,D:7
252.770,G:min7
253.430,C:7
254.110,F:maj7
