time,chord
30.0,C69
30.2,C69
30.4,C69
30.6,C69
30.8,E-7
31.0,E-7
31.2,A7
31.4,A7
31.6,D-7
31.8,D-7
32.0,G7
32.2,G7
32.8,C69
33.0,C69
33.4,C69
33.6,C69
33.8,C69
34.0,C69
34.2,C69
34.4,C69
34.6,C69
35.2,E-7
35.4,E-7
35.8,E-7
36.0,A7
36.2,A7
36.4,D-7
36.6,D-7
36.8,G7
37.0,G7
37.2,C69
37.4,C69
37.6,C69
37.8,C69
38.0,Em7b5
38.2,Em7b5
38.4,Em7b5
38.8,Em7b5
39.0,A79#
39.2,A79#
39.4,A79#
39.6,A79#
39.8,D-7
40.0,D-7
40.2,D-7
40.4,D-7
40.6,G7
40.8,G7
41.2,G7
41.4,G7
41.6,G7
41.8,C69
42.0,C69
42.2,C7
42.4,C7
43.0,C7
43.2,C7
43.8,Fj7
44.0,Fj7
44.6,Fj7
44.8,F##o
45.0,F##o
45.2,C/G
45.4,C/G
45.6,G7
45.8,G7
46.0,C79
46.2,C79
46.4,C79
46.6,C79
46.8,C69
47.0,C69
47.2,C69
47.4,C69
47.6,E-7
47.8,E-7
48.0,A7
48.2,A7
48.4,A7
49.0,D-7
49.2,D-7
49.4,D-7
49.6,G7
50.2,G7
50.4,G7
51.0,C69
51.4,C69
51.6,C69
51.8,C69
52.0,C69
52.2,C69
52.4,C69
52.6,C69
52.8,E-7
53.0,E-7
53.2,A7
53.4,A7
53.6,D-7
53.8,D-7
54.0,G7
54.2,G7
54.4,C69
54.6,C69
55.2,C69
55.6,C69
55.8,C69
56.0,Em7b5
56.2,Em7b5
56.4,Em7b5
56.6,Em7b5
56.8,A79#
57.0,A79#
57.2,A79#
57.4,A79#
58.0,D-7
58.2,D-7
58.4,D-7
58.6,D-7
58.8,D-7
59.0,G7
59.2,G7
59.4,G7
59.6,G7
60.2,C69
60.4,C69
60.6,C7
60.8,C7
61.4,Fj7
61.6,Fj7
62.2,Fj7
62.4,Fj7
62.6,F##o
62.8,F##o
63.4,C/G
63.6,C/G
64.2,C/G
64.4,G7
64.6,G7
64.8,C79
65.0,C79
65.2,C79
65.4,C79
65.6,C69
65.8,C69
66.0,C69
66.2,C69
66.4,E-7
66.6,E-7
66.8,A7
67.0,A7
67.2,D-7
67.4,D-7
67.6,G7
67.8,G7
68.4,C69
68.6,C69
69.2,C69
69.4,C69
69.6,C69
69.8,C69
70.0,C69
70.2,C69
70.4,C69
70.6,C69
71.2,E-7
71.4,E-7
71.6,A7
71.8,A7
72.0,D-7
72.2,D-7
72.4,G7
72.6,G7
72.8,C69
73.2,C69
73.4,C69
73.6,C69
73.8,C69
74.4,Em7b5
74.6,Em7b5
75.2,Em7b5
75.4,Em7b5
76.0,Em7b5
76.2,Em7b5
76.8,Em7b5
77.0,Em7b5
77.6,A79#
77.8,A79#
78.4,A79#
78.6,A79#
79.2,A79#
79.4,A79#
79.6,A79#
80.2,D-7
80.4,D-7
81.0,D-7
81.2,D-7
81.6,D-7
81.8,D-7
82.0,G7
82.2,G7
82.4,G7
82.6,G7
83.2,C69
83.4,C69
83.6,C7
83.8,C7
84.0,Fj7
84.2,Fj7
84.4,F##o
84.6,F##o
84.8,C/G
85.0,C/G
85.6,G7
85.8,G7
86.4,G7
86.6,G7
87.0,C79
87.2,C79
87.4,C79
87.6,C79
