time,chord
10.700,A#:maj7
13.230,A#:maj7
15.740,G:7
18.330,G:7
20.900,C:7
23.520,F:7
26.090,A#:maj
28.680,F:7
31.260,A#:maj7
33.870,A#:maj7
36.470,G:7
39.020,G:7
41.570,C:7
44.150,F:7
46.740,A#:maj
49.300,A#:7
51.970,D#:maj
54.520,D#:min
57.130,A#:maj7
59.670,A#:7
62.230,D#:maj6
64.800,E:hdim7
66.060,A:7(b9)
67.350,D:min7
68.700,C#:dim7
69.970,C:min7
71.240,F:7
72.450,A#:maj7
75.070,A#:maj7
77.620,G:7
80.260,G:7
82.880,C:7
85.500,F:7
88.080,A#:maj
90.700,A#:maj
93.320,A#:maj7
95.890,A#:maj7
98.480,G:7
100.980,G:7
103.580,D#:7
106.100,G#:7
108.710,C#:maj
111.280,G#:7
113.880,C#:maj7
116.550,C#:maj7
118.920,A#:7
121.500,A#:7
124.040,D#:7
126.540,F:7
129.140,A#:maj
131.690,A#:7
134.300,D#:maj
136.880,D#:min
139.390,A#:maj7
141.920,A#:7
144.450,D#:maj6
146.940,E:hdim7
148.250,A:7(b9)
149.520,D:min7
150.770,C#:dim7
152.050,C:min7
153.360,F:7
154.640,A#:maj7
157.250,A#:maj7
159.840,G:7
162.450,G:7
165.030,C:7
167.660,F:7
170.210,A#:maj
172.870,A#:maj
175.533,C:7
178.101,F:7
180.762,Bb:maj7
