time,chord
84.0,A#:maj6
84.2,A#:maj6
84.2,G:min7
84.4,G:min7
84.4,C:min7
84.6,C:min7
84.8,C:min7
85.0,F:7
85.2,F:7
85.4,F:7
85.6,F:7
85.8,A#:maj6
86.0,A#:maj6
86.2,A#:maj6
86.4,A#:maj6
86.6,G:min7
86.8,G:min7
87.0,G:min7
87.2,G:min7
87.4,C:min7
87.6,C:min7
87.8,C:min7
88.0,C:min7
88.2,F:7
88.4,F:7
88.6,F:7
88.8,F:7
89.0,A#:maj6
89.2,A#:maj6
89.4,A#:maj6
89.6,A#:maj6
89.8,A#:7
90.0,A#:7
90.2,A#:7
90.4,A#:7
90.6,D#:maj6
90.8,D#:maj6
91.0,D#:maj6
91.2,D#:maj6
91.4,E:dim7
91.6,E:dim7
91.8,E:dim7
92.0,E:dim7
92.2,A#:maj6
92.4,A#:maj6
92.6,A#:maj6
92.8,A#:maj6
93.0,F:7
93.2,F:7
93.4,F:7
93.6,F:7
93.8,A#:maj6
94.0,A#:maj6
94.2,A#:maj6
94.4,A#:maj6
94.6,A#:maj6
94.6,A#:maj6
94.8,A#:maj6
94.8,G:min7
95.0,G:min7
95.0,C:min7
95.2,C:min7
95.2,F:7
95.4,F:7
95.4,A#:maj6
95.6,A#:maj6
95.6,G:min7
95.8,G:min7
96.0,G:min7
96.2,C:min7
96.4,C:min7
96.6,C:min7
96.8,C:min7
97.0,F:7
97.2,F:7
97.4,F:7
97.6,F:7
97.8,A#:maj6
98.0,A#:maj6
98.2,A#:maj6
98.4,A#:maj6
98.6,A#:7
98.6,A#:7
98.8,D#:maj6
98.8,D#:maj6
99.0,E:dim7
99.0,E:dim7
99.2,A#:maj6
99.2,A#:maj6
99.4,F:7
99.4,F:7
99.6,A#:maj6
99.6,A#:maj6
99.8,A#:maj6
99.8,A#:maj6
100.0,D:7
100.2,D:7
100.4,D:7
100.6,D:7
100.8,D:7
101.0,D:7
101.2,D:7
101.4,D:7
101.6,D:7
101.8,D:7
102.0,D:7
102.2,D:7
102.4,D:7
102.6,D:7
102.8,D:7
103.0,G:7
103.2,G:7
103.4,G:7
103.6,G:7
103.8,G:7
104.0,G:7
104.0,G:7
104.2,G:7
104.2,G:7
104.4,G:7
104.6,G:7
104.8,C:7
105.0,C:7
105.2,C:7
105.4,C:7
105.6,C:7
105.8,C:7
106.0,C:7
106.2,C:7
106.4,C:7
106.6,C:7
106.8,C:7
107.0,C:7
107.2,C:7
107.4,C:7
107.6,C:7
107.8,C:7
108.0,F:7
108.2,F:7
108.4,F:7
108.6,F:7
108.8,F:7
109.0,F:7
109.2,F:7
109.4,F:7
109.6,F:7
109.8,F:7
110.0,F:7
110.2,F:7
110.4,F:7
110.6,F:7
110.8,F:7
111.0,F:7
111.2,A#:maj6
111.4,A#:maj6
111.6,A#:maj6
111.8,A#:maj6
112.0,G:min7
112.0,G:min7
112.2,C:min7
112.2,C:min7
112.4,F:7
112.4,F:7
112.6,A#:maj6
112.6,A#:maj6
112.8,G:min7
112.8,G:min7
113.0,C:min7
113.0,C:min7
113.2,F:7
113.2,F:7
113.4,A#:maj6
113.4,A#:maj6
113.6,A#:7
113.6,A#:7
113.8,D#:maj6
113.8,D#:maj6
114.0,E:dim7
114.0,E:dim7
114.2,A#:maj6
114.2,A#:maj6
114.4,F:7
114.4,F:7
114.6,A#:maj6
114.6,A#:maj6
114.8,A#:maj6
114.8,A#:maj6
115.0,A#:maj6
115.0,A#:maj6
115.2,G:min7
115.2,G:min7
115.4,C:min7
115.4,C:min7
115.6,F:7
115.6,F:7
115.8,A#:maj6
115.8,A#:maj6
116.0,G:min7
116.0,G:min7
116.2,C:min7
116.2,C:min7
116.4,F:7
116.6,F:7
116.8,F:7
117.0,F:7
117.2,A#:maj6
117.4,A#:maj6
117.6,A#:maj6
117.8,A#:maj6
118.0,A#:7
118.2,A#:7
118.4,A#:7
118.6,A#:7
118.8,D#:maj6
119.0,D#:maj6
119.2,D#:maj6
119.2,E:dim7
119.4,E:dim7
119.4,A#:maj6
119.6,A#:maj6
119.6,F:7
119.8,F:7
120.0,F:7
120.2,A#:maj6
120.4,A#:maj6
120.6,A#:maj6
120.8,A#:maj6
121.0,A#:maj6
121.2,A#:maj6
121.4,A#:maj6
121.6,A#:maj6
121.8,A#:maj6
122.0,A#:maj6
122.2,A#:maj6
122.4,G:min7
122.6,G:min7
122.8,G:min7
123.0,G:min7
123.2,C:min7
123.4,C:min7
123.6,C:min7
123.8,C:min7
124.0,F:7
124.2,F:7
124.4,F:7
124.6,F:7
124.8,A#:maj6
125.0,A#:maj6
125.2,A#:maj6
125.4,A#:maj6
125.6,G:min7
125.8,G:min7
126.0,G:min7
126.2,G:min7
126.4,C:min7
126.6,C:min7
126.8,C:min7
127.0,C:min7
127.2,F:7
127.4,F:7
127.6,F:7
127.8,F:7
128.0,A#:maj6
128.2,A#:maj6
128.4,A#:maj6
128.6,A#:maj6
