time,chord
24.937,N
57.085,D:min7
58.075,D:min7
59.070,D:min7
60.065,D:min7
61.065,D:min7
62.040,D:min7
63.040,D:min7
64.025,D:min7
64.995,D:min7
65.960,D:min7
66.930,D:min7
67.910,D:min7
68.890,D:min7
69.890,D:min7
70.875,D:min7
71.860,D:min7
72.830,Eb:min7
73.815,Eb:min7
74.800,Eb:min7
75.770,Eb:min7
76.730,Eb:min7
77.710,Eb:min7
78.690,Eb:min7
79.650,Eb:min7
80.590,D:min7
81.515,D:min7
82.490,D:min7
83.480,D:min7
84.430,D:min7
85.400,D:min7
86.370,D:min7
87.325,D:min7
88.295,D:min7
89.280,D:min7
90.245,D:min7
91.205,D:min7
92.125,D:min7
93.090,D:min7
94.030,D:min7
95.005,D:min7
95.955,D:min7
96.910,D:min7
97.875,D:min7
98.820,D:min7
99.770,D:min7
100.740,D:min7
101.690,D:min7
102.660,D:min7
103.610,Eb:min7
104.610,Eb:min7
105.570,Eb:min7
106.530,Eb:min7
107.475,Eb:min7
108.435,Eb:min7
109.400,Eb:min7
110.330,Eb:min7
111.250,D:min7
112.195,D:min7
113.135,D:min7
114.075,D:min7
115.000,D:min7
115.945,D:min7
116.875,D:min7
117.805,D:min7
118.730,D:min7
119.705,D:min7
120.675,D:min7
121.635,D:min7
122.595,D:min7
123.555,D:min7
124.530,D:min7
125.490,D:min7
126.455,D:min7
127.420,D:min7
128.400,D:min7
129.370,D:min7
130.345,D:min7
131.305,D:min7
132.280,D:min7
133.240,D:min7
134.170,Eb:min7
135.120,Eb:min7
136.070,Eb:min7
137.045,Eb:min7
138.010,Eb:min7
138.980,Eb:min7
139.945,Eb:min7
140.900,Eb:min7
141.860,D:min7
142.825,D:min7
143.800,D:min7
144.760,D:min7
145.725,D:min7
146.675,D:min7
147.635,D:min7
148.605,D:min7
149.550,D:min7
150.525,D:min7
151.480,D:min7
152.445,D:min7
153.400,D:min7
154.350,D:min7
155.320,D:min7
156.265,D:min7
157.175,D:min7
158.130,D:min7
159.095,D:min7
160.035,D:min7
160.980,D:min7
161.920,D:min7
162.870,D:min7
163.820,D:min7
164.760,Eb:min7
165.725,Eb:min7
166.685,Eb:min7
167.630,Eb:min7
168.565,Eb:min7
169.525,Eb:min7
170.490,Eb:min7
171.430,Eb:min7
172.355,D:min7
173.310,D:min7
174.280,D:min7
175.240,D:min7
176.215,D:min7
177.175,D:min7
178.140,D:min7
179.115,D:min7
180.075,D:min7
181.055,D:min7
182.015,D:min7
182.975,D:min7
183.945,D:min7
184.905,D:min7
185.870,D:min7
186.835,D:min7
187.790,D:min7
188.770,D:min7
189.745,D:min7
190.705,D:min7
191.660,D:min7
192.625,D:min7
193.575,D:min7
194.520,D:min7
195.455,Eb:min7
196.415,Eb:min7
197.370,Eb:min7
198.330,Eb:min7
199.290,Eb:min7
200.245,Eb:min7
201.200,Eb:min7
202.160,Eb:min7
203.120,D:min7
204.090,D:min7
205.045,D:min7
205.990,D:min7
206.945,D:min7
207.915,D:min7
208.870,D:min7
209.825,D:min7
210.755,D:min7
211.737,D:min7
212.677,D:min7
213.699,D:min7
214.639,D:min7
215.672,D:min7
216.624,D:min7
217.623,D:min7
218.575,D:min7
219.573,D:min7
220.502,D:min7
221.535,D:min7
222.453,D:min7
223.439,D:min7
224.380,D:min7
225.378,D:min7
226.307,Eb:min7
227.294,Eb:min7
228.292,Eb:min7
229.291,Eb:min7
230.301,Eb:min7
231.381,Eb:min7
232.402,Eb:min7
233.366,Eb:min7
234.306,D:min7
235.351,D:min7
236.292,D:min7
237.267,D:min7
238.207,D:min7
239.136,D:min7
240.088,D:min7
241.005,D:min7
241.957,D:min7
