time,chord
3.800,G-7
4.200,G-7
4.600,C7
5.000,C7
5.400,G-7
5.800,G-7
6.200,C7
6.600,C7
7.000,G-7
7.400,G-7
7.800,C7
8.200,C7
8.600,G-7
9.000,G-7
9.400,C7
9.800,C7
10.600,F6
10.800,F6
12.200,F6
12.400,F6
13.800,D-7
14.000,D-7
15.400,D-7
16.200,G-7
16.600,G-7
17.000,C7
17.200,C7
18.400,C7
18.600,C7
20.000,F6
20.200,F6
21.000,F6
21.400,F6
21.800,F6
22.600,A-7
23.000,A-7
23.800,D7
24.000,D7
25.400,D7
25.600,D7
27.000,G-7
27.200,G-7
28.400,G-7
29.200,C7
29.400,C7
29.800,C7
30.200,G-7
30.600,G-7
31.000,C7
31.400,C7
31.800,G-7
32.200,G-7
32.600,C7
33.000,C7
33.400,G-7
33.800,G-7
34.200,C7
34.600,C7
35.400,F6
35.600,F6
36.400,F6
36.800,D-7
37.200,D-7
37.600,G-7
38.400,G-7
38.600,G-7
40.000,C7
40.200,C7
41.600,C7
41.800,C7
43.000,F6
43.200,F6
44.000,F6
44.400,F6
44.800,F6
45.200,F6
45.600,F6
46.000,F6
46.400,F6
46.800,F7
47.200,F7
47.600,F7
49.000,F7
49.200,F7
50.600,C-7
50.800,C-7
51.600,C-7
52.400,F7
52.600,F7
54.000,F7
54.200,F7
55.600,A#6
55.800,A#6
57.000,A#6
57.400,A#6
57.800,A#6
58.200,A#6
58.600,A#6
59.000,A#6
59.400,A#6
59.800,G7
60.200,G7
60.600,G7
61.000,G7
61.400,G7
61.800,G7
62.200,G7
62.400,G7
63.800,G7
64.000,G7
65.400,C7
65.800,C7
66.200,C7
66.600,C7
67.000,C7
68.000,C7
68.200,C7
69.600,C7
69.800,C7
71.200,C7
71.400,C7
72.400,G-7
72.800,G-7
73.200,C7
73.600,C7
74.000,G-7
74.400,G-7
74.800,C7
75.200,C7
75.600,G-7
76.000,G-7
76.400,C7
76.800,C7
77.200,G-7
77.600,G-7
78.000,C7
78.400,C7
79.200,F6
79.400,F6
80.800,F6
81.000,F6
81.400,D-7
81.800,D-7
82.200,G-7
83.600,G-7
83.800,G-7
85.200,C7
85.400,C7
86.000,C7
86.800,F6
87.000,F6
88.400,F6
88.800,F6
89.200,F6
90.600,A-7
90.800,A-7
92.200,A-7
92.400,A-7
93.800,D7
94.000,D7
95.400,D7
95.600,D7
96.600,G-7
96.800,G-7
98.000,G-7
98.400,C7
98.800,C7
99.200,G-7
99.600,G-7
100.000,C7
100.400,C7
100.800,G-7
101.200,G-7
101.600,C7
102.000,C7
102.400,G-7
102.800,G-7
103.200,C7
103.600,C7
104.000,F6
104.200,F6
105.600,F6
105.800,F6
107.200,D-7
107.400,D-7
108.800,D-7
109.600,G-7
109.800,G-7
110.600,G-7
111.600,C7
111.800,C7
113.200,C7
113.400,C7
114.800,F6
115.000,F6
116.400,F6
116.600,F6
118.000,F6
118.200,F6
119.400,F6
120.200,A-7
120.400,A-7
121.800,A-7
122.000,A-7
123.200,D7
123.600,D7
124.000,G-7
124.400,G-7
125.200,C7
126.000,C7
126.200,C7
127.600,G-7
128.000,G-7
128.400,C7
128.600,C7
129.200,C7
129.600,G-7
130.000,G-7
130.400,C7
130.800,C7
131.200,G-7
131.600,G-7
132.400,C7
132.800,C7
133.600,F6
133.800,F6
135.200,F6
135.400,F6
136.800,D-7
137.000,D-7
138.400,D-7
138.600,D-7
140.000,G-7
140.200,G-7
141.600,G-7
141.800,G-7
143.200,C7
143.400,C7
144.800,C7
145.000,C7
146.400,F6
146.600,F6
147.600,F6
148.000,F6
148.400,F6
148.600,F6
149.400,F6
149.800,F6
150.200,F6
150.600,F6
152.000,F7
152.200,F7
153.600,F7
153.800,F7
155.200,F7
155.400,F7
156.800,F7
157.000,F7
158.400,C-7
158.600,C-7
159.400,C-7
160.200,F7
160.400,F7
161.000,F7
161.400,A#6
161.800,A#6
162.200,A#6
162.600,A#6
163.000,A#6
163.200,A#6
164.600,A#6
164.800,A#6
166.200,A#6
166.400,A#6
167.000,A#6
167.400,G7
167.800,G7
168.200,G7
168.600,G7
169.000,G7
169.400,G7
169.800,G7
170.200,G7
170.600,C7
171.000,C7
171.400,C7
171.800,C7
172.200,C7
172.600,C7
173.000,C7
173.400,C7
174.200,G-7
174.400,G-7
175.800,G-7
176.000,G-7
177.000,C7
177.400,C7
177.800,G-7
178.200,G-7
178.600,C7
179.000,C7
179.400,G-7
179.800,G-7
181.200,C7
181.400,C7
182.800,C7
183.000,C7
184.400,G-7
184.600,G-7
186.000,G-7
186.200,G-7
187.600,C7
187.800,C7
188.800,C7
189.200,F6
189.600,F6
190.000,D-7
190.400,D-7
190.800,G-7
191.200,G-7
191.600,C7
192.000,C7
192.400,F6
193.400,F6
193.600,F6
195.000,F6
195.200,F6
196.600,F6
196.800,F6
198.200,A-7
198.400,A-7
199.400,A-7
200.200,D7
200.400,D7
201.800,D7
202.000,D7
203.400,G-7
204.000,G-7
204.400,C7
204.800,C7
205.200,G-7
205.600,G-7
206.000,C7
206.400,C7
206.800,G-7
207.200,G-7
207.600,C7
208.000,C7
209.000,G-7
209.200,G-7
210.600,G-7
210.800,G-7
211.800,C7
212.000,C7
213.000,C7
213.400,F6
213.800,F6
214.200,D-7
214.600,D-7
215.000,G-7
215.400,G-7
215.800,C7
216.200,C7
216.600,F6
217.000,F6
217.400,F6
217.800,F6
218.600,A-7
218.800,A-7
219.600,A-7
220.600,D7
220.800,D7
222.200,D7
222.400,D7
223.800,G-7
224.000,G-7
225.400,G-7
225.600,G-7
227.000,C7
227.200,C7
228.600,C7
228.800,C7
230.200,G-7
230.400,G-7
231.800,G-7
232.000,G-7
233.400,C7
233.600,C7
235.000,C7
235.200,C7
236.600,G-7
236.800,G-7
238.200,G-7
238.400,G-7
239.800,C7
240.000,C7
241.200,C7
241.600,G-7
242.000,G-7
243.400,C7
243.600,C7
245.000,C7
245.200,C7
246.600,F6
246.800,F6
248.200,F6
248.400,F6
249.400,D-7
249.800,D-7
250.200,G-7
250.600,G-7
250.800,G-7
252.200,C7
252.400,C7
253.800,C7
254.000,C7
255.400,F6
255.600,F6
257.000,F6
257.200,F6
258.600,F6
258.800,F6
260.000,F6
260.400,F6
260.800,F6
261.200,F6
261.600,F6
262.000,F7
262.400,F7
262.800,F7
263.200,F7
263.600,C-7
264.000,C-7
264.400,F7
264.800,F7
265.200,A#6
265.600,A#6
266.600,A#6
266.800,A#6
268.200,A#6
268.400,A#6
269.000,A#6
269.400,A#6
269.800,A#6
270.200,A#6
270.600,G7
271.000,G7
271.400,G7
271.800,G7
272.200,G7
272.600,G7
273.000,G7
273.400,G7
274.400,C7
274.600,C7
276.000,C7
276.200,C7
277.600,C7
277.800,C7
278.600,C7
279.000,C7
279.400,C7
279.800,C7
281.200,C7
281.400,C7
282.800,G-7
283.000,G-7
284.000,G-7
284.400,C7
284.800,C7
285.200,G-7
285.600,G-7
286.000,C7
286.400,C7
286.800,G-7
287.200,G-7
287.600,C7
288.000,C7
288.800,G-7
289.000,G-7
290.400,G-7
290.600,G-7
292.000,C7
292.600,C7
293.000,F6
293.400,F6
293.800,D-7
294.200,D-7
295.000,G-7
295.200,G-7
295.600,G-7
296.000,C7
296.400,C7
297.600,F6
298.000,F6
298.400,F6
298.800,F6
299.200,A-7
299.600,A-7
300.000,D7
300.400,D7
