time,chord
12.430,Eb:maj7
13.960,F:min
14.750,Bb:7
15.540,Eb:maj7
17.150,Eb:min
17.940,Ab:7
18.710,Db:maj7
20.290,G:min7
21.080,C:7
21.860,F:maj7
23.460,F:hdim7
24.230,Bb:7
25.010,Eb:maj7
26.580,F:min
27.370,Bb:7
28.170,Eb:maj7
29.760,Eb:min
30.540,Ab:7
31.320,Db:maj7
32.890,G:min7
33.700,C:7
34.470,F:maj7
36.000,F:hdim7
36.720,Bb:7
37.100,A:7(b9)
37.480,Ab:maj7
39.060,Ab:maj7
40.660,Ab:min
42.240,Db:7
43.800,Gb:maj7
45.360,Gb:maj7
46.900,F:hdim7
48.420,Bb:7
50.000,Eb:maj7
51.630,F:min
52.430,Bb:7
53.240,Eb:maj7
54.840,Eb:min7
55.640,Ab:7
56.420,Db:maj7
58.040,G:min7
58.840,C:7
59.620,F:maj7
61.210,F:hdim7
61.990,Bb:7
62.780,Eb:7
63.570,D:7
64.350,Db:7
65.120,C:7
65.900,F:min7
67.460,Eb:maj7
69.010,Eb:maj7
70.560,F:min
71.360,Bb:7
72.120,Eb:maj7
73.650,Eb:min
74.410,Ab:7
75.160,Db:maj7
76.690,G:min7
77.460,C:7
78.220,F:maj7
79.720,F:hdim7
80.490,Bb:7
81.240,Eb:maj7
82.810,F:min
83.600,Bb:7
84.360,Eb:maj7
85.920,Eb:min
86.700,Ab:7
87.480,Db:maj7
89.040,G:min7
89.820,C:7
90.600,F:maj7
92.170,F:hdim7
92.960,Bb:7
93.340,A:7(b9)
93.740,Ab:maj7
95.350,Ab:maj7
96.950,Ab:min
98.510,Db:7
100.090,Gb:maj7
101.680,Gb:maj7
103.240,F:hdim7
104.780,Bb:7
106.340,Eb:maj7
107.960,F:min
108.760,Bb:7
109.540,Eb:maj7
111.090,Eb:min7
111.890,Ab:7
112.660,Db:maj7
114.230,G:min7
115.010,C:7
115.790,F:maj7
117.350,F:hdim7
118.140,Bb:7
118.910,Eb:7
119.720,D:7
120.520,Db:7
121.320,C:7
122.100,F:min7
123.700,Eb:maj7
125.300,Eb:maj7
126.920,F:min
127.760,Bb:7
128.620,Eb:maj7
130.170,Eb:min
130.920,Ab:7
131.680,Db:maj7
133.250,G:min7
134.050,C:7
134.830,F:maj7
136.430,F:hdim7
137.230,Bb:7
138.010,Eb:maj7
139.630,F:min
140.420,Bb:7
141.220,Eb:maj7
142.790,Eb:min
143.590,Ab:7
144.370,Db:maj7
145.920,G:min7
146.700,C:7
147.480,F:maj7
149.080,F:hdim7
149.870,Bb:7
150.240,A:7(b9)
150.630,Ab:maj7
152.190,Ab:maj7
153.690,Ab:min
155.230,Db:7
156.710,Gb:maj7
158.300,Gb:maj7
159.860,F:hdim7
161.420,Bb:7
162.960,Eb:maj7
164.570,F:min
165.340,Bb:7
166.140,Eb:maj7
167.720,Eb:min7
168.510,Ab:7
169.280,Db:maj7
170.820,G:min7
171.610,C:7
172.390,F:maj7
173.970,F:hdim7
174.740,Bb:7
175.540,Eb:7
176.330,D:7
177.120,Db:7
177.950,C:7
178.820,F:min7
180.380,Eb:maj7
181.960,Eb:maj7
183.520,F:min
184.290,Bb:7
185.110,Eb:maj7
186.710,Eb:min
187.500,Ab:7
188.300,Db:maj7
189.900,G:min7
190.700,C:7
191.490,F:maj7
193.060,F:hdim7
193.850,Bb:7
194.650,Eb:maj7
196.240,F:min
197.020,Bb:7
197.830,Eb:maj7
199.390,Eb:min
200.190,Ab:7
200.990,Db:maj7
202.570,G:min7
203.370,C:7
204.160,F:maj7
205.730,F:hdim7
206.520,Bb:7
206.910,A:7(b9)
207.310,Ab:maj7
208.910,Ab:maj7
210.460,Ab:min
212.020,Db:7
213.590,Gb:maj7
215.170,Gb:maj7
216.730,F:hdim7
218.290,Bb:7
219.880,Eb:maj7
221.460,F:min
222.250,Bb:7
223.050,Eb:maj7
224.620,Eb:min7
225.400,Ab:7
226.200,Db:maj7
227.790,G:min7
228.560,C:7
229.330,F:maj7
230.910,F:hdim7
231.690,Bb:7
232.490,Eb:7
233.290,D:7
234.090,Db:7
234.870,C:7
235.650,F:min7
237.220,Eb:maj7
238.730,Eb:maj7
240.300,F:min
241.120,Bb:7
241.920,Eb:maj7
243.460,Eb:min
244.240,Ab:7
245.030,Db:maj7
246.610,G:min7
247.410,C:7
248.220,F:maj7
249.800,F:hdim7
250.580,Bb:7
251.350,Eb:maj7
252.960,F:min
253.740,Bb:7
254.540,Eb:maj7
256.100,Eb:min
256.870,Ab:7
257.670,Db:maj7
259.250,G:min7
260.030,C:7
260.800,F:maj7
262.350,F:hdim7
263.130,Bb:7
263.520,A:7(b9)
263.920,Ab:maj7
265.480,Ab:maj7
267.020,Ab:min
268.550,Db:7
270.120,Gb:maj7
271.700,Gb:maj7
273.260,F:hdim7
274.800,Bb:7
276.340,Eb:maj7
277.950,F:min
278.750,Bb:7
279.520,Eb:maj7
281.100,Eb:min7
281.890,Ab:7
282.680,Db:maj7
284.270,G:min7
285.060,C:7
285.850,F:maj7
287.400,F:hdim7
288.170,Bb:7
288.940,Eb:7
289.720,D:7
290.500,Db:7
291.280,C:7
292.050,F:min7
293.590,Eb:maj7
295.140,Eb:maj7
296.710,F:min
297.490,Bb:7
298.280,Eb:maj7
299.860,Eb:min
300.660,Ab:7
301.440,Db:maj7
303.000,G:min7
303.760,C:7
304.530,F:maj7
306.090,F:hdim7
306.860,Bb:7
307.620,Eb:maj7
309.200,F:min
310.000,Bb:7
310.800,Eb:maj7
312.310,Eb:min
313.080,Ab:7
313.860,Db:maj7
315.390,G:min7
316.150,C:7
316.920,F:maj7
318.470,F:hdim7
319.240,Bb:7
319.610,A:7(b9)
320.010,Ab:maj7
321.570,Ab:maj7
323.130,Ab:min
324.700,Db:7
326.240,Gb:maj7
327.810,Gb:maj7
329.360,F:hdim7
330.890,Bb:7
332.440,Eb:maj7
334.000,F:min
334.780,Bb:7
335.550,Eb:maj7
337.110,Eb:min7
337.890,Ab:7
338.630,Db:maj7
340.200,G:min7
340.990,C:7
341.760,F:maj7
343.290,F:hdim7
344.050,Bb:7
344.820,Eb:7
345.640,D:7
346.400,Db:7
347.180,C:7
347.970,F:min7
349.540,Eb:maj7
351.040,Eb:maj7
352.590,F:min
353.390,Bb:7
354.160,Eb:maj7
355.690,Eb:min
356.470,Ab:7
357.220,N
362.800,Eb:maj7
364.360,F:min
365.100,Bb:7
365.840,Eb:maj7
367.330,Eb:min
368.060,Ab:7
368.840,N
374.720,Ab:maj7
376.260,Ab:maj7
377.780,Ab:min
379.320,Db:7
380.850,N
386.790,Eb:maj7
388.320,F:min
389.080,Bb:7
389.830,Eb:maj7
391.330,Eb:min7
392.070,Ab:7
392.810,N
398.840,Eb:7
399.620,D:7
400.380,Db:7
401.150,C:7
401.910,F:min7
403.480,Eb:maj7
405.070,N
411.000,Db:maj7
412.560,G:min7
413.350,C:7
414.140,F:maj7
415.710,F:hdim7
416.490,Bb:7
417.270,N
423.530,Db:maj7
425.110,G:min7
425.910,C:7
426.700,F:maj7
428.280,F:hdim7
429.050,Bb:7
429.450,A:7(b9)
429.850,N
435.820,Gb:maj7
437.390,Gb:maj7
438.940,F:hdim7
440.490,Bb:7
442.050,N
448.050,Db:maj7
449.620,G:min7
450.400,C:7
451.180,F:maj7
452.740,F:hdim7
453.520,Bb:7
454.300,N
460.500,Eb:maj7
462.150,F:min
462.970,Bb:7
463.780,Eb:maj7
465.400,Eb:min
466.210,Ab:7
467.010,Db:maj7
468.580,G:min7
469.380,C:7
470.160,F:maj7
471.750,F:hdim7
472.550,Bb:7
473.340,Eb:maj7
474.920,F:min
475.720,Bb:7
476.510,Eb:maj7
478.110,Eb:min
478.890,Ab:7
479.660,Db:maj7
481.280,G:min7
482.060,C:7
482.860,F:maj7
484.410,F:hdim7
485.200,Bb:7
485.580,A:7(b9)
485.970,N
497.900,Eb:maj7
499.550,F:min
500.370,Bb:7
501.180,Eb:maj7
502.830,Eb:min7
503.640,Ab:7
504.450,Db:maj7
506.110,G:min7
506.920,C:7
507.700,F:maj7
509.290,F:hdim7
510.080,Bb:7
510.860,Eb:7
511.670,D:7
512.470,Db:7
513.270,C:7
514.060,F:min7
515.670,Eb:maj7
