time,chord
85.2,G-6/C
85.4,G-6/C
85.4,G-6/C
85.6,G-6/C
85.6,G-6/C
85.8,G-6/C
85.8,G-6/C
86.0,G-6/C
86.0,G-6/C
86.2,G-6/C
86.2,G-6/C
86.4,G-6/C
86.4,G-6/C
86.6,G-6/C
86.6,G-6/C
86.8,G-6/C
86.8,G-6/C
87.0,G-6/C
87.0,G-6/C
87.2,G-6/C
87.2,G-6/C
87.4,G-6/C
87.4,G-6/C
87.6,G-6/C
87.8,G-6/C
88.0,C#b7911#
88.2,C#b7911#
88.4,C#b7911#
88.6,C#b7911#
88.8,C#b7911#
89.0,C#b7911#
89.2,C#b7911#
89.4,C#b7911#
89.4,C#b7911#
89.6,C#b7911#
89.6,C#b7911#
89.8,G-6/C
89.8,G-6/C
90.0,G-6/C
90.0,G-6/C
90.2,G-6/C
90.2,G-6/C
90.4,G-6/C
90.4,G-6/C
90.6,G-6/C
90.6,G-6/C
90.8,G-6/C
90.8,G-6/C
91.0,G-6/C
91.0,G-6/C
91.2,G-6/C
91.2,G-6/C
91.4,G-6/C
91.6,G-6/C
91.8,G-6/C
92.0,G-6/C
92.2,G-6/C
92.4,G-6/C
92.6,G-6/C
92.8,G-6/C
93.0,G-6/C
93.2,G-6/C
93.4,G-6/C
93.6,G-6/C
93.8,G-6/C
94.0,G-6/C
94.2,G-6/C
94.4,G-6/C
94.6,C+7
94.8,C+7
95.0,C+7
95.2,C+7
95.4,C+7
95.6,C+7
95.8,C+7
96.0,C+7
96.2,C+7
96.4,C+7
96.6,C+7
96.8,C+7
97.0,C+7
97.2,C+7
97.4,C+7
97.6,A-7
97.6,A-7
97.8,A-7
97.8,A-7
98.0,A-7
98.0,A-7
98.2,A-7
98.2,A-7
98.4,A-7
98.4,A-7
98.6,A-7
98.6,A-7
98.8,A-7
98.8,A-7
99.0,A-7
99.0,A-7
99.2,A-7
99.2,A-7
99.4,A-7
99.4,A-7
99.6,A-7
99.6,A-7
99.8,A-7
99.8,A-7
100.0,C+7
100.2,C+7
100.4,C+7
100.4,C+7
100.6,C+7
100.6,C+7
100.8,C+7
100.8,C+7
101.0,C+7
101.0,C+7
101.2,C+7
101.2,C+7
101.4,C+7
101.4,C+7
101.6,C+7
101.6,C+7
101.8,C+7
101.8,C+7
102.0,C+7
102.0,C+7
102.2,C+7
102.2,C+7
102.4,C+7
102.4,C+7
102.6,C+7
102.6,C+7
102.8,C+7
102.8,C+7
103.0,C+7
103.0,C+7
103.2,C+7
103.2,C+7
103.4,A-7
103.4,A-7
103.6,A-7
103.6,A-7
103.8,A-7
103.8,A-7
