time,chord
62.000,Fj7
62.200,Fj7
62.200,Fj7
62.400,Fj7
62.400,Fj7
62.600,Fj7
62.600,Fj7
62.800,Fj7
63.000,Fj7
63.200,G7alt
63.400,G7alt
63.600,G7alt
63.800,G7alt
64.000,G7alt
64.200,G7alt
64.200,G7alt
64.400,G7alt
64.400,G7alt
64.600,G7alt
64.800,G7alt
65.000,G-7
65.200,G-7
65.400,G-7
65.600,G-7
65.800,G-7
66.000,G-7
66.200,G-7
66.400,G-7
66.600,C7
66.800,C7
67.000,C7
67.200,C7
67.200,C7
67.400,Am7b5
67.400,Am7b5
67.600,Am7b5
67.600,Am7b5
67.800,D79b
67.800,D79b
68.000,D79b
68.000,D79b
68.200,G-7
68.200,G-7
68.400,G-7
68.400,G-7
68.600,A79b
68.600,A79b
68.800,A79b
68.800,A79b
69.000,D7
69.000,D7
69.200,D7
69.200,D7
69.400,D79b
69.400,D79b
69.600,D79b
69.600,D79b
69.800,G79b
69.800,G79b
70.000,G79b
70.000,G79b
70.200,G79b
70.200,G79b
70.400,G79b
70.400,G79b
70.600,F#bj7
70.600,F#bj7
70.800,F#bj7
70.800,F#bj7
71.000,F#bj7
71.000,F#bj7
71.200,F#bj7
71.200,F#bj7
71.400,Fj7
71.400,Fj7
71.600,Fj7
71.600,Fj7
71.800,Fj7
71.800,Fj7
72.000,Fj7
72.000,Fj7
72.200,G7alt
72.200,G7alt
72.400,G7alt
72.400,G7alt
72.600,G7alt
72.600,G7alt
72.800,G7alt
72.800,G7alt
73.000,G-7
73.000,G-7
73.200,G-7
73.200,G-7
73.400,C7
73.600,C7
73.800,C7
74.000,C7
74.200,C7
74.400,C7
74.600,C7
74.800,Am7b5
75.000,Am7b5
75.200,Am7b5
75.400,Am7b5
75.600,Am7b5
75.800,Am7b5
76.000,Am7b5
76.200,Am7b5
76.400,D79b
76.600,D79b
76.800,D79b
76.800,D79b
77.000,D79b
77.200,D79b
77.400,G-7
77.600,G-7
77.800,G-7
78.000,G-7
78.200,G-7
78.400,G-7
78.600,G-7
78.800,G-7
79.000,A#-
79.200,A#-
79.400,A#-
79.600,A#-
79.800,A#-
80.000,A#-
80.200,A-7
80.400,A-7
80.600,A-7
80.800,A-7
81.000,A-7
81.200,A-7
81.400,B7b5
81.600,B7b5
81.800,B7b5
82.000,B7b5
