time,chord
56.4,D-6
56.4,D-6
56.6,D-6
56.6,D-6
56.8,Em7b5
56.8,Em7b5
57.0,A79b
57.0,A79b
57.2,D-6
57.2,D-6
57.4,D-6
57.4,D-6
57.6,Em7b5
57.6,Em7b5
57.8,A79b
57.8,A79b
58.0,D-6
58.0,D-6
58.2,D-6
58.2,D-6
58.4,Am7b5
58.4,Am7b5
58.6,D79b
58.6,D79b
58.8,G-7
58.8,G-7
59.0,G-7
59.0,G-7
59.2,G-7
59.2,G-7
59.4,G-7
59.4,G-7
59.6,B7
59.6,B7
59.8,E7
59.8,E7
60.0,G-7
60.2,G-7
60.4,G-7
60.6,G-7
60.8,C7
61.0,C7
61.2,C7
61.4,C7
61.6,Fj7
61.8,Fj7
61.8,Fj7
62.0,Fj7
62.2,Fj7
62.4,Em7b5
62.6,Em7b5
62.6,A7
62.8,A7
63.0,A7
63.2,Dj7
63.4,Dj7
63.6,Dj7
63.8,Dj7
64.0,Dj7
64.0,Dj7
64.2,Em7b5
64.2,Em7b5
64.4,A7
64.4,A7
64.6,D-6
64.6,D-6
64.8,D-6
64.8,D-6
65.0,Em7b5
65.0,Em7b5
65.2,A79b
65.2,A79b
65.4,D-6
65.4,D-6
65.6,D-6
65.6,D-6
65.8,Em7b5
65.8,Em7b5
66.0,A79b
66.0,A79b
66.2,D-6
66.2,D-6
66.4,D-6
66.4,D-6
66.6,Am7b5
66.6,Am7b5
66.8,D79b
66.8,D79b
67.0,G-7
67.0,G-7
67.2,G-7
67.2,G-7
67.4,G-7
67.4,G-7
67.6,G-7
67.6,G-7
67.8,B7
67.8,B7
68.0,E7
68.2,E7
68.4,E7
68.6,G-7
68.8,G-7
69.0,G-7
69.2,C7
69.4,C7
69.6,C7
69.8,C7
70.0,Fj7
70.2,Fj7
70.4,Fj7
70.6,Fj7
70.8,Fj7
71.0,Fj7
71.2,Fj7
71.4,Em7b5
71.6,Em7b5
71.6,A7
71.8,A7
72.0,A7
72.2,Dj7
72.4,Dj7
72.6,Dj7
72.8,Dj7
73.0,Dj7
73.0,Dj7
73.2,Dj7
73.2,Dj7
73.4,Dj7
73.4,Dj7
73.6,Am7b5
73.6,Am7b5
73.8,Am7b5
73.8,Am7b5
74.0,D79b
74.0,D79b
74.2,D79b
74.2,D79b
74.4,G-6
74.6,G-6
74.6,G-6
74.8,G-6
74.8,G-6
75.0,G-6
75.0,G-6
75.2,G-6
75.4,G-6
75.6,Gm7b5
75.8,Gm7b5
76.0,Gm7b5
76.2,Gm7b5
76.4,Gm7b5
76.6,Gm7b5
76.8,Gm7b5
77.0,Gm7b5
77.2,C79b
77.4,C79b
77.6,C79b
77.8,C79b
78.0,C79b
78.2,C79b
78.4,Fj7
78.6,Fj7
78.8,Fj7
79.0,Fj7
79.2,Fj7
79.4,Fj7
79.6,Fj7
79.8,Fj7
80.0,Em7b5
80.2,Em7b5
80.4,Em7b5
80.6,Em7b5
80.8,A79b
81.0,A79b
81.2,A79b
81.4,D-6
81.6,D-6
81.8,D-6
82.0,D-6
82.2,D-6
82.4,D-6
82.6,D-6
82.8,D-6
83.0,Em7b5
83.2,Em7b5
83.4,Em7b5
83.6,A79b
83.8,A79b
84.0,A79b
84.2,D-6
84.4,D-6
84.6,D-6
84.8,D-6
85.0,D-6
85.2,D-6
85.4,D-6
85.6,D-6
85.8,Em7b5
86.0,Em7b5
86.0,A79b
86.2,A79b
86.4,A79b
86.6,D-6
86.8,D-6
87.0,D-6
87.2,D-6
87.4,D-6
87.6,D-6
87.8,D-6
87.8,A#7
88.0,A#7
88.0,A7
88.2,A7
88.2,D-6
88.4,D-6
88.4,D-6
88.6,D-6
88.6,Em7b5
88.8,Em7b5
89.0,Em7b5
89.2,A7
89.4,A7
89.6,A7
89.8,A7
90.0,D-6
90.2,D-6
90.4,D-6
90.6,D-6
90.8,D-6
91.0,D-6
91.2,D-6
91.4,D-6
91.6,Em7b5
91.8,Em7b5
92.0,Em7b5
92.2,Em7b5
92.4,A79b
92.6,A79b
92.8,A79b
93.0,A79b
93.2,D-6
93.4,D-6
93.6,D-6
93.8,D-6
94.0,D-6
94.2,D-6
94.4,D-6
94.6,D-6
94.8,Em7b5
95.0,Em7b5
95.2,Em7b5
95.4,Em7b5
95.6,A79b
95.8,A79b
96.0,A79b
96.2,A79b
96.4,D-6
96.6,D-6
96.8,D-6
