time,chord
0.460,A#:maj7
1.600,A#:maj7
2.710,A#:min7
3.800,D#:7
4.920,F:maj7
6.030,F:maj7
7.110,G#:min7
8.200,C#:7
9.310,G:min7
10.380,C:7
11.480,A:7
12.570,D:min7
13.660,G:7
14.750,G:7
15.830,G:min7
16.910,C:7
17.450,F:7
17.990,A#:maj7
19.070,A#:maj7
20.160,A#:min7
21.270,D#:7
22.300,F:maj7
23.370,F:maj7
24.450,G#:min7
25.540,C#:7
26.610,G:min7
27.680,C:7
28.770,E:hdim7
29.310,A:7
29.840,D:min7
30.890,G:7
31.960,G:min7
32.470,C:7
33.020,F:maj7
34.100,C:min7
34.660,F:7
35.160,A#:maj7
36.303,A#:maj7
37.330,A#:min7
38.405,D#:7
39.470,F:maj7
40.530,F:maj7
41.595,G#:min7
42.660,C#:7
43.715,G:min7
44.780,C:7
45.835,A:7
46.885,D:min7
47.945,G:7
49.015,G:7
50.070,G:min7
51.110,C:7
51.640,F:7
52.165,A#:maj7
53.225,A#:maj7
54.295,A#:min7
55.345,D#:7
56.395,F:maj7
57.445,F:maj7
58.495,G#:min7
59.555,C#:7
60.600,G:min7
61.655,C:7
62.720,E:hdim7
63.245,A:7
63.770,D:min7
64.810,G:7
65.860,G:min7
66.380,C:7
66.905,F:maj7
67.945,C:min7
68.475,F:7
69.015,A#:maj7
70.045,A#:maj7
71.090,A#:min7
72.145,D#:7
73.185,F:maj7
74.235,F:maj7
75.275,G#:min7
76.315,C#:7
77.370,G:min7
78.420,C:7
79.465,A:7
80.500,D:min7
81.540,G:7
82.600,G:7
83.640,G:min7
84.690,C:7
85.225,F:7
85.750,A#:maj7
86.790,A#:maj7
87.830,A#:min7
88.890,D#:7
89.930,F:maj7
90.970,F:maj7
92.015,G#:min7
93.060,C#:7
94.095,G:min7
95.140,C:7
96.180,E:hdim7
96.700,A:7
97.220,D:min7
98.260,G:7
99.290,G:min7
99.815,C:7
100.340,F:maj7
101.365,C:min7
101.890,F:7
