time,chord
214.2,D-7
214.4,D-7
214.8,D-7
215.0,D-7
215.4,D-7
215.6,D-7
216.0,D-7
216.2,D-7
217.2,D-7
217.4,D-7
218.4,D-7
218.6,D-7
219.0,D-7
219.2,D-7
219.6,D-7
219.8,D-7
220.2,D-7
220.4,D-7
220.8,D-7
221.0,D-7
221.4,D-7
221.6,D-7
222.0,D-7
222.2,D-7
222.6,D-7
222.8,D-7
223.2,D-7
223.4,D-7
223.8,D-7
224.0,D-7
225.0,D-7
225.2,D-7
225.6,D-7
225.8,D-7
226.2,D-7
226.4,D-7
226.8,D-7
227.0,D-7
227.4,D-7
227.6,D-7
228.0,D-7
228.2,D-7
228.6,D-7
228.8,D-7
229.2,D-7
229.4,D-7
229.8,D-7
230.0,D-7
230.4,D-7
230.6,D-7
231.0,D-7
231.2,D-7
231.6,D-7
231.8,D-7
232.2,D-7
232.4,D-7
233.0,D-7
233.4,D-7
233.6,D-7
234.0,D-7
234.2,D-7
235.2,D-7
235.4,D-7
236.4,D-7
236.6,D-7
237.6,D-7
237.8,D-7
238.8,D-7
239.2,D-7
239.6,D-7
240.2,D-7
240.4,D-7
241.4,D-7
241.6,D-7
242.6,D#b-7
242.8,D#b-7
243.8,D#b-7
244.0,D#b-7
245.0,D#b-7
245.2,D#b-7
246.2,D#b-7
246.4,D#b-7
247.4,D#b-7
247.6,D#b-7
248.6,D#b-7
248.8,D#b-7
249.8,D#b-7
250.0,D#b-7
251.0,D#b-7
251.2,D#b-7
251.6,D#b-7
251.8,D#b-7
252.8,D#b-7
253.0,D#b-7
254.0,D#b-7
254.2,D#b-7
255.2,D#b-7
255.4,D#b-7
256.4,D#b-7
256.6,D#b-7
257.6,D#b-7
257.8,D#b-7
258.8,D#b-7
259.0,D#b-7
260.0,D#b-7
260.2,D#b-7
260.6,D#b-7
260.8,D#b-7
261.2,D#b-7
261.4,D#b-7
261.8,D#b-7
262.0,D#b-7
262.4,D#b-7
262.6,D#b-7
263.0,D#b-7
