time,chord
10.570,G-7
11.200,C7
11.820,G-7
12.450,C7
13.070,G-7
13.690,C7
14.310,G-7
14.920,C7
15.550,F6
16.150,D-7
16.780,G-7
17.400,C7
18.020,F6
19.270,A-7
19.890,D7
20.510,G-7
21.130,C7
21.740,G-7
22.360,C7
22.980,G-7
23.600,C7
24.220,G-7
24.840,C7
25.470,F6
26.080,D-7
26.690,G-7
27.320,C7
27.930,F6
29.160,F6
30.380,F7
31.610,C-7
32.220,F7
32.820,Bb6
34.050,Bb6
35.260,G7
36.480,G7
37.710,C7
38.910,C7
40.140,G-7
40.750,C7
41.360,G-7
41.960,C7
42.550,G-7
43.160,C7
43.780,G-7
44.390,C7
45.000,F6
45.600,D-7
46.210,G-7
46.820,C7
47.430,F6
48.630,A-7
49.250,D7
50.000,C7
50.200,G-7
50.400,G-7
50.600,G-7
50.800,G-7
51.000,C7
51.200,C7
51.400,C7
51.600,C7
51.800,G-7
52.000,G-7
52.200,G-7
52.400,G-7
52.600,C7
52.800,C7
53.000,C7
53.200,C7
53.400,G-7
53.600,G-7
53.800,G-7
54.000,G-7
54.200,C7
54.400,C7
54.600,C7
54.800,C7
55.000,F6
55.200,F6
55.400,F6
55.600,F6
55.800,D-7
56.000,D-7
56.200,D-7
56.400,D-7
56.600,G-7
56.800,G-7
57.000,G-7
57.000,C7
57.200,C7
57.200,F6
57.400,F6
57.400,F6
57.600,F6
57.600,A-7
57.800,A-7
57.800,D7
58.000,D7
58.200,D7
58.400,G-7
58.600,G-7
58.800,G-7
59.000,G-7
59.200,C7
59.400,C7
59.600,C7
59.800,G-7
60.000,G-7
60.200,G-7
60.400,G-7
60.600,C7
60.800,C7
61.000,C7
61.200,C7
61.400,G-7
61.600,G-7
61.800,G-7
62.000,G-7
62.200,C7
62.400,C7
62.600,C7
62.800,C7
63.000,G-7
63.200,G-7
63.400,G-7
63.600,G-7
63.800,C7
64.000,C7
64.200,C7
64.400,C7
64.600,F6
64.800,F6
65.000,F6
65.000,D-7
65.200,D-7
65.400,D-7
65.600,G-7
65.800,G-7
66.000,G-7
66.200,G-7
66.400,C7
66.600,C7
66.800,C7
67.000,C7
67.200,F6
67.400,F6
67.600,F6
67.800,F6
68.000,F6
68.200,F6
68.400,F6
68.600,F6
68.800,F6
69.000,F6
69.200,F6
69.400,F6
69.600,F6
69.800,F6
70.000,F6
70.200,F6
70.400,F7
70.600,F7
70.800,F7
70.800,F7
71.000,F7
71.000,C-7
71.200,C-7
71.200,F7
71.400,F7
71.600,F7
71.800,A#6
72.000,A#6
72.200,A#6
72.400,A#6
72.600,A#6
72.800,A#6
73.000,A#6
73.200,A#6
73.400,A#6
73.600,A#6
73.800,A#6
74.000,A#6
74.200,A#6
74.400,A#6
74.600,A#6
74.800,A#6
75.000,G7
75.200,G7
75.400,G7
75.600,G7
75.800,G7
75.800,G7
76.000,G7
76.000,G7
76.200,G7
76.400,G7
76.600,C7
76.800,C7
77.000,C7
77.200,C7
77.400,C7
77.600,C7
77.800,C7
78.000,C7
78.200,C7
78.200,C7
78.400,C7
78.600,C7
78.800,G-7
79.000,G-7
79.200,G-7
79.400,G-7
79.600,C7
79.800,C7
80.000,C7
80.200,G-7
80.200,G-7
80.400,C7
80.600,C7
80.800,C7
81.000,C7
81.200,G-7
81.400,G-7
81.600,G-7
81.800,G-7
82.000,C7
82.200,C7
82.400,C7
82.600,C7
82.800,G-7
83.000,G-7
83.200,G-7
83.400,C7
83.600,C7
83.800,C7
84.000,C7
84.200,F6
84.400,F6
84.600,F6
84.800,F6
85.000,D-7
85.200,D-7
85.400,D-7
85.600,G-7
85.800,G-7
86.000,G-7
86.200,G-7
86.400,C7
86.600,C7
86.800,C7
87.000,C7
87.200,F6
87.400,F6
87.600,F6
87.800,F6
88.000,F6
88.200,F6
88.400,F6
88.600,F6
88.800,A-7
89.000,A-7
89.200,A-7
89.400,A-7
89.600,D7
89.800,D7
90.000,D7
90.200,D7
90.400,G-7
90.600,G-7
90.800,G-7
91.000,G-7
91.200,C7
91.400,C7
91.600,C7
91.800,C7
92.000,G-7
92.200,G-7
92.400,G-7
92.600,G-7
92.800,C7
93.000,C7
93.200,C7
93.400,C7
93.600,G-7
93.800,G-7
94.000,G-7
94.000,C7
94.200,C7
94.200,G-7
94.400,G-7
94.400,C7
94.600,C7
94.800,C7
95.000,F6
95.200,F6
95.400,F6
95.600,F6
95.800,D-7
96.000,D-7
96.200,D-7
96.400,D-7
96.600,G-7
96.800,G-7
97.000,G-7
97.200,G-7
97.400,C7
97.600,C7
97.800,C7
98.000,C7
98.200,F6
98.400,F6
98.600,F6
98.800,F6
99.000,F6
99.200,F6
99.400,F6
99.600,A-7
99.800,A-7
100.000,A-7
100.200,D7
100.400,D7
100.600,D7
100.800,D7
101.000,G-7
101.200,G-7
101.400,G-7
101.400,C7
101.600,C7
101.600,G-7
101.800,G-7
101.800,C7
102.000,C7
102.000,G-7
102.200,G-7
102.200,C7
102.400,C7
102.400,G-7
102.600,G-7
102.600,C7
102.800,C7
103.000,C7
103.200,F6
103.400,F6
103.600,F6
103.800,F6
104.000,D-7
104.200,D-7
104.400,D-7
104.600,D-7
104.800,G-7
105.000,G-7
105.200,C7
105.200,C7
105.400,F6
105.400,F6
105.600,F6
105.600,F6
105.800,F6
105.800,F6
106.000,F6
106.000,F6
106.200,F7
106.200,F7
106.400,F7
106.600,F7
106.800,F7
107.000,F7
107.200,C-7
107.400,C-7
107.600,C-7
107.800,C-7
108.000,F7
108.200,F7
108.400,F7
108.600,F7
108.800,A#6
109.000,A#6
109.200,A#6
109.400,A#6
109.600,A#6
109.800,A#6
110.000,A#6
110.200,A#6
110.400,A#6
110.600,A#6
110.800,A#6
111.000,A#6
111.200,A#6
111.400,A#6
111.600,A#6
111.800,A#6
112.000,G7
112.200,G7
112.400,G7
112.600,G7
112.800,G7
113.000,G7
113.200,G7
113.400,G7
113.600,G7
113.800,G7
114.000,G7
114.200,G7
114.400,G7
114.600,G7
114.800,G7
115.000,G7
115.200,C7
115.400,C7
115.600,C7
115.800,C7
116.000,C7
116.200,C7
116.400,C7
116.600,C7
116.800,C7
117.000,C7
117.200,C7
117.400,C7
117.600,C7
117.800,C7
118.000,C7
118.200,C7
118.400,G-7
118.600,G-7
118.800,G-7
119.000,G-7
119.200,C7
119.400,C7
119.600,C7
119.800,C7
120.000,G-7
120.200,G-7
120.400,C7
120.400,C7
120.600,G-7
120.600,G-7
120.800,C7
120.800,C7
121.000,G-7
121.000,G-7
121.200,C7
121.200,C7
121.400,F6
121.400,F6
121.600,D-7
121.600,D-7
121.800,G-7
121.800,G-7
122.000,C7
122.000,C7
122.200,F6
