time,chord
3.8,Gj7
4.0,Gj7
4.0,Gj7
4.2,Gj7
4.2,G6
4.4,G6
4.4,G6
4.6,G6
4.6,Gj7
4.8,Gj7
4.8,Gj7
5.0,Gj7
5.0,G6
5.2,G6
5.2,G6
5.4,G6
5.6,G6
5.8,G-7
6.0,G-7
6.2,G-7
6.4,G-7
6.6,G-7
6.8,G-7
6.8,G-6
7.0,G-6
7.0,G-6
7.2,G-6
7.2,G-7
7.4,G-7
7.4,G-7
7.6,G-7
7.6,G-6
7.8,G-6
7.8,G-6
8.0,G-6
8.2,G-6
8.4,Am7b5
8.6,Am7b5
8.6,Am7b5
8.8,Am7b5
9.0,Am7b5
9.2,D7
9.4,D7
9.6,D7
9.6,D7
9.8,D7
10.0,D7
10.2,B7b5
10.4,B7b5
10.6,B7b5
10.8,B7b5
11.0,B7b5
11.2,B7b5
11.4,B7b5
11.4,E7
11.6,E7
11.6,E7
11.8,E7
12.0,E7
12.2,A-7
12.4,A-7
12.4,A-7
12.6,A-7
12.8,A-7
13.0,D7
13.2,D7
13.4,D7
13.6,D7
13.8,D7
14.0,D7
14.2,Gj7
14.4,Gj7
14.6,Gj7
14.8,Gj7
15.0,Gj7
15.2,Gj7
15.2,Gj7
15.4,Gj7
15.4,Gj7
15.6,Gj7
15.8,Gj7
16.0,C-7
16.2,C-7
16.4,C-7
16.6,C-7
16.8,C-7
17.0,C-7
17.2,C-7
17.4,C-7
17.6,F7
17.8,F7
18.0,F7
18.2,F7
18.4,F7
18.6,F7
18.8,F7
19.0,A#j7
19.2,A#j7
19.4,A#j7
19.4,A#j7
19.6,G-7
19.6,G-7
19.8,G-7
20.0,G-7
20.2,G-7
20.4,G-7
20.6,C-7
20.8,C-7
21.0,C-7
21.2,C-7
21.4,C-7
21.6,C-7
21.8,C-7
22.0,C-7
22.2,F7
22.4,F7
22.6,F7
22.8,F7
23.0,F7
23.2,F7
23.4,F7
23.6,F7
23.8,A#j7
24.0,A#j7
24.2,A#j7
24.4,A#j7
24.6,A#j7
24.8,A#j7
25.0,A#j7
25.2,A#j7
25.4,A#6
25.6,A#6
25.8,A#6
26.0,A#6
26.2,A#6
26.4,A#6
26.6,A#6
26.8,A-7
27.0,A-7
27.0,A-7
27.2,A-7
27.2,D7
27.4,D7
27.4,D7
27.6,D7
27.8,D7
28.0,Gj7
28.0,Gj7
28.2,Gj7
28.2,Gj7
28.4,G6
28.6,G6
28.6,G6
28.8,G6
29.0,G6
29.2,F##-7
29.4,F##-7
29.6,F##-7
29.8,F##-7
30.0,F##-7
30.2,F##-7
30.4,F##-7
30.6,F##-7
30.8,B
31.0,B
31.2,B
31.4,B
31.6,B
31.8,B
32.0,B
32.2,B
32.4,Ej7
32.6,Ej7
32.8,Ej7
33.0,Ej7
33.2,Ej7
33.4,Ej7
33.6,Ej7
33.8,Ej7
34.0,A-7
34.2,A-7
34.4,A-7
34.6,A-7
34.8,D7
35.0,D7
35.2,D7
35.4,D7
35.6,Gj7
35.8,Gj7
36.0,Gj7
36.2,Gj7
36.4,Gj7
36.6,Gj7
36.8,Gj7
37.0,Gj7
37.2,G6
37.4,G6
37.6,G6
37.8,G6
38.0,G6
38.2,G6
38.4,Gj7
38.6,Gj7
38.8,Gj7
39.0,Gj7
39.2,Gj7
39.4,Gj7
39.6,Gj7
39.8,Gj7
40.0,G6
40.2,G6
40.4,G6
40.4,G6
40.6,G6
40.6,G-7
40.8,G-7
40.8,G-7
41.0,G-7
41.0,G-6
41.2,G-6
41.2,G-6
41.4,G-6
41.4,G-7
41.6,G-7
41.6,G-7
41.8,G-7
41.8,G-6
42.0,G-6
42.0,G-6
42.2,G-6
42.4,G-6
42.6,Am7b5
42.8,Am7b5
43.0,Am7b5
43.2,Am7b5
43.4,Am7b5
43.6,Am7b5
43.8,Am7b5
44.0,Am7b5
44.2,D7
44.4,D7
44.6,D7
44.6,D7
44.8,B7b5
44.8,B7b5
45.0,B7b5
45.0,B7b5
45.2,E7
45.4,E7
45.4,E7
45.6,E7
45.8,E7
46.0,A-7
46.2,A-7
46.4,A-7
46.6,A-7
46.8,A-7
47.0,A-7
47.2,D7
47.4,D7
47.4,D7
47.6,D7
47.8,D7
48.0,Gj7
48.2,Gj7
48.4,Gj7
48.6,Gj7
48.8,Gj7
49.0,Gj7
49.2,Gj7
49.4,Gj7
49.6,Gj7
49.8,Gj7
50.0,Gj7
50.2,Gj7
50.4,Gj7
50.6,Gj7
50.8,Gj7
51.0,Gj7
51.2,Gj7
51.4,Gj7
51.6,Gj7
51.8,Gj7
52.0,Gj7
52.2,Gj7
52.4,G6
52.6,G6
52.8,G6
53.0,G6
53.2,G6
53.2,Gj7
53.4,Gj7
53.4,Gj7
53.6,Gj7
53.6,G6
53.8,G6
53.8,G6
54.0,G6
54.2,G6
54.4,G-7
54.6,G-7
54.8,G-7
55.0,G-7
55.2,G-7
55.4,G-7
55.6,G-6
55.8,G-6
56.0,G-6
56.2,G-6
56.4,G-6
56.6,G-6
56.8,G-6
57.0,G-6
57.2,G-7
57.4,G-7
57.4,G-7
57.6,G-7
57.6,G-6
57.8,G-6
57.8,G-6
58.0,G-6
58.2,G-6
58.4,Am7b5
58.6,Am7b5
58.8,Am7b5
59.0,Am7b5
59.2,Am7b5
59.4,Am7b5
59.6,Am7b5
59.8,Am7b5
60.0,D7
60.2,D7
60.4,D7
60.6,D7
60.8,D7
61.0,D7
61.2,D7
61.4,B7b5
61.4,B7b5
61.6,B7b5
61.6,B7b5
61.8,E7
61.8,E7
62.0,E7
62.2,E7
62.4,E7
62.6,E7
62.8,A-7
63.0,A-7
63.2,A-7
63.4,A-7
63.6,A-7
63.6,D7
63.8,D7
64.0,D7
64.2,D7
64.4,D7
64.6,D7
64.8,D7
65.0,Gj7
65.2,Gj7
65.4,Gj7
65.6,Gj7
65.8,Gj7
66.0,Gj7
66.2,Gj7
66.4,Gj7
66.6,Gj7
66.8,Gj7
67.0,Gj7
67.2,Gj7
67.4,Gj7
67.6,Gj7
67.8,Gj7
68.0,Gj7
68.2,C-7
68.4,C-7
68.6,C-7
68.8,C-7
69.0,C-7
69.2,C-7
69.4,C-7
69.6,F7
69.6,F7
69.8,F7
69.8,F7
70.0,A#j7
70.0,A#j7
70.2,A#j7
70.2,A#j7
70.4,G-7
70.4,G-7
70.6,G-7
70.8,G-7
