time,chord
34.4,D:min
34.6,D:min
35.2,D:min
35.4,D:min
36.0,D:min
36.2,D:min
36.8,E:hdim7
37.0,E:hdim7
37.6,E:hdim7
37.8,E:hdim7
38.4,A:7(b9)
38.6,A:7(b9)
39.2,A:7(b9)
39.4,A:7(b9)
40.0,D:min
40.2,D:min
40.8,D:min
41.0,D:min
41.6,D:min
41.8,D:min
42.4,E:hdim7
42.6,E:hdim7
43.2,E:hdim7
43.4,E:hdim7
44.0,A:7(b9)
44.2,A:7(b9)
44.8,A:7(b9)
45.2,D:min
45.4,D:min
45.6,D:min/7
45.8,D:min/7
46.0,D:min/b7
46.2,D:min/b7
46.4,D:min/b7
46.6,D:min/b7
46.8,B:7(b5)
47.0,B:7(b5)
47.2,B:7(b5)
47.8,B:7(b5)
48.0,B:7(b5)
48.6,E:7
48.8,E:7
49.4,E:7
49.6,E:7
50.2,E:7
50.4,E:7
51.0,E:7
51.6,A:aug(b7)
51.8,A:aug(b7)
52.4,A:aug(b7)
52.6,A:aug(b7)
53.2,A:aug(b7)
53.4,A:aug(b7)
54.0,A:aug(b7)
54.2,A:aug(b7)
54.8,D:7
55.0,D:7
55.6,D:7
55.8,D:7
56.4,D:7
56.6,D:7
57.2,D:7
57.4,D:7
58.0,G:7
58.2,G:7
58.8,G:7
59.0,G:7
59.6,G:7
59.8,G:7
60.4,G:7
60.6,G:7
61.2,C:7
61.4,C:7
62.0,C:7
62.2,C:7
62.8,C:7
63.0,C:7
63.4,C:7
63.6,C:min7
63.8,C:min7
64.0,F:7
64.2,F:7
64.4,A#:maj7
64.6,A#:maj7
64.8,A#:maj7
65.0,A#:maj7
65.6,E:hdim7
65.8,E:hdim7
66.4,E:hdim7
66.6,E:hdim7
67.2,E:hdim7
67.4,E:hdim7
68.0,E:hdim7
68.2,E:hdim7
68.8,A:7(b9)
69.0,A:7(b9)
69.2,A:7(b9)
69.4,A:7(b9)
70.0,D:min
70.2,D:min
70.8,D:min
71.0,D:min
71.6,D:min
71.8,D:min
72.4,D:min
72.6,D:min
73.2,E:hdim7
73.4,E:hdim7
74.0,A:7(b9)
74.2,A:7(b9)
74.8,A:7(b9)
75.0,A:7(b9)
75.6,D:min
75.8,D:min
76.4,D:min
76.6,D:min
77.2,D:min
77.4,D:min
78.0,D:min
78.2,D:min
78.8,E:hdim7
79.0,E:hdim7
79.6,E:hdim7
79.8,E:hdim7
80.4,A:7(b9)
80.6,A:7(b9)
81.0,A:7(b9)
81.2,D:min
81.4,D:min
81.6,D:min/7
81.8,D:min/7
82.0,D:min/b7
82.2,D:min/b7
82.4,D:min/b7
82.6,D:min/b7
82.8,B:7(b5)
83.0,B:7(b5)
83.2,B:7(b5)
83.8,B:7(b5)
84.0,B:7(b5)
84.6,B:7(b5)
84.8,B:7(b5)
85.4,E:7
85.6,E:7
86.0,E:7
86.2,E:7
86.4,E:7
87.0,A:aug(b7)
87.2,A:aug(b7)
87.8,A:aug(b7)
88.0,A:aug(b7)
88.2,A:aug(b7)
88.8,D:7
89.0,D:7
89.6,D:7
89.8,D:7
90.0,D:7
90.2,G:7
90.4,G:7
90.6,G:7
90.8,G:7
91.0,C:7
91.2,C:7
91.4,C:7
91.6,C:7
91.8,C:min7
92.0,C:min7
92.2,F:7
92.4,F:7
92.8,A#:maj7
93.0,A#:maj7
93.2,A#:maj7
93.4,A#:maj7
93.6,E:hdim7
93.8,E:hdim7
94.0,E:hdim7
94.2,E:hdim7
94.4,A:7(b9)
94.6,A:7(b9)
94.8,A:7(b9)
95.0,A:7(b9)
95.6,D:min
95.8,D:min
96.4,D:min
96.6,D:min
97.2,D:min
97.4,D:min
97.8,D:min
98.0,E:hdim7
98.2,E:hdim7
98.4,A:7(b9)
98.6,A:7(b9)
98.8,D:min
99.0,D:min
99.2,D:min
99.4,D:min
99.6,E:hdim7
100.2,E:hdim7
100.4,E:hdim7
101.0,A:7(b9)
101.2,A:7(b9)
101.8,A:7(b9)
102.0,A:7(b9)
102.6,D:min
102.8,D:min
103.4,D:min
103.6,D:min
104.2,D:min/7
104.4,D:min/7
104.6,D:min/7
104.8,D:min/b7
105.0,D:min/b7
105.2,D:min/b7
105.4,D:min/b7
106.0,B:7(b5)
106.2,B:7(b5)
106.8,B:7(b5)
107.0,B:7(b5)
107.6,B:7(b5)
107.8,B:7(b5)
108.4,B:7(b5)
108.6,B:7(b5)
109.2,E:7
109.4,E:7
110.0,E:7
110.2,E:7
110.8,E:7
111.0,E:7
111.6,E:7
111.8,E:7
112.4,A:aug(b7)
112.6,A:aug(b7)
113.2,A:aug(b7)
113.4,A:aug(b7)
114.0,A:aug(b7)
114.2,A:aug(b7)
114.8,A:aug(b7)
115.0,A:aug(b7)
115.6,D:7
115.8,D:7
116.4,D:7
116.6,D:7
117.2,D:7
117.4,D:7
118.0,D:7
118.2,D:7
118.8,G:7
119.0,G:7
119.6,G:7
119.8,G:7
120.4,G:7
120.6,G:7
121.2,G:7
121.4,G:7
122.0,C:7
122.2,C:7
122.8,C:7
123.0,C:7
123.2,C:7
123.4,C:min7
123.6,C:min7
123.8,F:7
124.0,F:7
124.2,A#:maj7
124.4,A#:maj7
124.6,A#:maj7
124.8,A#:maj7
125.0,E:hdim7
125.2,E:hdim7
125.4,E:hdim7
125.6,E:hdim7
125.8,A:7(b9)
126.0,A:7(b9)
126.2,A:7(b9)
126.4,A:7(b9)
