time,chord
96.000,F7
96.600,F7
97.200,F7
97.800,F7
98.800,A#7
99.000,A#7
101.000,A#7
101.200,A#7
103.400,A#7
103.600,A#7
104.600,A#7
105.600,F7
105.800,F7
108.000,F7
108.200,F7
110.400,F7
110.600,F7
112.600,F7
112.800,F7
115.000,F7
115.200,F7
117.400,F7
117.600,F7
119.800,F7
120.400,F7
121.000,A#7
121.200,A#7
123.400,A#7
123.600,A#7
125.000,A#7
125.600,A#7
126.200,A#7
126.800,A#7
127.800,A#7
128.000,A#7
130.200,A#7
130.400,A#7
132.600,F7
132.800,F7
134.200,F7
135.400,F7
135.600,F7
137.200,F7
137.800,A-7
138.800,A-7
139.000,A-7
141.000,D7
141.200,D7
142.200,D7
143.200,G-
143.400,G-
145.600,G-
145.800,G-
148.000,G-
148.200,G-
149.400,G-
150.000,C7
150.600,C7
151.200,C7
151.400,C7
153.600,C7
153.800,C7
156.000,F7
156.200,F7
157.600,F7
158.200,F7
158.800,F7
159.400,C7
160.000,C7
160.200,C7
162.400,C7
162.600,C7
163.200,C7
164.200,F7
165.000,F7
165.600,F7
166.200,F7
166.800,A#7
167.400,A#7
168.000,A#7
168.600,A#7
169.200,F7
169.800,F7
170.400,F7
171.000,F7
171.600,F7
172.200,F7
172.800,F7
173.400,F7
174.000,A#7
174.600,A#7
175.200,A#7
175.800,A#7
176.400,A#7
177.600,A#7
177.800,A#7
178.800,A#7
179.400,A#7
180.000,F7
180.600,F7
181.200,F7
183.000,F7
183.200,F7
184.800,A-7
185.400,A-7
186.000,D7
187.000,D7
187.200,D7
189.400,G-
189.600,G-
191.200,G-
191.800,G-
192.400,G-
193.000,C7
193.600,C7
194.200,C7
194.800,C7
196.600,F7
196.800,F7
199.000,F7
199.600,F7
201.800,F7
202.000,F7
204.200,C7
204.400,C7
205.600,C7
206.200,C7
206.800,C7
207.800,F7
208.000,F7
209.000,F7
209.600,F7
210.600,F7
210.800,F7
211.800,A#7
212.400,A#7
213.000,A#7
213.600,A#7
214.200,F7
214.800,F7
215.000,F7
217.200,F7
217.400,F7
219.200,F7
219.800,F7
220.400,F7
221.000,F7
221.600,F7
222.200,A#7
222.800,A#7
223.400,A#7
224.000,A#7
224.600,A#7
225.200,A#7
225.800,A#7
226.400,A#7
227.400,F7
227.600,F7
229.800,F7
230.000,F7
232.200,F7
232.400,F7
234.400,F7
235.000,A-7
235.600,A-7
237.400,D7
237.600,D7
239.800,D7
240.000,D7
242.200,G-
242.400,G-
244.600,G-
244.800,G-
247.000,G-
247.200,G-
249.400,G-
249.600,G-
251.800,C7
252.000,C7
254.200,C7
254.400,C7
256.600,C7
256.800,C7
259.000,C7
259.200,C7
261.400,F7
261.600,F7
262.400,F7
263.400,F7
263.600,F7
265.800,F7
266.000,F7
268.200,C7
268.400,C7
270.400,C7
272.200,C7
272.400,C7
274.000,C7
