time,chord
157.000,F-7
157.200,F-7
157.200,F-7
157.400,F-7
157.400,C79#
157.600,C79#
157.600,C79#
157.800,C79#
157.800,F-7
158.000,F-7
158.000,F-7
158.200,F-7
158.200,F79b
158.400,F79b
158.400,F79b
158.600,F79b
158.600,A#-7
158.800,A#-7
158.800,A#-7
159.000,A#-7
159.000,F79#
159.200,F79#
159.200,F79#
159.400,F79#
159.400,A#-7
159.600,A#-7
159.600,A#-7
159.800,A#-7
160.000,A#-7
160.200,A#-7
160.400,A#-7
160.600,A#-7
160.800,A#-7
161.000,A#-7
161.200,A#-7
161.400,A#-7
161.600,A#-7
161.800,C#bj7
162.000,C#bj7
162.200,C#bj7
162.400,C#bj7
162.600,C#bj7
162.800,C#bj7
163.000,C#bj7
163.200,C#bj7
163.400,D-7
163.600,D-7
163.800,D-7
164.000,D-7
164.200,G7
164.400,G7
164.600,G7
164.800,G7
165.000,Cj7
165.200,Cj7
165.200,Cj7
165.400,Cj7
165.600,Cj7
165.800,C#b-7
166.000,C#b-7
166.200,C#b-7
166.400,C#b-7
166.600,F#b7
166.800,F#b7
167.000,F#b7
167.000,B7
167.200,B7
167.200,B7
167.400,B7
167.600,B7
167.800,C-7
168.000,C-7
168.200,C-7
168.400,C-7
168.600,F7
168.800,F7
169.000,F7
169.200,F7
169.400,A#j7
169.600,A#j7
169.800,A#j7
170.000,A#j7
170.200,A#j7
170.400,A#j7
170.600,A#j7
170.800,A#j7
171.000,A#j7
171.200,A#j7
171.400,A#j7
171.600,A#j7
171.800,A#j7
172.000,A#j7
172.200,A#j7
172.400,A#j7
172.600,A#-7
172.800,A#-7
172.800,A#-7
173.000,A#-7
173.000,D#b7
173.200,D#b7
173.200,D#b7
173.400,D#b7
173.400,Gbj7
173.600,Gbj7
173.600,Gbj7
173.800,Gbj7
173.800,Gm7b5
174.000,Gm7b5
174.200,Gm7b5
174.400,C7
174.600,C7
174.800,C7
175.000,C7
175.200,F-7
175.400,F-7
175.600,F-7
175.800,F-7
176.000,F-7
176.200,F-7
176.400,F-7
176.400,C79#
176.600,C79#
176.600,C79#
176.800,C79#
176.800,F-7
177.000,F-7
177.000,F-7
177.200,F-7
177.200,F79b
177.400,F79b
177.400,F79b
177.600,F79b
177.600,A#-7
177.800,A#-7
177.800,A#-7
178.000,A#-7
178.000,F79#
178.200,F79#
178.200,F79#
178.400,F79#
178.400,A#-7
178.600,A#-7
178.600,A#-7
178.800,A#-7
178.800,A#-7
179.000,A#-7
179.000,A#-7
179.200,A#-7
179.200,C#bj7
