time,chord
71.0,Gj7
71.0,Gj7
71.2,Gj7
71.2,Gj7
71.4,Gj7
71.4,Gj7
71.6,Gj7
71.8,Gj7
72.0,Gj7
72.2,Gj7
72.4,G-7
72.6,G-7
72.8,G-7
73.0,G-7
73.2,C7
73.4,C7
73.6,C7
73.8,C7
74.0,G-7
74.2,G-7
74.4,G-7
74.6,G-7
74.8,C7
75.0,C7
75.2,C7
75.4,C7
75.6,Fj7
75.8,Fj7
76.0,Fj7
76.2,Fj7
76.4,Fj7
76.6,Fj7
76.8,Fj7
77.0,Fj7
77.2,Fj7
77.4,Fj7
77.6,Fj7
77.8,Fj7
77.8,Fj7
78.0,F-7
78.0,F-7
78.2,F-7
78.2,F-7
78.4,A#7
78.4,A#7
78.6,A#7
78.6,A#7
78.8,D#b7
78.8,D#b7
79.0,D#b7
79.0,D#b7
79.2,D7
79.2,D7
79.4,D7
79.4,D7
79.6,G-
79.6,G-
79.8,G-
79.8,G-
80.0,Cm7b5
80.0,Cm7b5
80.2,D7
80.2,D7
80.4,B7
80.4,B7
80.6,B7
80.6,B7
80.8,E7
80.8,E7
81.0,E7
81.0,E7
81.2,A-7
81.2,A-7
81.4,A-7
81.4,A-7
81.6,D7
81.6,D7
81.8,D7
81.8,D7
82.0,Gj7
82.0,Gj7
82.2,Gj7
82.2,Gj7
82.4,Gj7
82.4,Gj7
82.6,Gj7
82.6,Gj7
82.8,G-7
82.8,G-7
83.0,C7
83.0,C7
83.2,G-7
83.2,G-7
83.4,C7
83.4,C7
83.6,Fj7
83.6,Fj7
83.8,Fj7
83.8,Fj7
84.0,Fj7
84.0,Fj7
84.2,Fj7
84.4,Fj7
84.6,Fj7
84.8,Fj7
85.0,F-7
85.2,F-7
85.4,F-7
85.6,F-7
85.8,F-7
86.0,F-7
86.2,F-7
86.4,F-7
86.6,A#7
86.8,A#7
87.0,A#7
87.2,A#7
87.4,A#7
87.6,A#7
87.8,A#7
88.0,A#7
88.2,D#b7
88.4,D#b7
88.6,D#b7
88.8,D#b7
89.0,D#b7
89.0,D#b7
89.2,D7
89.2,D7
89.4,D7
89.4,D7
89.6,G
89.6,G
89.8,G
89.8,G
90.0,A-7
90.0,A-7
90.2,D7
90.2,D7
90.4,G/B
90.6,G/B
90.6,A#7
90.8,A#7
90.8,A-7
91.0,A-7
91.0,Gb7
91.2,Gb7
91.2,Gj7
91.4,Gj7
91.4,Gj7
91.6,Gj7
91.6,A-7
91.8,A-7
91.8,D7
92.0,D7
92.0,Gj7
92.2,Gj7
92.2,Gj7
92.4,Gj7
92.4,Gj7
92.6,Gj7
92.6,Gj7
92.8,Gj7
93.0,Gj7
93.2,G-7
93.4,G-7
93.6,G-7
93.8,G-7
94.0,C7
94.2,C7
94.4,C7
94.4,G-7
94.6,G-7
94.6,C7
94.8,C7
95.0,C7
95.2,Fj7
95.4,Fj7
95.6,Fj7
95.8,Fj7
96.0,Fj7
96.2,Fj7
96.4,Fj7
96.6,Fj7
96.8,Fj7
97.0,Fj7
97.2,Fj7
97.4,Fj7
97.6,Fj7
97.8,Fj7
98.0,Fj7
98.2,Fj7
98.4,F-7
98.6,F-7
98.8,F-7
99.0,F-7
99.2,F-7
99.4,F-7
99.4,A#7
99.6,A#7
99.6,A#7
99.8,A#7
99.8,D#b7
100.0,D#b7
100.0,D#b7
100.2,D#b7
100.2,D7
100.4,D7
100.4,D7
100.6,D7
100.6,G-
100.8,G-
100.8,G-
101.0,G-
101.0,Cm7b5
101.2,Cm7b5
101.2,D7
101.4,D7
101.4,B7
101.6,B7
101.6,B7
101.8,B7
102.0,B7
102.2,E7
102.4,E7
102.6,E7
102.8,E7
103.0,E7
103.2,E7
103.4,E7
103.6,E7
103.8,A-7
104.0,A-7
104.2,A-7
104.4,A-7
104.6,A-7
104.8,A-7
105.0,A-7
105.2,D7
105.4,D7
105.4,D7
105.6,D7
105.8,D7
106.0,Gj7
106.2,Gj7
106.4,Gj7
106.6,Gj7
106.8,Gj7
107.0,Gj7
107.2,Gj7
107.4,Gj7
107.6,Gj7
107.8,Gj7
108.0,Gj7
108.2,Gj7
108.4,Gj7
108.6,Gj7
108.8,Gj7
109.0,Gj7
109.2,G-7
109.4,G-7
109.6,G-7
109.8,G-7
110.0,C7
110.2,C7
110.4,C7
110.4,G-7
110.6,G-7
110.6,C7
110.8,C7
110.8,Fj7
111.0,Fj7
111.0,Fj7
111.2,Fj7
111.2,Fj7
111.4,Fj7
111.4,Fj7
111.6,Fj7
111.6,F-7
111.8,F-7
111.8,F-7
112.0,F-7
112.2,F-7
112.4,A#7
112.6,A#7
112.8,A#7
113.0,A#7
113.2,A#7
113.4,A#7
113.6,A#7
113.8,A#7
114.0,D#b7
114.2,D#b7
114.4,D#b7
