time,chord
12.310,F-7
13.315,C79#
14.290,F-7
15.270,F79b
16.265,Bb-7
17.235,F79#
18.225,Bb-7
19.185,Bb-7
20.160,Dbj7
21.120,D-7
21.610,G7
22.080,Cj7
23.060,Db-7
23.550,Gb7
24.020,Bj7
24.985,C-7
25.465,F7
25.930,Bbj7
26.885,Bbj7
27.820,Bb-7
28.790,Eb7
29.720,Abj7
30.630,Gm7b5
31.095,C7
31.580,F-7
32.550,C79#
33.530,F-7
34.480,F79b
35.440,Bb-7
36.390,F79#
37.365,Bb-7
38.320,Bb-7
39.315,Dbj7
40.280,Dm7b5
40.770,G7
41.240,Cm7b5
41.720,Gb7
42.205,F7
42.690,B7
43.185,Bb-7
44.145,Eb7
45.175,Ab6
46.005,N.C.
46.930,F-7
47.930,C79#
48.900,F-7
49.880,F79b
50.830,Bb-7
51.810,F79#
52.770,Bb-7
53.720,Bb-7
54.670,Dbj7
55.640,D-7
56.120,G7
56.590,Cj7
57.530,Db-7
58.010,Gb7
58.490,Bj7
59.420,C-7
59.890,F7
60.350,Bbj7
61.330,Bbj7
62.310,Bb-7
63.290,Eb7
64.250,Abj7
65.180,Gm7b5
65.670,C7
66.150,F-7
67.120,C79#
68.060,F-7
69.040,F79b
70.000,Bb-7
70.930,F79#
71.860,Bb-7
72.820,Bb-7
73.740,Dbj7
74.700,Dm7b5
75.190,G7
75.680,Cm7b5
76.150,Gb7
76.630,F7
77.100,B7
77.590,Bb-7
78.550,Eb7
79.480,Ab6
80.430,Gm7b5
80.900,C79b
81.360,F-7
82.300,C79#
83.230,F-7
84.140,F79b
85.100,Bb-7
86.030,F79#
86.990,Bb-7
87.930,Bb-7
88.870,Dbj7
89.840,D-7
90.330,G7
90.810,Cj7
91.760,Db-7
92.240,Gb7
92.730,Bj7
93.680,C-7
94.160,F7
94.610,Bbj7
95.570,Bbj7
96.530,Bb-7
97.520,Eb7
98.470,Abj7
99.430,Gm7b5
99.900,C7
100.360,F-7
101.310,C79#
102.260,F-7
103.210,F79b
104.160,Bb-7
105.110,F79#
106.000,Bb-7
106.900,Bb-7
107.770,Dbj7
108.680,Dm7b5
109.160,G7
109.650,Cm7b5
110.120,Gb7
110.590,F7
111.110,B7
111.640,Bb-7
112.640,Eb7
113.550,Ab6
114.480,Gm7b5
114.940,C79b
115.400,F-7
116.340,C79#
117.280,F-7
118.230,F79b
119.170,Bb-7
120.130,F79#
121.010,Bb-7
121.950,Bb-7
122.900,Dbj7
123.840,D-7
124.290,G7
124.790,Cj7
125.740,Db-7
126.210,Gb7
126.710,Bj7
127.670,C-7
128.100,F7
128.560,Bbj7
129.470,Bbj7
130.360,Bb-7
131.340,Eb7
132.260,Abj7
133.150,Gm7b5
133.610,C7
134.050,F-7
135.010,C79#
135.950,F-7
136.880,F79b
137.810,Bb-7
138.760,F79#
139.730,Bb-7
140.670,Bb-7
141.610,Dbj7
142.560,Dm7b5
143.040,G7
143.510,Cm7b5
143.970,Gb7
144.410,F7
144.830,B7
145.270,Bb-7
146.230,Eb7
147.160,Ab6
148.120,Gm7b5
148.620,C79b
149.110,F-7
150.060,C79#
151.020,F-7
151.970,F79b
152.920,Bb-7
153.880,F79#
154.810,Bb-7
155.760,Bb-7
156.730,Dbj7
157.680,D-7
158.160,G7
158.640,Cj7
159.580,Db-7
160.070,Gb7
160.540,Bj7
161.480,C-7
161.950,F7
162.430,Bbj7
163.360,Bbj7
164.320,Bb-7
165.250,Eb7
166.200,Abj7
167.140,Gm7b5
167.600,C7
168.070,F-7
169.040,C79#
169.990,F-7
170.910,F79b
171.840,Bb-7
172.780,F79#
173.740,Bb-7
174.680,Bb-7
175.640,Dbj7
176.650,Dm7b5
177.120,G7
177.610,Cm7b5
178.060,Gb7
178.500,F7
178.950,B7
179.400,Bb-7
180.350,Eb7
181.300,Ab6
182.270,Gm7b5
182.740,C79b
183.220,F-7
184.170,C79#
185.130,F-7
186.070,F79b
187.000,Bb-7
187.940,F79#
188.900,Bb-7
189.850,Bb-7
190.810,Dbj7
191.740,D-7
192.230,G7
192.710,Cj7
193.680,Db-7
194.150,Gb7
194.630,Bj7
195.580,C-7
196.060,F7
196.550,Bbj7
197.490,Bbj7
198.410,Bb-7
199.370,Eb7
200.310,Abj7
201.260,Gm7b5
201.750,C7
202.240,F-7
203.200,C79#
204.130,F-7
205.090,F79b
206.030,Bb-7
206.960,F79#
207.890,Bb-7
208.840,Bb-7
209.790,Dbj7
210.730,Dm7b5
211.210,G7
211.680,Cm7b5
212.150,Gb7
212.630,F7
213.110,B7
213.580,Bb-7
214.510,Eb7
215.460,Ab6
216.390,Gm7b5
216.870,C79b
217.320,N.C.
270.070,F-7
271.096,C79#
272.045,F-7
272.990,F79b
273.970,Bb-7
274.950,F79#
275.920,Bb-7
276.885,Bb-7
277.870,Dbj7
278.845,D-7
279.330,G7
279.805,Cj7
280.770,Db-7
281.245,Gb7
281.720,Bj7
282.675,C-7
283.165,F7
283.645,Bbj7
284.565,Bbj7
285.515,Bb-7
286.460,Eb7
287.405,Abj7
288.325,Gm7b5
288.800,C7
289.290,F-7
290.255,C79#
291.205,F-7
292.165,F79b
293.145,Bb-7
294.115,F79#
295.115,Bb-7
296.080,Bb-7
297.080,Dbj7
298.065,Dm7b5
298.555,G7
299.035,Cm7b5
299.530,Gb7
300.025,F7
300.500,B7
300.985,Bb-7
301.935,Eb7
302.855,Ab6
