time,chord
43.2,G-7
43.2,G-7
43.4,C7
43.4,C7
43.6,G-7
43.6,G-7
43.8,C7
43.8,C7
44.0,G-7
44.0,G-7
44.2,C7
44.2,C7
44.4,G-7
44.4,G-7
44.6,C7
44.6,C7
44.8,F6
44.8,F6
45.0,D-7
45.0,D-7
45.2,G-7
45.2,G-7
45.4,C7
45.4,C7
45.6,F6
45.6,F6
45.8,F6
45.8,F6
46.0,A-7
46.0,A-7
46.2,D7
46.2,D7
46.4,G-7
46.4,G-7
46.6,C7
46.6,C7
46.8,G-7
46.8,G-7
47.0,C7
47.0,C7
47.2,G-7
47.2,G-7
47.4,C7
47.4,C7
47.6,G-7
47.6,G-7
47.8,C7
47.8,C7
48.0,F6
48.0,F6
48.2,D-7
48.2,D-7
48.4,G-7
48.4,G-7
48.6,C7
48.6,C7
48.8,F6
48.8,F6
49.0,F6
49.0,F6
49.2,F6
49.2,F6
49.4,F6
49.4,F6
49.6,F7
49.6,F7
49.8,F7
49.8,F7
50.0,C-7
50.0,C-7
50.2,F7
50.2,F7
50.4,A#6
50.4,A#6
50.6,A#6
50.6,A#6
50.8,A#6
50.8,A#6
51.0,A#6
51.0,A#6
51.2,G7
51.2,G7
51.4,G7
51.4,G7
51.6,G7
51.6,G7
51.8,G7
52.0,G7
52.2,G7
52.4,G7
52.6,C7
52.8,C7
53.0,C7
53.2,C7
53.4,C7
53.6,C7
53.8,C7
54.0,C7
54.2,C7
54.4,C7
54.6,C7
54.8,C7
55.0,C7
55.2,C7
55.4,G-7
55.4,G-7
55.6,C7
55.6,C7
55.8,G-7
55.8,G-7
56.0,C7
56.0,C7
56.2,G-7
56.2,G-7
56.4,C7
56.4,C7
56.6,G-7
56.6,G-7
56.8,C7
56.8,C7
57.0,F6
57.0,F6
57.2,D-7
57.2,D-7
57.4,G-7
57.4,G-7
57.6,C7
57.6,C7
57.8,F6
57.8,F6
58.0,F6
58.0,F6
58.2,A-7
58.2,A-7
58.4,D7
58.4,D7
58.6,G-7
58.6,G-7
58.8,C7
58.8,C7
59.0,G-7
59.0,G-7
59.2,C7
59.2,C7
59.4,G-7
59.4,G-7
59.6,C7
59.6,C7
59.8,G-7
59.8,G-7
60.0,C7
60.2,C7
60.4,C7
60.6,C7
60.8,F6
61.0,F6
61.0,D-7
61.2,D-7
61.2,G-7
61.4,G-7
61.4,C7
61.6,C7
61.6,F6
61.8,F6
61.8,F6
62.0,F6
62.0,A-7
62.2,A-7
62.2,D7
62.4,D7
62.4,G-7
62.6,G-7
62.6,C7
62.8,C7
62.8,G-7
63.0,G-7
63.0,C7
63.2,C7
63.2,G-7
63.4,G-7
63.4,C7
63.6,C7
63.6,G-7
63.8,G-7
63.8,C7
64.0,C7
64.0,F6
64.2,F6
64.2,D-7
64.4,D-7
64.4,G-7
64.6,G-7
64.6,C7
64.8,C7
64.8,F6
65.0,F6
65.0,F6
65.2,F6
65.2,F6
65.4,F6
65.4,F6
65.6,F6
65.8,F6
66.0,F7
66.2,F7
66.4,F7
66.6,F7
66.8,F7
67.0,F7
67.2,F7
67.4,F7
67.6,C-7
67.8,C-7
68.0,C-7
68.2,C-7
68.4,F7
68.6,F7
68.8,F7
69.0,F7
69.2,A#6
69.4,A#6
69.6,A#6
69.8,A#6
70.0,A#6
70.2,A#6
70.4,A#6
70.6,A#6
70.8,A#6
71.0,A#6
71.2,A#6
71.4,A#6
71.6,A#6
71.8,A#6
72.0,A#6
72.2,A#6
72.4,G7
72.6,G7
72.8,G7
73.0,G7
73.2,G7
73.4,G7
73.6,G7
73.8,G7
74.0,G7
74.2,G7
74.4,G7
74.6,G7
74.8,G7
75.0,G7
75.2,G7
75.4,G7
75.6,C7
75.8,C7
76.0,C7
76.2,C7
76.4,C7
76.6,C7
76.8,C7
77.0,C7
77.2,C7
77.4,C7
77.6,C7
77.8,C7
78.0,C7
78.2,C7
78.4,C7
78.6,C7
78.8,G-7
79.0,G-7
79.2,G-7
79.4,G-7
79.6,C7
79.8,C7
80.0,C7
80.2,C7
80.4,G-7
80.6,G-7
80.8,G-7
81.0,G-7
81.2,C7
81.4,C7
81.6,C7
81.8,C7
82.0,G-7
82.2,G-7
82.4,G-7
82.6,G-7
82.8,C7
83.0,C7
83.2,C7
83.4,C7
83.6,G-7
83.8,G-7
84.0,G-7
84.2,G-7
84.4,C7
84.6,C7
84.8,C7
85.0,C7
85.2,F6
85.4,F6
85.6,F6
85.8,F6
86.0,D-7
86.2,D-7
86.4,D-7
86.6,D-7
86.8,G-7
87.0,G-7
87.2,G-7
87.4,G-7
87.6,C7
87.8,C7
88.0,C7
88.2,C7
88.4,F6
88.6,F6
88.8,F6
89.0,F6
89.2,F6
89.4,F6
89.6,F6
89.8,A-7
90.0,A-7
90.0,D7
90.2,D7
90.4,D7
90.6,G-7
90.8,G-7
91.0,G-7
91.2,C7
91.4,C7
91.6,C7
91.8,C7
92.0,G-7
92.2,G-7
92.4,G-7
92.6,G-7
92.8,C7
93.0,C7
93.2,C7
93.4,C7
93.6,G-7
93.8,G-7
94.0,G-7
94.2,G-7
94.4,C7
94.6,C7
94.8,C7
95.0,C7
95.2,G-7
95.4,G-7
95.6,G-7
95.8,G-7
96.0,C7
96.2,C7
96.4,C7
96.6,C7
96.8,F6
97.0,F6
97.2,F6
97.4,D-7
97.4,D-7
97.6,G-7
97.6,G-7
97.8,C7
97.8,C7
98.0,F6
98.0,F6
98.2,F6
98.2,F6
98.4,A-7
98.4,A-7
98.6,D7
98.6,D7
98.8,G-7
98.8,G-7
99.0,C7
99.0,C7
99.2,G-7
99.2,G-7
99.4,C7
99.4,C7
99.6,G-7
99.6,G-7
99.8,C7
99.8,C7
100.0,G-7
100.2,G-7
100.4,G-7
100.6,G-7
100.8,C7
100.8,C7
101.0,F6
101.0,F6
101.2,D-7
101.2,D-7
101.4,G-7
101.6,G-7
101.6,C7
101.8,C7
102.0,C7
102.2,F6
102.4,F6
102.6,F6
102.8,F6
103.0,F6
103.2,F6
103.4,F6
103.6,F6
103.8,F6
104.0,F6
104.2,F6
104.4,F6
104.6,F6
104.8,F6
105.0,F6
105.2,F6
105.4,F7
105.6,F7
105.8,F7
106.0,F7
106.2,F7
106.4,F7
106.6,F7
106.8,F7
107.0,C-7
107.2,C-7
107.4,C-7
107.6,C-7
107.8,F7
108.0,F7
108.2,F7
108.4,F7
108.6,A#6
108.8,A#6
109.0,A#6
109.2,A#6
109.4,A#6
109.6,A#6
109.8,A#6
110.0,A#6
110.2,A#6
110.4,A#6
110.6,A#6
110.8,A#6
111.0,A#6
111.2,A#6
