time,chord
27.190,C:maj7
28.870,Ab:dim7
30.580,G:min7
32.230,C:7
33.920,F:maj7
35.590,F:min7
37.300,E:7
39.000,A:7
40.700,D:7
42.410,Ab:7
43.260,G:7
44.120,C:min7
45.830,C:min7
47.520,C:maj7
49.230,Ab:dim7
50.950,G:min7
52.660,C:7
54.390,F:maj7
56.080,F:min7
57.810,E:7
59.510,A:7
61.210,D:7
62.910,Ab:7
63.770,G:7
64.620,C:min7
66.330,C:min7
68.010,F:min7
69.710,Bb:7
71.430,G:min7
73.150,G:min7
74.870,Eb:min7
76.560,Ab:7
78.280,F:min7
79.990,G:7
81.710,C:maj7
83.450,Ab:dim7
85.200,G:min7
86.910,C:7
88.640,F:maj7
90.350,F:min7
92.090,E:7
93.800,A:7
95.520,D:7
97.250,Ab:7
98.110,G:7
98.960,C:min7
100.670,C:min7
102.350,C:maj7
104.080,Ab:dim7
105.780,G:min7
107.500,C:7
109.220,F:maj7
110.950,F:min7
112.670,E:7
114.380,A:7
116.090,D:7
117.790,Ab:7
118.640,G:7
119.490,C:min7
121.190,C:min7
122.890,C:maj7
124.600,Ab:dim7
126.320,G:min7
128.010,C:7
129.730,F:maj7
131.430,F:min7
133.120,E:7
134.820,A:7
136.540,D:7
138.240,Ab:7
139.090,G:7
139.930,C:min7
141.660,C:min7
143.350,F:min7
145.070,Bb:7
146.790,G:min7
148.530,G:min7
150.250,Eb:min7
151.960,Ab:7
153.680,F:min7
155.420,G:7
157.150,C:maj7
158.870,Ab:dim7
160.600,G:min7
162.340,C:7
164.100,F:maj7
165.840,F:min7
167.580,E:7
169.310,A:7
171.050,D:7
172.730,Ab:7
173.590,G:7
174.450,C:min7
176.180,C:min7
177.870,C:maj7
179.600,Ab:dim7
181.320,G:min7
183.030,C:7
184.710,F:maj7
186.400,F:min7
188.090,E:7
189.780,A:7
191.490,D:7
193.230,Ab:7
194.080,G:7
194.950,C:min7
196.650,C:min7
198.350,C:maj7
200.070,Ab:dim7
201.780,G:min7
203.470,C:7
205.180,F:maj7
206.870,F:min7
208.560,E:7
210.260,A:7
211.940,D:7
213.640,Ab:7
214.490,G:7
215.330,C:min7
217.040,C:min7
218.740,F:min7
220.470,Bb:7
222.220,G:min7
223.890,G:min7
225.610,Eb:min7
227.300,Ab:7
229.020,F:min7
230.730,G:7
232.470,C:maj7
234.190,Ab:dim7
235.920,G:min7
237.630,C:7
239.350,F:maj7
241.080,F:min7
242.830,E:7
244.540,A:7
246.230,D:7
247.910,Ab:7
248.770,G:7
249.630,C:min7
