time,chord
15.330,Ab:maj7
17.380,F:min7
19.330,Bb:min7
21.420,Eb:7
23.410,C:min7
25.370,F:min7
27.360,Bb:min7
29.300,G:hdim7
30.290,C:7
31.320,F:min7
33.310,F#:7
35.270,Ab:maj/5
37.320,C:min7
38.270,Cb:min7
39.260,Bb:min7
41.180,Eb:7
43.210,C:min7
44.260,B:7
45.220,E:7
46.280,A:7
47.250,Ab:maj7
49.220,F:min7
51.240,Bb:min7
53.280,Eb:7
55.250,C:min7
57.250,F:min7
59.170,Bb:min7
61.170,G:hdim7
62.110,C:7
63.100,F:min7
65.030,F#:7
66.990,Ab:maj
68.930,C:min7
69.890,Cb:min7
70.850,Bb:min7
72.750,Eb:7
74.740,Ab:maj6
76.680,D:hdim7
77.690,G:7
78.670,C:maj7
80.710,A:7
82.700,D:min7
84.640,G:7
86.590,C:maj7
90.500,E:min7
91.430,Eb:7
92.430,D:min7
93.420,Db:7
94.420,C:maj7
96.500,C#:dim7
98.400,D:min7
100.480,G:7
102.460,C:7
104.380,F:7
106.420,Bb:min7
108.440,Eb:7
110.460,Ab:maj7
112.540,F:min7
114.590,Bb:min7
116.640,Eb:7
118.710,C:min7
120.770,F:min7
122.900,Bb:min7
124.950,G:hdim7
125.960,C:7
126.980,F:min7
128.960,F#:7
130.990,Ab:maj/5
132.050,Db:7
133.090,C:min7
134.130,Cb:min7
135.180,Bb:min7
137.220,Eb:7
139.290,Ab:maj6
141.330,D:hdim7
142.390,G:7
143.390,C:maj7
145.460,A:min7
147.510,D:min7
149.560,G:7
151.530,C:maj7
155.570,E:min7
156.540,Eb:7
157.530,D:min7
158.580,Db:7
159.560,C:maj7
161.570,C#:dim7
163.540,D:min7
165.540,G:7
167.570,C:7
169.550,F:7
171.600,Bb:min7
173.600,Eb:7
175.600,Ab:maj7
177.690,F:min7
179.710,Bb:min7
181.790,Eb:7
183.780,C:min7
185.780,F:min7
187.840,Bb:min7
189.860,G:hdim7
190.830,C:7
191.810,F:min7
193.840,F#:7
195.910,Ab:maj/5
196.900,Db:7
197.960,C:min7
198.950,Cb:min7
199.970,Bb:min7
