time,chord
121.6,F-
121.6,F-
121.8,F-
121.8,F-
122.0,F-j7
122.0,F-j7
122.2,F-j7
122.2,F-j7
122.4,F-7
122.4,F-7
122.6,F-7
122.6,F-7
122.8,F-6
122.8,F-6
123.0,F-6
123.0,F-6
123.2,C#j7
123.2,C#j7
123.4,C#j7
123.4,C#j7
123.6,A#-7
123.6,A#-7
123.8,A#-7
124.0,A#-7
124.2,A#-7
124.4,A#-7
124.6,Gm7b5
124.8,Gm7b5
125.0,Gm7b5
125.2,Gm7b5
125.4,Gm7b5
125.6,Gm7b5
125.8,Gm7b5
126.0,C79b
126.2,C79b
126.4,C79b
126.6,C79b
126.8,C79b
127.0,C79b
127.2,C79b
127.4,C79b
127.6,F-
127.8,F-
128.0,F-
128.2,F-
128.4,F-
128.6,F-
128.8,F-
128.8,F-j7
129.0,F-j7
129.0,F-j7
129.2,F-j7
129.2,F-7
129.4,F-7
129.4,F-7
129.6,F-7
129.8,F-7
130.0,F-6
130.2,F-6
130.4,F-6
130.6,F-6
130.8,F-6
131.0,F-6
131.2,F-6
131.4,F-6
131.6,C#j7
131.8,C#j7
132.0,C#j7
132.2,C#j7
132.4,C#j7
132.6,C#j7
132.8,C#j7
133.0,C#j7
133.2,A#-7
133.4,A#-7
133.6,A#-7
133.8,A#-7
134.0,A#-7
134.2,A#-7
134.4,A#-7
134.6,A#-7
134.8,A#-7
135.0,A#-7
135.2,A#-7
135.4,A#-7
135.6,A#-7
135.8,A#-7
136.0,A#-7
136.2,A#-7
136.4,D#7
136.6,D#7
136.6,D#7
136.8,D#7
136.8,Gbj7
137.0,Gbj7
137.0,A#-7
137.2,A#-7
137.2,C-7
137.4,C-7
137.4,A#-7
137.6,A#-7
137.6,Gbj7
137.8,Gbj7
137.8,A#-7
138.0,A#-7
138.0,C-7
138.2,C-7
138.2,A#-7
138.4,A#-7
138.6,A#-7
138.8,Gbj7
139.0,Gbj7
139.2,C7
139.2,C7
139.4,F-7
139.4,F-7
139.6,D#-7
139.6,D7
139.8,C#j7
139.8,C#j7
140.0,C#j7
140.2,C#j7
140.2,Gm7b5
140.4,Gm7b5
140.6,Gm7b5
140.8,C7
141.0,C7
141.2,C7
141.4,C7
141.6,F-
141.8,F-
142.0,F-
142.2,F-
142.4,F-
142.6,F-
142.8,F-
143.0,F-
143.2,F-j7
143.4,F-j7
143.6,F-j7
143.8,F-j7
144.0,F-j7
144.2,F-j7
144.4,F-j7
144.6,F-j7
144.8,F-7
145.0,F-7
145.2,F-7
145.4,F-7
145.6,F-7
145.8,F-7
146.0,F-7
146.2,F-7
146.4,F-6
146.6,F-6
146.8,F-6
147.0,F-6
147.2,F-6
147.4,F-6
147.6,F-6
147.8,F-6
148.0,C#j7
148.2,C#j7
148.4,C#j7
148.6,C#j7
148.8,C#j7
149.0,C#j7
149.2,C#j7
149.4,C#j7
149.6,Gm7b5
149.8,Gm7b5
150.0,Gm7b5
150.2,Gm7b5
150.4,C79b
150.6,C79b
150.6,F-7
150.8,F-7
150.8,E7
151.0,E7
151.2,E7
151.4,D#-7
151.6,D#-7
151.8,D#-7
152.0,D#-7
152.2,Gb7
152.4,Gb7
152.4,C#j7
152.6,C#j7
152.6,C#j7
152.8,C#j7
152.8,A#-79
153.0,A#-79
153.0,D#7
153.2,D#7
153.4,D#7
153.6,Gb6
153.8,Gb6
154.0,Gb6
154.2,Gb6
154.4,Gb6
154.6,Gb6
154.8,Gb6
155.0,Gb6
155.2,Gm7b5
155.4,Gm7b5
155.6,Gm7b5
155.8,Gm7b5
156.0,C7
156.2,C7
156.4,C7
156.6,C7
156.8,F-
157.0,F-
157.2,F-
157.4,F-
157.4,F-
157.6,F-j7
157.6,F-j7
157.8,F-j7
157.8,F-j7
158.0,F-7
158.0,F-7
158.2,F-7
158.2,F-7
158.4,F-6
158.6,F-6
158.8,F-6
158.8,F-6
159.0,F-6
159.0,C#j7
159.2,C#j7
159.2,C#j7
159.4,C#j7
159.4,A#-7
159.6,A#-7
159.6,A#-7
159.8,A#-7
160.0,A#-7
160.2,Gm7b5
160.4,Gm7b5
160.6,Gm7b5
160.8,Gm7b5
161.0,Gm7b5
161.2,Gm7b5
161.4,Gm7b5
161.6,Gm7b5
161.8,C79b
162.0,C79b
162.2,C79b
162.4,C79b
162.4,C79b
162.6,F-
162.6,F-
162.8,F-
162.8,F-
163.0,F-j7
163.2,F-j7
163.4,F-j7
163.6,F-j7
163.8,F-j7
164.0,F-j7
164.2,F-j7
164.4,F-j7
164.6,F-7
164.8,F-7
165.0,F-7
165.2,F-7
165.4,F-7
165.6,F-7
165.8,F-7
166.0,F-7
166.2,F-6
166.4,F-6
166.6,F-6
166.8,F-6
167.0,F-6
167.2,F-6
167.4,F-6
167.6,F-6
167.8,C#j7
168.0,C#j7
168.2,C#j7
168.2,C#j7
168.4,A#-7
168.4,A#-7
168.6,A#-7
168.6,A#-7
168.8,A#-7
169.0,A#-7
169.2,A#-7
169.4,A#-7
169.6,A#-7
169.8,A#-7
170.0,A#-7
170.2,A#-7
170.4,D#7
170.6,D#7
170.8,D#7
171.0,D#7
171.2,D#7
171.4,D#7
171.6,D#7
171.8,Gbj7
172.0,Gbj7
172.0,A#-7
172.2,A#-7
172.2,C-7
172.4,C-7
172.4,A#-7
172.6,A#-7
172.8,A#-7
173.0,Gbj7
173.2,Gbj7
173.4,Gbj7
173.6,Gbj7
173.8,A#-7
174.0,A#-7
174.2,A#-7
174.4,A#-7
174.6,C-7
174.8,C-7
175.0,C-7
175.2,C-7
175.4,A#-7
175.6,A#-7
175.8,A#-7
176.0,A#-7
176.2,Gbj7
176.4,Gbj7
176.6,Gbj7
176.8,Gbj7
177.0,C7
177.2,C7
177.4,C7
177.6,C7
177.8,F-7
178.0,F-7
178.2,F-7
178.4,F-7
178.6,D#-7
178.8,D#-7
179.0,D7
179.2,D7
179.4,C#j7
179.6,C#j7
179.8,C#j7
180.0,C#j7
180.2,C#j7
180.4,C#j7
180.6,C#j7
180.8,Gm7b5
180.8,Gm7b5
181.0,C7
181.0,C7
181.2,F-
181.2,F-
181.4,F-
181.4,F-
181.6,F-j7
181.6,F-j7
181.8,F-j7
181.8,F-j7
182.0,F-7
182.0,F-7
182.2,F-7
182.2,F-7
182.4,F-6
182.4,F-6
182.6,F-6
182.6,F-6
182.8,C#j7
182.8,C#j7
183.0,C#j7
183.2,C#j7
183.4,C#j7
183.4,Gm7b5
183.6,Gm7b5
183.6,C79b
183.8,C79b
183.8,F-7
184.0,F-7
184.0,E7
184.2,E7
184.2,D#-7
184.4,D#-7
184.4,Gb7
184.6,Gb7
184.6,C#j7
184.8,C#j7
184.8,C#j7
185.0,C#j7
185.0,A#-79
185.2,A#-79
185.2,D#7
185.4,D#7
185.4,Gb6
185.6,Gb6
185.6,Gb6
185.8,Gb6
186.0,Gb6
186.2,Gm7b5
186.2,Gm7b5
186.4,C7
186.4,C7
186.6,F-
186.6,F-
186.8,F-
186.8,F-
187.0,F-j7
187.0,F-j7
187.2,F-j7
187.2,F-j7
187.4,F-7
187.4,F-7
187.6,F-7
187.6,F-7
187.8,F-6
187.8,F-6
188.0,F-6
188.0,F-6
188.2,C#j7
188.2,C#j7
188.4,C#j7
188.4,C#j7
188.6,A#-7
188.6,A#-7
188.8,A#-7
188.8,A#-7
189.0,Gm7b5
189.0,Gm7b5
189.2,Gm7b5
189.2,Gm7b5
189.4,C79b
189.4,C79b
189.6,C79b
189.6,C79b
189.8,F-
189.8,F-
190.0,F-
190.0,F-
190.2,F-j7
190.2,F-j7
190.4,F-j7
190.4,F-j7
190.6,F-7
190.6,F-7
190.8,F-7
190.8,F-7
191.0,F-6
191.0,F-6
191.2,F-6
191.2,F-6
191.4,C#j7
191.4,C#j7
191.6,C#j7
191.6,C#j7
191.8,A#-7
191.8,A#-7
192.0,A#-7
192.0,A#-7
192.2,A#-7
192.2,A#-7
192.4,A#-7
192.4,A#-7
192.6,D#7
192.6,D#7
192.8,D#7
192.8,D#7
193.0,Gbj7
193.0,Gbj7
193.2,A#-7
193.2,A#-7
193.4,C-7
193.4,C-7
193.6,A#-7
193.6,A#-7
193.8,Gbj7
193.8,Gbj7
194.0,A#-7
194.0,A#-7
194.2,C-7
194.2,C-7
194.4,A#-7
194.4,A#-7
194.6,Gbj7
194.6,Gbj7
194.8,C7
194.8,C7
195.0,F-7
195.0,F-7
195.2,D#-7
195.2,D7
195.4,C#j7
195.4,C#j7
195.6,C#j7
195.6,C#j7
195.8,Gm7b5
195.8,Gm7b5
196.0,C7
196.0,C7
196.2,F-
196.2,F-
196.4,F-
196.4,F-
196.6,F-j7
196.6,F-j7
196.8,F-j7
196.8,F-j7
197.0,F-7
197.0,F-7
197.2,F-7
197.2,F-7
197.4,F-6
197.4,F-6
197.6,F-6
197.6,F-6
197.8,C#j7
197.8,C#j7
198.0,C#j7
198.0,C#j7
198.2,Gm7b5
198.2,Gm7b5
198.4,C79b
198.4,C79b
198.6,F-7
198.6,F-7
198.8,E7
198.8,E7
199.0,D#-7
199.0,D#-7
199.2,Gb7
199.2,Gb7
199.4,C#j7
199.4,C#j7
199.6,C#j7
199.6,C#j7
199.8,A#-79
199.8,A#-79
200.0,D#7
