time,chord
7.480,A:maj7
10.780,A:maj7
13.910,A:maj7
17.100,A:maj7
20.290,A:maj7
23.490,C:dim
26.510,B:min7
29.670,E:7
32.880,B:min7
36.110,E:7
39.330,B:min7
42.520,E:7
45.740,B:min7
49.000,E:7
52.240,A:maj7
55.510,A:maj7
58.770,A:7
62.030,A:7
65.310,C#:hdim7
68.540,F#:7
71.770,B:min7
74.990,B:min7
78.280,D:min7
79.930,G:7
81.490,B:min7
83.180,E:7
84.840,A:maj7
88.130,A:maj7
91.460,C#:hdim7
94.790,F#:7
97.980,B:min7
101.320,E:7
104.650,A:maj7
108.040,A:maj7
111.390,A:7
114.710,A:7
118.070,C#:hdim7
121.400,F#:7
124.740,B:min7
128.000,B:min7
131.320,D:min7
133.000,G:7
134.710,B:min7
136.420,Bb:7
138.190,A:maj7
141.610,A:maj7
144.980,C#:hdim7
148.410,F#:7
151.780,B:min7
155.200,E:7
158.720,A:maj7
