time,chord
14.650,D:min7
15.500,G:7
16.340,C:maj7
17.160,F:maj7
18.000,B:hdim7
18.845,E:7
19.690,A:min7
20.540,Eb:7
21.380,D:min7
22.195,G:7
23.030,E:min7
23.860,A:7
24.690,D:min7
25.525,G:7
26.360,C:maj7
27.180,A:7
28.000,D:min7
28.795,G:7
29.640,C:maj7
30.450,F:maj7
31.270,B:hdim7
32.110,E:7
32.950,A:min7
33.785,Eb:7
34.620,D:min7
35.430,G:7
36.260,E:min7
37.075,A:7
37.900,D:min7
38.710,G:7
39.520,C:maj7
40.340,C:maj7
40.875,A:7
41.140,D:7
41.985,G:7
42.810,E:min7
43.645,A:min7
44.490,D:min7
45.345,G:7
46.210,C:maj7
47.890,F#:hdim7
48.690,B:7(b9)
49.510,E:min7
50.360,A:7
51.210,D:min7
51.770,A:7
52.060,D:min7
52.655,A:7
52.960,D:min7
53.520,Ab:7
53.810,G:7
54.660,D:min7
55.470,G:7
56.300,C:maj7
57.125,F:maj7
57.930,B:hdim7
58.780,E:7
59.620,A:min7
60.455,Eb:7
61.300,D:min7
62.120,G:7
62.950,E:min7
63.780,A:min7
64.600,D:min7
65.445,G:7
66.280,C:maj7
67.090,A:7
67.910,D:min7
68.740,G:7
69.580,C:maj7
70.410,F:maj7
71.240,B:hdim7
72.060,E:7
72.890,A:min7
73.710,A:7
74.530,D:min7
75.335,G:7
76.150,E:min7
76.980,A:7
77.810,D:min7
78.650,G:7
79.480,C:maj7
80.305,A:7
81.130,D:min7
81.945,G:7
82.770,C:maj7
83.595,F:maj7
84.410,B:hdim7
85.240,E:7
86.060,A:min7
86.895,A:7
87.730,D:min7
88.560,G:7
89.380,E:min7
90.200,A:7
91.030,D:min7
91.860,G:7
92.680,C:maj7
93.490,C:maj7
94.330,D:7
95.165,G:7
95.970,E:min7
96.805,A:7
97.630,D:min7
98.455,G:7
99.270,C:maj7
100.095,F:maj7
100.920,F#:hdim7
101.750,B:7(b9)
102.580,E:min7
103.390,A:7
104.220,D:min7
105.055,D:min7
105.880,D:min7
106.705,G:7
107.520,D:min7
108.360,G:7
109.180,C:maj7
110.000,F:maj7
110.820,B:hdim7
111.650,E:7
112.480,A:min7
113.305,A:7
114.130,D:min7
114.955,G:7
115.780,E:min7
116.600,A:7
117.410,D:min7
118.245,G:7
119.060,C:maj7
119.885,A:7
120.730,D:min7
121.545,G:7
122.390,C:maj7
123.205,F:maj7
124.030,B:hdim7
124.855,E:7
125.670,A:min7
126.505,A:7
127.340,D:min7
128.165,G:7
128.980,E:min7
129.805,A:7
130.630,D:min7
131.460,G:7
132.300,C:maj7
133.125,A:7
133.950,D:min7
134.765,G:7
135.590,C:maj7
136.420,F:maj7
137.250,B:hdim7
138.065,E:7
138.890,A:min7
139.715,A:7
140.540,D:min7
141.360,G:7
142.200,E:min7
143.015,A:7
143.830,D:min7
144.665,G:7
145.490,C:maj7
146.310,C:maj7
147.140,D:7
147.980,G:7
148.820,E:min7
149.645,A:7
150.490,D:min7
151.315,G:7
152.150,C:maj7
153.820,F#:hdim7
154.650,B:7(b9)
155.480,E:min7
156.320,A:7
157.160,D:min7
157.995,D:min7
158.800,D:min7
159.655,G:7
160.470,D:min7
161.300,G:7
162.140,C:maj7
162.965,F:maj7
163.780,B:hdim7
164.625,E:7
165.450,A:min7
166.275,A:7
167.120,D:min7
167.935,G:7
168.760,E:min7
169.575,A:7
170.380,D:min7
171.225,G:7
172.030,C:maj7
172.870,A:7
173.690,D:min7
174.505,G:7
175.340,C:maj7
176.145,F:maj7
176.970,B:hdim7
177.785,E:7
178.610,A:min7
179.430,A:7
180.260,D:min7
181.070,G:7
181.880,E:min7
182.715,A:7
183.540,D:min7
184.350,G:7
185.180,C:maj7
186.005,A:7
186.810,D:min7
187.645,G:7
188.470,C:maj7
189.300,F:maj7
190.120,B:hdim7
190.945,E:7
191.780,A:min7
192.595,A:7
193.440,D:min7
194.260,G:7
195.090,E:min7
195.910,A:7
196.730,D:min7
197.570,G:7
198.400,C:maj7
199.240,C:maj7
200.100,D:7
200.990,G:7
201.840,E:min7
202.685,A:7
203.570,D:min7
204.465,G:7
205.350,C:maj7
207.070,F#:hdim7
207.915,B:7(b9)
208.760,E:min7
209.635,A:7
210.510,D:min7
211.365,D:min7
212.250,D:min7
212.250,G:7
213.960,D:min7
214.800,G:7
215.640,C:maj7
216.490,F:maj7
217.330,B:hdim7
218.175,E:7
219.020,A:min7
219.885,A:7
220.740,D:min7
221.575,G:7
222.420,E:min7
223.275,A:7
224.120,D:min7
224.940,G:7
225.780,E:min7
226.615,A:7
227.440,D:min7
228.265,G:7
229.110,E:min7
229.935,A:7
230.770,D:min7
231.605,G:7
232.430,E:min7
233.255,A:7
234.090,D:min7
234.910,G:7
235.730,E:min7
236.550,A:7
237.380,D:min7
238.200,G:7
239.030,E:min7
239.850,A:7
240.680,D:min7
241.490,G:7
242.330,E:min7
243.150,A:7
243.960,D:min7
244.805,G:7
245.650,E:7
246.505,A:7
247.340,D:min7
248.180,G:7
249.020,E:min7
249.845,A:7
250.670,D:min7
251.500,G:7
252.340,E:min7
253.150,A:7
254.000,D:min7
