time,chord
0.390,F-7
2.550,C#7
3.060,C7
3.590,B7
4.120,A#7
4.630,D#j7
6.660,D#7
7.160,D7
7.650,C#7
8.140,C7
8.650,F7
10.640,F-7
11.600,A#7
12.630,D#j7
16.510,F-7
18.550,C#7
19.020,C7
19.520,B7
19.980,A#7
20.470,D#j7
22.470,D#7
22.970,D7
23.450,C#7
23.950,C7
24.430,F7
26.410,F-7
27.390,A#7
28.420,D#j7
30.370,E-7
31.360,A7
32.360,Dj7
33.360,B-7
34.360,E-7
35.350,A7
36.360,F#-7b5
37.340,B7b9
38.350,E-7
39.390,A7
40.390,Dj7
41.380,B-7
42.350,E-7
43.360,A7
44.360,D7
45.350,G-7
46.350,A#7
47.360,Gm7b5
47.870,C79b
48.380,F-7
50.410,C#7
50.910,C7
51.410,B7
51.910,A#7
52.440,D#j7
54.420,D#7
54.920,D7
55.420,C#7
55.890,C7
56.380,F7
58.390,F-7
59.360,A#7
60.360,D#j7
64.180,F-7
66.150,C#7
66.640,C7
67.110,B7
67.600,A#7
68.080,D#j7
69.990,D#7
70.470,D7
70.960,C#7
71.430,C7
71.920,F7
73.850,F-7
74.780,A#7
75.720,D#j7
79.530,F-7
81.460,C#7
81.930,C7
82.400,B7
82.880,A#7
83.340,D#j7
85.170,D#7
85.660,D7
86.150,C#7
86.620,C7
87.090,F7
89.070,F-7
90.080,A#7
91.080,D#j7
94.040,A7
95.070,Dj7
96.040,B-7
97.030,E-7
97.990,A7
98.960,F#-7b5
99.890,B7b9
100.850,E-7
101.880,A7
102.870,Dj7
103.820,B-7
104.790,E-7
105.760,A7
106.720,D7
107.600,G-7
108.510,A#7
109.440,Gm7b5
109.930,C79b
110.410,F-7
112.290,C#7
112.780,C7
113.250,B7
113.720,A#7
114.170,D#j7
116.070,D#7
116.540,D7
116.990,C#7
117.420,C7
117.890,F7
119.830,F-7
120.820,A#7
121.830,D#j7
123.860,Gm7b5
124.830,C7b9
125.790,F-7
127.740,C#7
128.250,C7
128.720,B7
129.190,A#7
129.680,D#j7
131.550,D#7
132.030,D7
132.490,C#7
132.970,C7
133.450,F7
135.330,F-7
136.250,A#7
137.230,D#j7
140.930,F-7
142.850,C#7
143.310,C7
143.770,B7
144.250,A#7
144.730,D#j7
146.610,D#7
147.070,D7
147.510,C#7
147.970,C7
148.430,F7
150.260,F-7
151.160,A#7
152.090,D#j7
154.090,E-7
155.110,A7
156.110,Dj7
157.110,B-7
158.110,E-7
159.090,A7
160.060,F#-7b5
161.060,B7b9
162.090,E-7
163.090,A7
164.040,Dj7
164.980,B-7
165.950,E-7
166.900,A7
167.860,D7
168.820,G-7
169.750,A#7
170.700,Gm7b5
171.160,C79b
171.640,F-7
173.570,C#7
174.050,C7
174.520,B7
175.010,A#7
175.500,D#j7
177.400,D#7
177.880,D7
178.370,C#7
178.840,C7
179.310,F7
181.320,F-7
182.290,A#7
