time,chord
68.2,Fj7
68.4,Fj7
68.6,Fj7
68.8,Fj7
69.0,Em7b5
69.2,Em7b5
69.4,A7
69.6,A7
70.2,D-7
70.4,D-7
71.0,D-7
71.2,D-7
71.8,G7
72.0,G7
72.6,G7
72.8,G7
73.4,C-7
73.6,C-7
74.2,C-7
74.4,C-7
75.0,F7
75.2,F7
75.4,F-7
75.6,F-7
75.8,A#7
76.0,A#7
76.6,A#7
76.8,A#7
77.0,Am7b5
77.2,Am7b5
77.4,D7
77.6,D7
77.8,G7
78.0,G7
78.6,G7
78.8,G7
79.4,G7
79.6,G7
80.2,C7
80.4,C7
81.0,C7
81.2,C7
81.8,C7
82.0,C7
82.6,C7
82.8,C7
83.4,Fj7
83.6,Fj7
84.2,Fj7
84.4,Fj7
85.0,Fj7
85.2,Fj7
85.8,Fj7
86.0,Fj7
86.6,Em7b5
86.8,Em7b5
87.4,Em7b5
87.6,Em7b5
88.2,A7
88.4,A7
89.0,A7
89.2,A7
89.8,D-7
90.0,D-7
90.6,D-7
90.8,D-7
91.4,G7
91.6,G7
91.8,G7
92.0,C-7
92.2,C-7
92.4,F7
92.6,F7
92.8,F-7
93.0,F-7
93.2,A#7
93.4,A#7
93.6,Am7b5
93.8,Am7b5
94.0,D7
94.2,D7
94.4,G-7
94.6,G-7
94.8,C7
95.0,C7
95.6,Fj7
95.8,Fj7
96.4,Fj7
96.6,Fj7
96.8,Fj7
97.0,C-7
97.2,C-7
97.4,C-7
97.6,C-7
97.8,F7
98.0,F7
98.2,F7
98.4,F7
98.6,A#j7
98.8,A#j7
99.0,A#j7
99.2,A#j7
99.4,A#j7
99.6,A#j7
99.8,A#j7
100.0,A#j7
100.6,A#j7
100.8,A#j7
101.4,D#b-7
101.6,D#b-7
102.2,D#b-7
102.4,D#b-7
103.0,D#b-7
103.2,D#b-7
103.8,D#b-7
104.0,D#b-7
104.6,Gb7
104.8,Gb7
105.4,Gb7
105.6,Gb7
106.2,Gb7
106.4,Gb7
107.0,Gb7
107.2,Gb7
107.8,C#bj7
108.0,C#bj7
108.6,C#bj7
108.8,C#bj7
109.2,C#bj7
109.4,C#bj7
109.6,C#bj7
110.2,G-7
110.4,G-7
111.0,G-7
111.2,G-7
111.8,C7
112.0,C7
112.6,C7
112.8,C7
113.4,Fj7
113.6,Fj7
114.2,Fj7
114.4,Fj7
115.0,Fj7
115.2,Fj7
115.6,Fj7
115.8,Em7b5
116.0,Em7b5
116.2,A7
116.4,A7
117.0,D-7
117.2,D-7
117.8,D-7
118.0,D-7
118.6,G7
118.8,G7
119.4,G7
119.6,G7
120.2,C-7
120.4,C-7
121.0,C-7
121.2,C-7
121.8,F7
122.0,F7
122.6,F7
122.8,F7
123.4,F-7
123.6,F-7
124.2,F-7
124.8,A#7
125.0,A#7
125.6,A#7
125.8,A#7
126.4,Am7b5
126.6,Am7b5
127.2,Am7b5
127.4,Am7b5
128.0,D7
128.2,D7
128.8,D7
129.0,D7
129.6,G-7
129.8,G-7
130.4,G-7
130.6,G-7
131.2,C7
131.4,C7
132.0,C7
132.2,C7
132.8,Fj7
133.0,Fj7
133.6,Fj7
133.8,Fj7
134.0,Fj7
134.2,Fj7
134.4,Fj7
134.6,Fj7
134.8,Fj7
135.0,Em7b5
135.2,Em7b5
135.4,A7
135.6,A7
135.8,D-7
136.0,D-7
136.2,G7
136.4,G7
136.6,C-7
136.8,C-7
137.0,F7
137.2,F7
137.4,F-7
137.6,F-7
137.8,A#7
138.0,A#7
138.2,Am7b5
138.4,Am7b5
138.6,D7
138.8,D7
139.0,G7
139.2,G7
139.4,G7
139.6,G7
140.2,C7
140.6,C7
140.8,C7
141.0,C7
141.2,Fj7
141.4,Fj7
141.6,Fj7
141.8,Fj7
142.4,Fj7
142.6,Fj7
143.0,Em7b5
143.2,Em7b5
143.4,A7
143.6,A7
143.8,A7
144.4,D-7
144.6,D-7
144.8,D-7
145.0,G7
145.2,G7
145.4,C-7
145.6,C-7
146.2,F7
146.4,F7
147.0,F7
147.2,F7
147.8,F-7
148.0,F-7
148.6,F-7
148.8,F-7
149.4,A#7
149.6,A#7
150.2,A#7
150.4,A#7
151.0,Am7b5
151.2,Am7b5
151.8,Am7b5
152.0,Am7b5
152.6,D7
152.8,D7
153.4,D7
153.6,D7
154.2,G-7
154.4,G-7
155.0,G-7
155.2,G-7
155.8,C7
156.0,C7
156.6,C7
156.8,C7
157.4,Fj7
157.8,Fj7
158.0,Fj7
158.2,Fj7
158.4,C-7
158.6,C-7
158.8,C-7
159.0,C-7
159.2,F7
159.4,F7
159.6,F7
159.8,F7
160.0,A#j7
160.2,A#j7
160.4,A#j7
160.6,A#j7
160.8,A#j7
161.0,A#j7
161.2,A#j7
161.4,A#j7
162.0,D#b-7
162.2,D#b-7
162.8,D#b-7
163.0,D#b-7
163.6,D#b-7
163.8,D#b-7
164.4,D#b-7
164.6,D#b-7
165.2,Gb7
165.4,Gb7
166.0,Gb7
166.2,Gb7
166.8,Gb7
167.0,Gb7
167.6,Gb7
167.8,Gb7
168.4,C#bj7
168.6,C#bj7
169.2,C#bj7
169.4,C#bj7
170.0,C#bj7
170.2,C#bj7
170.4,G-7
170.6,G-7
