time,chord
343.000,D#bj7
343.200,D#bj7
343.600,D#bj7
343.800,D#bj7
344.800,D#bj7
345.000,D#bj7
346.000,D#bj7
346.200,D#bj7
347.200,D#bj7
347.400,D#bj7
347.800,D#bj7
348.000,D#bj7
349.000,D#b-7
349.400,D#b-7
349.600,D#b-7
350.000,D#b-7
350.200,D#b-7
350.600,D#b-7
350.800,D#b-7
351.200,D#b-7
351.800,F7/Eb
352.000,F7/Eb
352.400,F7/Eb
352.800,F7/Eb
353.000,F7/Eb
353.400,F7/Eb
353.600,F7/Eb
354.000,E/Eb
354.200,E/Eb
355.200,E/Eb
355.400,E/Eb
356.400,D#bj7
356.600,D#bj7
357.600,D#bj7
358.000,D#bj7
358.400,D#bj7
358.600,D#bj7
359.000,D#bj7
359.200,D#bj7
359.600,D#bj7
360.200,F-7
360.400,F-7
361.400,F-7
361.600,F-7
362.600,F-7
362.800,F-7
363.200,A#7
363.400,A#7
363.800,A#7
364.000,A#7
364.400,D#bj7
364.600,D#bj7
365.000,D#bj7
365.200,D#bj7
365.600,D#bj7
365.800,D#bj7
366.200,D#bj7
366.400,D#bj7
366.800,Gb-7
367.000,Gb-7
367.400,Gb-7
367.600,Gb-7
368.000,D7
368.200,D7
368.600,D7
369.000,D7
369.400,F#bj7
369.600,F#bj7
370.000,F#bj7
370.200,F#bj7
370.600,F#bj7
370.800,F#bj7
371.200,F#bj7
371.400,F#bj7
371.800,D#bj7
372.000,D#bj7
372.400,D#bj7
372.600,D#bj7
373.000,D#bj7
373.200,D#bj7
373.600,D#bj7
373.800,D#bj7
374.200,D#b-7
374.400,D#b-7
374.800,D#b-7
375.000,D#b-7
375.400,D#b-7
376.000,D#b-7
376.200,D#b-7
376.800,D#b-7
377.000,D#b-7
377.400,F7/Eb
377.800,F7/Eb
378.000,F7/Eb
378.400,F7/Eb
378.600,F7/Eb
379.000,F7/Eb
379.200,E/Eb
379.600,E/Eb
380.200,D#bj7
380.400,D#bj7
381.000,D#bj7
381.200,D#bj7
381.600,D#bj7
381.800,D#bj7
382.200,D#bj7
382.400,D#bj7
382.800,D#bj7
383.000,F-7
384.000,F-7
384.200,F-7
385.200,F-/Eb
385.400,F-/Eb
385.800,Dm7b5
386.000,Dm7b5
386.400,G79b
386.600,G79b
387.000,C-7
387.200,C-7
387.600,C-/Bb
387.800,C-/Bb
388.800,C-/Bb
389.000,C-/Bb
389.400,Am7b5
389.600,Am7b5
390.000,D7
390.200,D7
391.200,D7
391.400,D7
392.400,G-7
392.600,G-7
393.600,G-7
394.200,C7
394.400,C7
395.400,C7
396.000,F-7
396.200,F-7
397.200,F-7
397.400,F-7
398.400,A#7
398.600,A#7
399.600,A#7
400.000,D#bj7
400.400,D#bj7
400.600,D#bj7
401.000,D#bj7
401.600,F-7
401.800,F-7
402.800,F-7
403.000,F-7
403.600,A#7
403.800,A#7
404.200,D#bj7
404.400,D#bj7
405.000,D#bj7
405.400,D#bj7
405.600,D#bj7
406.000,D#bj7
406.200,D#bj7
406.600,D#bj7
406.800,D#bj7
407.200,D#b-7
407.400,D#b-7
407.800,D#b-7
408.000,D#b-7
408.400,D#b-7
408.600,D#b-7
409.000,D#b-7
409.200,D#b-7
409.600,F7/Eb
409.800,F7/Eb
410.200,F7/Eb
410.400,F7/Eb
410.800,F7/Eb
411.400,F7/Eb
411.800,E/Eb
412.000,E/Eb
412.400,D#bj7
412.800,D#bj7
413.000,D#bj7
413.400,D#bj7
413.600,D#bj7
414.600,D#bj7
414.800,D#bj7
415.800,D#bj7
416.000,D#bj7
417.000,D#bj7
417.200,D#bj7
418.200,F-7
418.400,F-7
419.400,F-7
419.600,F-7
420.600,F-7
420.800,F-7
421.800,F-7
422.000,F-7
423.000,A#7
423.200,A#7
424.200,A#7
424.400,A#7
425.400,A#7
425.600,A#7
426.600,A#7
426.800,A#7
427.800,D#bj7
428.000,D#bj7
429.000,D#bj7
